,content,sentiment,score
0,So amazing,POSITIVE,0.9986487030982971
1,Excellent,POSITIVE,0.998581051826477
2,I like this app like no other because It really make me happy,POSITIVE,0.998902440071106
3,Good app,POSITIVE,0.9987263083457947
4,😇😇,POSITIVE,0.9977491497993469
5,It works first then other apps. My all files open it smoothly and quickly.I love it much.,POSITIVE,0.9989151954650879
6,Good experience,POSITIVE,0.998830258846283
7,Adds keeps coming Yrr this is worst,NEGATIVE,0.9994581341743469
8,Make life easy,POSITIVE,0.9984052777290344
9,Excellent,POSITIVE,0.998581051826477
10,Easy to use,POSITIVE,0.9988040924072266
11,So far good five stars thank you : - ),POSITIVE,0.9988952875137329
12,Best documents reader,POSITIVE,0.9978671073913574
13,Good,POSITIVE,0.9984152317047119
14,Good,POSITIVE,0.9984152317047119
15,Easy to use,POSITIVE,0.9988040924072266
16,Like it,POSITIVE,0.9986407160758972
17,Very good,POSITIVE,0.9986018538475037
18,Very useful app.I can recommend you this app,POSITIVE,0.9988701939582825
19,Good app sir,POSITIVE,0.9987311959266663
20,"Brilliant app, I wish I knew it long ago! So easy to use and works so smooth and fast. Highly recommended!",POSITIVE,0.9989190101623535
21,Finest app,POSITIVE,0.9985287189483643
22,Good,POSITIVE,0.9984152317047119
23,Best🥂,POSITIVE,0.9983389377593994
24,Very snappy to open,POSITIVE,0.9987209439277649
25,Jgg,NEGATIVE,0.9903400540351868
26,Excellent,POSITIVE,0.998581051826477
27,A very good app.. Thank you,POSITIVE,0.9988715052604675
28,Very nice app i just love it❤️,POSITIVE,0.9988948702812195
29,Awesome for keeping crochet patterns,POSITIVE,0.9986899495124817
30,Really love the app guys. Great worknon the awesome user friendly features. Superb💥💥💥💥💥👍👍👍,POSITIVE,0.9988906979560852
31,Very lovely app 5 Stars for me 💯,POSITIVE,0.9988725781440735
32,Best document reading app I've seen in years. It's very simple to navigate and it runs smoothly. Downloaded it for my mom because she was having trouble with others... Had to get it for myself! Great work!,POSITIVE,0.9989203214645386
33,Excellent,POSITIVE,0.998581051826477
34,Very very very good,POSITIVE,0.9984086155891418
35,Good app,POSITIVE,0.9987263083457947
36,Very good,POSITIVE,0.9986018538475037
37,Pls help me send the pdf to my android,POSITIVE,0.5941153168678284
38,Good,POSITIVE,0.9984152317047119
39,Good app,POSITIVE,0.9987263083457947
40,Why not work exle worksheet program,POSITIVE,0.9330095648765564
41,👍,POSITIVE,0.9982981085777283
42,Good app thus far,POSITIVE,0.9988123178482056
43,Good,POSITIVE,0.9984152317047119
44,Great app very easy to read any documents and am very happy to have and meet this app God bless 🙏 the app provider 🏆🏆🏆,POSITIVE,0.9989251494407654
45,Interesting app,POSITIVE,0.9975983500480652
46,"Wow ,this is the app i have been looking for.Great app . It's quick and reliable.Easy to use",POSITIVE,0.9989192485809326
47,Nice App Hare krsna,POSITIVE,0.9983371496200562
