,content,sentiment,score
0,i should have been had one,POSITIVE,0.9971831440925598
1,works great,POSITIVE,0.9987362027168274
2,"Doesn't work, connected it multiple times and still doesn't acknowledge the link has been made. infuriating",NEGATIVE,0.9995102882385254
3,This app doesn't work.,NEGATIVE,0.9994983673095703
4,"Where do I begin? Ease of use, great synergy between my devices, and multiple Alexa units in my house and other family members' homes. Great customer support! They remain with you until your issue is resolved or provide you with additional options. For me it works. I am constantly finding new ways to get the most out of Alexa app. Amazon does a real good job suggesting ways to enhance your experience based on your daily routines.",POSITIVE,0.9989044666290283
5,I love this aap,POSITIVE,0.9988504648208618
6,Scope for Interface improvement,POSITIVE,0.9803037047386169
7,I wish I can play my resent son added on my play list instead of skipping each son until I reach the new ones.,NEGATIVE,0.9947205781936646
8,very good,POSITIVE,0.9985488057136536
9,she has stopped responding to her,NEGATIVE,0.9994913339614868
10,bad,NEGATIVE,0.9990259408950806
11,Perfect 👍,POSITIVE,0.9987444877624512
12,exelent,POSITIVE,0.9973981380462646
13,kindly update the features. mobile to Alexa connect with aux cable,POSITIVE,0.9862244129180908
14,Was a very helpful one thanks.,POSITIVE,0.9987275004386902
15,"Can't connect Alexa to wifi or Bluetooth to my PC. Tried many sets of instructions. Cannot find Alexa app for PC. Amazon says to download it, but I can't find it. I think I'll return the Alexa I purchased.",NEGATIVE,0.9994995594024658
16,slow and not great response or problem solving options,NEGATIVE,0.9994924068450928
17,bikram,POSITIVE,0.9871279001235962
18,"Recently replaced my Google Home with Amazon Ecoh Show but it's disappointing. Very limited options with Alexa, listening is not good, and cannot play from Youtube automatically.",NEGATIVE,0.9995033740997314
19,good app,POSITIVE,0.9987329840660095
20,They need to make this more innovative its like they half assed it when programing. Something that should just work does not.,NEGATIVE,0.9993510842323303
21,"The app works great for me except one issue I am noticing. Whenever I change the audio settings on my devices, the settings are automatically reset back to zero. Annoying..",NEGATIVE,0.9932641983032227
22,useless if there's background noise,NEGATIVE,0.9993807077407837
23,thank you,POSITIVE,0.9987579584121704
24,Doesn't help me at all.,NEGATIVE,0.9994919300079346
25,too pushy trying to sell they're services,NEGATIVE,0.9994822144508362
26,App is not user friendly in any way.,NEGATIVE,0.9995005130767822
27,need to be fixed I cannot do anything with my phone if I'm using Alexa to read a book to me which is really annoying don't like the few updates that has happened so far have to keep the app open in order to keep listening I should be able to use my phone and do other things while the book is being played in the background,NEGATIVE,0.9994897842407227
28,What's the deal with having to use the app and not the web browser version? I want the browser version back!,NEGATIVE,0.9991324543952942
29,good and easy,POSITIVE,0.9985837936401367
30,xbox gamer here,POSITIVE,0.9919965863227844
31,lousy at controlling speakers,NEGATIVE,0.9994878768920898
32,"Good job removing the energy consumption of smaller devices. Small things do not matter, at least for Amazon. The application is responding slowly, is becomes more and more robust. I don't like it. I am considering changing to other smart home assistant.",NEGATIVE,0.996650755405426
33,junk don't buy,NEGATIVE,0.998855471611023
34,I'm just tired of this app not understanding any commands.,NEGATIVE,0.9995100498199463
35,I love my Alexa but the app needs a lot of work. I'd like better organization on my Kindle book list since I like to use my Alexa to have it read to me,POSITIVE,0.9934523105621338
36,Update - playing music is horrendous. I have never had such a terrible experience using an app to stream music to my Alexa devices. It freezes and displays wrong song info. It's amazing how many years it has been like this too. SMH. One of the worst designed apps I have ever used. This app is a mess. It's confusing with the worst UX and UI imaginable. Nothing is intuitive and you basically get lost trying to find settings.,NEGATIVE,0.9995101690292358
37,"AWFUL BUG after last update. Levels keep changing on dot devices which didn't happen before. Keep having to readjust everytime I turn them on now. SAME with all lights and routines. Very frustrating, please fix.",NEGATIVE,0.9994968175888062
38,Connection and Audible Issues.,NEGATIVE,0.9952844977378845
39,super,POSITIVE,0.9985514283180237
40,nothing works,NEGATIVE,0.999471127986908
41,good,POSITIVE,0.9985306262969971
42,app not working correctly. weather alert but not listed on the app,NEGATIVE,0.9995046854019165
43,Poor sound quality,NEGATIVE,0.9994834661483765
44,it has so many options and information. very confusing for starting few days.,NEGATIVE,0.9994668364524841
45,Amazing voice,POSITIVE,0.998563826084137
46,Nice,POSITIVE,0.9977694749832153
47,Faltu,NEGATIVE,0.9982784986495972
48,app is not responsive to touch and there is lag and so slow,NEGATIVE,0.9995054006576538
49,Great way to listen to all your favourite music,POSITIVE,0.9988632202148438
50,It's so painful that it took 2 days to detect and connect to wifi and setup my alexa device . Can anyone tell me why I am not able to make call from alexa to my any mobile number through voice assistant.. it says can't make calls ..,NEGATIVE,0.9995007514953613
51,So bad!I can't even get started 0 stars,NEGATIVE,0.999504566192627
52,the app is great and allows you to do a number of things my Google home mini can't do. Alexa is limited in some ways and the voice options aren't as great as I'd like and I haven't found a voice match setting yet to personalize responses from different people but otherwise I'm satisfied,POSITIVE,0.9989222288131714
53,I received help from an Alexa rep that fixed my connection issue very effectively and efficiently. Thank you so much!,POSITIVE,0.998921275138855
54,👍,POSITIVE,0.9982981085777283
55,LOVE IT ❤️,POSITIVE,0.9987875819206238
56,Not user friendly. I bought it so that'll ring louder since I work on call. Does not ring at all,NEGATIVE,0.9995111227035522
57,fair,POSITIVE,0.9904283285140991
58,anmolveer,POSITIVE,0.9865543842315674
59,Hell ya,POSITIVE,0.9985833168029785
60,didn't connect,NEGATIVE,0.9994854927062988
61,"Good for setting timers and telling you the weather, but often times it doesn't even listen or open the apps that I ask it to open.",NEGATIVE,0.9995081424713135
62,"Honestly, I wasn't interested in having one but after using one while babysitting, I definitely wanted one!After getting my first one I was amazed at how much you can do/get with it, I loved it so much I now have 3 in different rooms and thinking of getting another one 😀 Everything is so easy about it from the start with setting it up, as I'm not a technical person but it's SO EASY even for me! I use it for many things and I'm still discovering new things that you can do with it, THANKS!",POSITIVE,0.9989306330680847
63,Alexa keeps going off when playing radio stations,NEGATIVE,0.9994934797286987
64,Simply cool,POSITIVE,0.9984245300292969
65,From some days I m unable to use hands free Please solve my problem,NEGATIVE,0.9988436698913574
66,nice app,POSITIVE,0.998537540435791
67,"can't remove family devices, imagine people randomly adding your account to family and then hacking you. shame",NEGATIVE,0.999286949634552
68,Most things are fine but it keeps getting a network error when trying to change settings on an echo show which I have to do a few times a day because that is the only way to keep my child from being on it ALL the time. You can restrict kids on a kids echo but not on an adult echo. It doesn't make sense.,NEGATIVE,0.9992483258247375
