,content,sentiment,score
0,It honestly cracks me up at this point when I think how much money Amazon makes and how terrible this app is. The UI stinks and the app constantly crashes. Sometimes just turning the volume up or down will crash the app. LOL! Excellent work! ABSOLUTE GARBAGE FIRE.,NEGATIVE,0.9994407296180725
1,Love it,POSITIVE,0.9988111257553101
2,Full screen not Play,NEGATIVE,0.9976715445518494
3,Why is the video quality trash? The video quality keeps breaking. Netflix doesn't seem to be having these kinds of problems.,NEGATIVE,0.999503493309021
4,Good,POSITIVE,0.9984152317047119
5,"It's a bit hard to surf and find than Netfilx, but good.",POSITIVE,0.9987379908561707
6,No any new movies,NEGATIVE,0.998599112033844
7,Or Hindi org content chahiye,POSITIVE,0.9815841317176819
8,Not good,NEGATIVE,0.999464213848114
9,We can see stuff but can not download it 😕. Still it is a good app Thx,POSITIVE,0.9955863952636719
10,App is not working properly. When I played a movie first it took too much time to load then only audio was playing and screen was blank 😔.,NEGATIVE,0.9995046854019165
11,Nice app,POSITIVE,0.9985741376876831
12,Excellent!!!,POSITIVE,0.9986715316772461
13,macam konto,POSITIVE,0.9651854038238525
14,Good app but many movies are not available in Hindi,POSITIVE,0.9979997277259827
15,Love it!,POSITIVE,0.9988498687744141
16,Nothing created new account and password west time.,NEGATIVE,0.998291552066803
17,Still getting that license service call failed error Playing in Google Chrome browser has no issue otherwise,NEGATIVE,0.9983447790145874
18,Use this app on my ChromeBox computer. Gives me easy access to movies & TV Shows. UPDATE 7-3-2023 Lowered rating from 5 to 3 stars. Listings no longer shows If the movie/show is Prime. I have to select the movie/show to get information. Listing no longer shows if the movie/show is leaving Prime. Listing used to have a colored triangle showing number of days left in Prime. The notice now blends in with the text and ie easily missed. Please Bring back the old intefrace,NEGATIVE,0.9981610178947449
19,Bug cant open,NEGATIVE,0.9988152980804443
20,After subscription why we need to rent movies this is wrong boycott prime video They all making money,NEGATIVE,0.9994732737541199
21,"Disgusting app. I am not able to login..🙄easily. Very slow touch response. Not easy to use the app. Amazon!.Please make it easy to use and ""redevelop your all apps"" & also make the latest and easy to use looking interface of your apps 😊🙃.",NEGATIVE,0.9995070695877075
22,I am updating. Issue got resolved. I am changing my review. My play back was HORRIBLE. Videos were stuttering and freezing. What I did to FIX it was go to BOTH my amazon shopping app and prime video app and cleared the storage and the cache on both apps. I then rebooted my phone and everything started working. No more freezing and stuttering. Edit my review Its still freezing and stuttering. Will only work on shows that have add's. Still waiting for support to respond.,NEGATIVE,0.99664306640625
23,"Slow loading, when going out of the app for a second and coming back... Loading again, slow poor app",NEGATIVE,0.9995075464248657
24,Veriy fradu,POSITIVE,0.9918671250343323
25,Deaxdddd,POSITIVE,0.996947705745697
26,best and cheapest aus film subscription service,POSITIVE,0.9984266757965088
27,"Hackable, pos !",POSITIVE,0.9854941368103027
28,😃Very Nice😃,POSITIVE,0.9986300468444824
29,Amazon has made it exceedingly difficult if not impossible to rent/buy in either app. Why even have separate apps if it's a glorified viewer. I'll just continue to rent on YouTube if they're the same price anyways,NEGATIVE,0.9994344115257263
30,the best feature was the download icon at the bottom. Now gone with the latest version,NEGATIVE,0.9994481205940247
31,The app is not working 😭😭😭😔 https https plans guys can do the needful in the same company team,NEGATIVE,0.999478280544281
32,Now it works and no longer crashes after 2 seconds but now the quality won't fix it's self no matter what I do it's always at the lowest setting. Plz for the love of god fix this app and make it work like it's supposed to. side note: the audio sound's compressed and the audio sometimes goes out of sinc,NEGATIVE,0.9967116117477417
33,Better than Disneyplus hotstar,POSITIVE,0.9983404874801636
34,over half the things i wanna watch.glitch with green in them,NEGATIVE,0.9983952641487122
35,"Whenever I downloading something on prime my phone hangs for few minutes and then restart only then the download begins, it happens every time I tried every thing cleaning cache update the app, fresh reinstall but nothing works",NEGATIVE,0.9995037317276001
36,"I have tried 3 times to reinstall and get the code in my tv bt always error comes and show get new code, do something. I am prime member.",NEGATIVE,0.9994213581085205
37,too late for waiting otp code. i think amazon must fix it,NEGATIVE,0.9967541098594666
38,Monster High Presents: Karpet Merah Anugerah Seri Angkasa 2022,POSITIVE,0.9962047934532166
39,"I'm finding more and more, what I really want to watch I'm having to rent or buy. Also, more and more, the shows I decide to watch have adds. So I'm paying for Prime video.... then I'm having to rent what I want to watch. And if I don't have to rent the program then it's filled with adds! I'm confused, I thought that was the whole point in giving up cable!!!!",NEGATIVE,0.9994895458221436
40,Forget Captcha Problem,POSITIVE,0.9923019409179688
41,Very good movies,POSITIVE,0.9986943602561951
42,"Can't buy or rent videos on my phone anymore. Used to for years, as long as the app existed. Called customer support, when I quested and actually found a working number with living breathing ppl, and the woman acted like I was the new one to the planet, saying it's always been that way. When I showed proof otherwise she mocked me for not having a computer. So yeah, it kind of sucks more now that I can't buy or rent stuff anymore but that's less money to Amazon I guess. Terrible service too.",NEGATIVE,0.999496340751648
43,1 trail free hai kya bro,POSITIVE,0.9950404763221741
44,"make it to easy to purchase, my son gets on here and gets him self movies and nickelodeon!",NEGATIVE,0.9943962097167969
45,I have s23 ultra but app not working 😕,NEGATIVE,0.9990888833999634
46,"It's unclear why Google rules don't allow in-app purchases for Prime. To do that you have to go to the website abd then go back to the app to watch. Awkward. I uninstalled the Play version and downloaded it from the Galaxy store where I can rent videos and make purchases. But Play is sneaky. It replaces the Samsung version even though automatic updates is turned off. All that does is iritate me, everytime I have to reinstall the Samsung version.",NEGATIVE,0.9992326498031616
47,"Ho hai hfllgo, Logghhll j mtdf M NV g ikrmi j On gyi Ghar o nut Got 😋",POSITIVE,0.998345136642456
48,In if,POSITIVE,0.9886749982833862
49,"Was much better when you could select free to me/on prime. The TV selection seems to be greatly reduced and, again, all the pay to view things seem to come up first.",NEGATIVE,0.9992026686668396
50,Great Content and Great Products.,POSITIVE,0.9988038539886475
51,👍,POSITIVE,0.9982981085777283
52,you can't adjust streaming video quality on a specific video and that's very bad,NEGATIVE,0.9994999170303345
53,Very bad experience as well service Almost show rental pay when already I'm already subscriber customer so why pay rental pay my favourite movie,NEGATIVE,0.9995087385177612
54,Great for watching movies and TV shows,POSITIVE,0.9987964630126953
55,I could not open it up. Too many glitches,NEGATIVE,0.9995073080062866
56,Love it!,POSITIVE,0.9988498687744141
57,OK cool,POSITIVE,0.9806375503540039
58,It sucks donkey d,NEGATIVE,0.998336911201477
59,Excellent movie selection,POSITIVE,0.9986945986747742
60,I wish that there were some more movies that weren't for rent or buy,POSITIVE,0.791532039642334
61,Foreign movies caption hasn't worked forever...still doesn't work.,NEGATIVE,0.9994819760322571
62,OUTSTANDING !!!!!!! 5 STAR PLUS,POSITIVE,0.9986708164215088
63,Half the channels don't work right. Starz flashes green every 30 sec. When you start videos on fire stuck or Android box always starts in audio descriptive. Subtitle never line up when another language is spoken.,NEGATIVE,0.9994984865188599
64,"We have to pay for open your app and rent a movie from you again, why don't ask money for download the also",NEGATIVE,0.9994763731956482
65,I like this app!,POSITIVE,0.9989049434661865
66,I've never had a problem with the app. Works fine.,POSITIVE,0.9988906979560852
67,Love it,POSITIVE,0.9988111257553101
68,Good app. Occasionally downloads fail to play. Inability to purchase within app is extremely frustrating. Every time i open the app i need to reconfirm my cookie choices,NEGATIVE,0.9954273700714111
69,"I'm not a fan of the ads, which is one of the reasons it's getting a 4 star instead of a 5. I also wish finding movies or shows you wanna watch was easier. Plus, we are already paying for prime, so having ALL, not some of the shows and movies be free, would be nice if you're a prime member.",POSITIVE,0.9983269572257996
70,"Not being able to buy things to watch through the app is ridiculous. I know why they changed it, but I don't care. Amazon removed a ton of convenience and functionality to avoid paying higher fees, yet are still charging the same or increasing subscription fees for use.",NEGATIVE,0.9995059967041016
71,Great movies... but you could offer theater movies that just came out.,POSITIVE,0.9980574250221252
72,"Even with the adds, it's worth giving it a try for",POSITIVE,0.9982913136482239
73,Wont open,NEGATIVE,0.9993703961372375
74,Your app is just spining cant' uninstall app or re update. Just spins,NEGATIVE,0.9994992017745972
75,Worst app ever. . I can't watch much because this app crashes OFTEN!!! daily sometimes. Considering canceling but it comes with prime,NEGATIVE,0.9995073080062866
76,"I Like It, But I don't like the new look.",NEGATIVE,0.9930086135864258
77,Alsome movie. I was on a roadcoaster of differant emotions.,POSITIVE,0.998497724533081
78,Investor needed!!!!!,POSITIVE,0.9873031973838806
79,Amazing Amazon,POSITIVE,0.9986342787742615
80,I cannot see 'themed icon' native support in this app's icon. This is against the design Language of the latest android. You should fix this asap,NEGATIVE,0.999479353427887
81,The Prime Video is good. Could use some more personal improvements. On a Chromebook App the watchlist should be easier to get to.,POSITIVE,0.9978784322738647
82,great,POSITIVE,0.9985584616661072
83,Brilliant,POSITIVE,0.9986141920089722
84,If i give money.... Then i will choose Netflix or other not Amazon prime,NEGATIVE,0.9945810437202454
85,It's loaded with 35 sec long adds like watching tv can't skip it's makes you feel like you are using some free Chinese app will unistall as soon as the subscription is over .,NEGATIVE,0.999188244342804
86,"All I want to do is delete this app, can someone please tell me how to remove it. Thank you.",NEGATIVE,0.99946528673172
87,"Streaming quality is poor and lags, and instead of suggesting the next episode in a series it suggests a random movie from my watch list. but i appreciate the pop out window so I can multitask.",NEGATIVE,0.9994981288909912
88,Great,POSITIVE,0.998588502407074
89,"Why, when I pay for Prime, do I have to pay AGAIN to watch some programs? Hasn't that prat Bezos got enough money?",NEGATIVE,0.9994912147521973
90,To many ads,NEGATIVE,0.9990724325180054
91,It keeps hanging on my Galaxy tab A8. I have to restart to fix it.,NEGATIVE,0.9982649683952332
92,"Vtteu . ..... . . ,Mmkuu a few minutes",NEGATIVE,0.9950233697891235
93,I'm not going to renew the subscription,NEGATIVE,0.999363124370575
94,"Great app, great experience, only problem I found, sometimes, it's a weird greenish flickering in between frames. Not always. Rest is amazing.",POSITIVE,0.9989011287689209
95,"Worst application, I was just logout my device and try to login again saying that i can't play video because of logged in into another device, worst application",NEGATIVE,0.9995068311691284
96,"Modi greedy company I have ever seen , Most of classic movies moved to rent ,Netflix charges almost the same amount but they don't show these cheap mindset",NEGATIVE,0.9993833303451538
97,prime video content is so limited in Pakistan why And you charge us as well other site Netflix give as so much control plz do something in Pakistan prime video content and fix it,NEGATIVE,0.9977496266365051
98,😠,POSITIVE,0.9974899291992188
99,"It's a good app but... on my mobile device it only plays the sound and not the video. I'm Uninstalling it again and see if works with the next download. 7/2/23 Update: Still no visual display on my mobile device, just sound. That sucks.",NEGATIVE,0.9995021820068359
100,The app interface is very good. The description and imbd ratings and all information of any content are seamlessly embedded which makes the viewing and choosing any sort of entertainment very easy. Just a small disappointment is the subscription under subscription a request please keep other subscriptions in different niche or tab .,POSITIVE,0.9988756775856018
101,Tari 💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩,POSITIVE,0.9974785447120667
102,Worst experience with tv app. Not at all working. Not able to sign in.,NEGATIVE,0.999506950378418
103,Prime tv app is not working,NEGATIVE,0.9994907379150391
104,Epic,POSITIVE,0.9976792931556702
105,Helps me with my coping skills 👍🏼🙏🏽💕,POSITIVE,0.9988043308258057
106,"Thre are not many options and 80% of movies only have regional audio no hindi,hindi version is available everywhere but in prime its disappointing,you should rather watch movies in YouTube",NEGATIVE,0.9994183778762817
107,"It's okay. I'm signed up for Amazon prime but still don't get free access to all the shows/movies. Guess I don't understand how it works. This is all the ""TV"" I have to watch and I pay for Amazon prime so I would think it would work better.",NEGATIVE,0.9945892095565796
108,Love it!,POSITIVE,0.9988498687744141
109,That review was from a long time ago & yet this app is STILL HORRID! I'm sure Amazon can do something about this issue!! Constantly reloads- if not for Columbo I would close APP,NEGATIVE,0.9995125532150269
110,Bed,NEGATIVE,0.5766149759292603
