content,sentiment,score
Breathwell is a bogus. They took money from me and no service. I do not recommend anyone to join breathe well.,NEGATIVE,0.9994947910308838
Not able to get otp to proceed,NEGATIVE,0.999491810798645
Very easy to use and highly informative of your daily activities,POSITIVE,0.998924195766449
No proper communication.,NEGATIVE,0.9994900226593018
I have joined in this programme just 14 days back. While joining my FBS readings are varying in between 150 and 175. Now my FBS readings are varying in between 98 and 79. My insulin dosage also reduced from 14 units to 10 units. Really I feel it is amiracle. My health coach Udaya kumari efforts are so much appreciable in my journey. She is taking care of all my needs in this journey. I am very much thankful to her. With her support I can set new goals and try to reach them.,POSITIVE,0.9987758994102478
A complete Team work with Great Aim,POSITIVE,0.9988676309585571
👍👍👍👍,POSITIVE,0.9983904361724854
"A very nice app to manage and monitor your all diabetes related activities, whether it's exercise, breakfast, lunch, dinner, snacks or health coach and doctor consultation. Everything at one place and very easy to update and monitor improvements.",POSITIVE,0.9989010095596313
Good 👍,POSITIVE,0.9986507296562195
"I personally won't recommend to go after BWB to anybody, they follow more or less same line of therapy of allopathy. Rather you should go for alternative indigenous therapies for your diabetes management.",NEGATIVE,0.998965859413147
Nice platform for diabetis reversal,POSITIVE,0.9988025426864624
They will immediately stop access to your prescriptions if you choose not to renew their plan. They will also not share the prescriptions offline even if you need them. I am not sure if legally they are allowed to stop access to prescriptions. Will explore these options now,NEGATIVE,0.9993769526481628
"Very good for diabetes management n reversal, with good nutrition advice, fitness coach, educational videos on diet, recipes, exercises,live n recorded yoga sessions. If followed one can reverse diabetes.",POSITIVE,0.9988188147544861
Excellent,POSITIVE,0.998581051826477
It's a very good mentorship for individual to attain a medicineless and diabetes less life style.,POSITIVE,0.9988318085670471
"Very good, you may opt for your betterment.",POSITIVE,0.9981135129928589
I want to get my refund. They forced me to join for diabetic reversal program and took 11900 rs. I paid yesterday. It was my big mistake. I wanted to get my refund but no one is helping me. I didn't take any service till now. Pls refund my hard earned money. I have paid yesterday.,NEGATIVE,0.999477207660675
I enjoyed the journey and filled my life with joi.💐💐🙏🙏,POSITIVE,0.998872697353363
Amazing lajbab Hain B.w.B ke sabhi members jindagi jeene ka mja enke sath ab aane lga Ahaaa God bless all devotees members,POSITIVE,0.998606264591217
"I wasn't happy with the services and wanted to opt out, also i have been following up for months on this issue and not getting a response.",NEGATIVE,0.9995087385177612
Initial start was very good but the coaches are bad due to leave etc they don't bother to take calls etc. All my good initial experience ilhas tourned very sour. I am a high diabetic and because of them i am now having sugar fluctuations. This is a human error app etc is very good even doc's are good. If they don't keep professional and good coaches they are doomed. The last coach said she was busy due to Ramzaan. God help me.,NEGATIVE,0.9994701743125916
Help to reduce sugar level effectively,POSITIVE,0.9986457228660583
"Good support from my coach Asha Rani motivates every time, advice the right spirit.",POSITIVE,0.9988829493522644
"Ms. Diyya Saluja is so perfect and excellent. Above all, she is nicest human being. Everyone should be like her",POSITIVE,0.9987084865570068
Excellent follow up Excellent food suggestions with availability of links,POSITIVE,0.9988490343093872
It's good app and program itself.Committed to achieve goal in coming months.Its mainly the human touch that will push you to success.I would like express my sincere thanks to my health coach Miss Gargi Sareen who is amazing and keeps me motivated.,POSITIVE,0.9988365769386292
Most unethical team. Don't waste your money.,NEGATIVE,0.9994915723800659
Pretty easy to use n promot response in case of any issues. Great support from the team in the program.,POSITIVE,0.9989036321640015
"I JUST WANT TO SAY THAT IF I HAVE BEEN SUCCESSFUL IN REGAINING MY HEALTH IT IS JUST BECAUSE OF MY COACH MS. MANISHA SHARMA ...WHO GUIDED , HELPED AND ENCOURAGED ME TO ACHIEVE THIS GOAL....THANKU MAAM WITHOUT YOUR PATIENT GUIDANCE I COULD NEVER HAD BEEN ABLE TO IMPROVE MY CONDITION...THANK YOU",POSITIVE,0.9986968636512756
