,content,sentiment,score
0,Realized developer updated this app last in 2015. This app was an amazing discovery very easy for multi tasking. If developer is still alive somewhere thank you for this one.,POSITIVE,0.9988653659820557
1,I wish floating window acts like some kind of a banner for the mp3. The song name only appears briefly and after changing tracks. And the function to put some delays after a song would be nice too. Bump it to 5 stars when it happens.,POSITIVE,0.997581958770752
2,Can not login spotify premium please Update,NEGATIVE,0.998518168926239
3,Not working in Android 12,NEGATIVE,0.9994943141937256
4,This App Is Brilliant. Easy To Use With The Menu Tabs.A Small Widget Icon Is On The Home Screen To Make It Easier To Access. I Choose This One Because The Default Player Was Removed.,POSITIVE,0.9988920092582703
5,Not working android 11 version ᥬ🥺᭄ update plz ᥬ🤬᭄,NEGATIVE,0.9990757703781128
6,"I was looking for an app like this ever since I saw Youtube music's overlay when opening audio files with it, except this is way better since you can make it the default audio player and whenever you try to open an audio file a bubble pops up and audio starts playing! This is an awesome app all around, only downside is that when you play an audio you can't swipe to skip, and when you play something it doesn't show other audio files in the same folder when clicking the bubble.",POSITIVE,0.998909592628479
7,"𝐈 𝐰𝐢𝐥𝐥 𝐨𝐧𝐥𝐲 𝐠𝐢𝐯𝐞 3 𝐬𝐭𝐚𝐫𝐬 𝐛𝐞𝐜𝐚𝐮𝐬𝐞 𝐢 𝐮𝐬𝐞 𝐭𝐨 𝐥𝐨𝐯𝐞 𝐭𝐡𝐢𝐬 𝐚𝐩𝐩, 𝐛𝐮𝐭 𝐬𝐚𝐝𝐥𝐲 𝐞𝐯𝐞𝐫𝐲𝐭𝐢𝐦𝐞 𝐢 𝐜𝐡𝐞𝐜𝐤 𝐟𝐨𝐫 𝐚𝐧 𝐮𝐩𝐝𝐚𝐭𝐞 𝐫𝐞𝐠𝐚𝐫𝐝𝐢𝐧𝐠 𝐢𝐭𝐬 𝐜𝐨𝐧𝐬𝐭𝐚𝐛𝐭 𝐜𝐫𝐚𝐬𝐡𝐢𝐧𝐠, 𝐢 𝐧𝐞𝐯𝐞𝐫 𝐬𝐞𝐞 𝐨𝐧𝐞. 𝐓𝐡𝐞𝐫𝐞𝐟𝐨𝐫𝐞 𝐢𝐦 𝐠𝐨𝐛𝐧𝐚 𝐬𝐭𝐨𝐩 𝐮𝐬𝐢𝐧𝐠 𝐢𝐭.",POSITIVE,0.9849803447723389
8,Used it on an older phone but will not work now,NEGATIVE,0.9994845390319824
9,Gifi,POSITIVE,0.9263258576393127
