,content,sentiment,score
0,Exilent,POSITIVE,0.9836001396179199
1,Ok,NEGATIVE,0.9943147301673889
2,Fun time with game and very much good for mind concentration,POSITIVE,0.9988981485366821
3,ٹایم ضائع کرنے کے لیے اچھا گیم ھے,POSITIVE,0.913942277431488
4,Good,POSITIVE,0.9984152317047119
5,Kkk,POSITIVE,0.9882014393806458
6,Very addictive,POSITIVE,0.9984956979751587
7,All good,POSITIVE,0.9986892342567444
8,Just love it.Addicted😊,POSITIVE,0.9988502264022827
9,Always been a good game,POSITIVE,0.9987926483154297
10,MS Dhoni 🔥 🔥,POSITIVE,0.99769526720047
11,"Many essu, boring and verry little live No support to candy team",NEGATIVE,0.9994887113571167
12,Luck,NEGATIVE,0.9136387705802917
13,Marbeles,POSITIVE,0.9891228079795837
14,Total definition of fun🥰,POSITIVE,0.9985504746437073
15,Fun game I like it,POSITIVE,0.9988391995429993
16,Oopp,NEGATIVE,0.9660691022872925
17,Nice game,POSITIVE,0.9988034963607788
18,Buy kot Sweden aaps,POSITIVE,0.9819268584251404
19,Good,POSITIVE,0.9984152317047119
20,Love it 😍,POSITIVE,0.9988341927528381
21,❤️,POSITIVE,0.9983048439025879
22,This is outstanding 👍,POSITIVE,0.9988221526145935
23,Nice game,POSITIVE,0.9988034963607788
24,Fun,POSITIVE,0.9987583160400391
25,You can play offline and it's really fun,POSITIVE,0.9989001750946045
26,Awesome,POSITIVE,0.9986000657081604
27,I hate this,NEGATIVE,0.9994506239891052
28,Love it,POSITIVE,0.9988111257553101
29,After saw ms dhoni viral video i came here and download it ❤️ ms dhoni is love ❤️❤️,POSITIVE,0.9988419413566589
30,Ridiculously hard. Fully encourages unnecessary spending. Just changed from 2 star to 1. They now limit sending lives and the levels and so blatantly hard to FORCE you to spend money it's laughable. I'll just stop playing. You won't get another penny from me. Absolute scruffs. Furthermore they've now grayed out the mail inbox to stop you accepting lives haha. Your greed is disgusting.,NEGATIVE,0.9994850158691406
31,Fun,POSITIVE,0.9987583160400391
32,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,POSITIVE,0.9984631538391113
33,"Still designed to make you spend money. Played when it was popular 10 years ago, hoped it wouldnt be the same but it is still the same concept - only lets you win once every 10 games or so unless you buy ridiculously overpriced booster packs. Fun as a time waster, predatory for gamblers and those who need to win. Get ready to click through 10 ""sales"" between every level.",NEGATIVE,0.9993767142295837
34,this is best game..,POSITIVE,0.9985107779502869
35,Nice,POSITIVE,0.9977694749832153
36,I downloaded this for only one reason that's M S Dhoni playing this app.,NEGATIVE,0.9948596954345703
37,Nice,POSITIVE,0.9977694749832153
38,aa,POSITIVE,0.9870558977127075
39,Best,POSITIVE,0.9971845746040344
40,This is very good game for every year ages younger man,POSITIVE,0.9988853335380554
41,Nice game,POSITIVE,0.9988034963607788
42,Best tym pass game,POSITIVE,0.9983651041984558
43,Naice,POSITIVE,0.9899715185165405
44,Super,POSITIVE,0.9985753297805786
45,All time fevret😘❣️,POSITIVE,0.9986465573310852
46,Mice,NEGATIVE,0.9953487515449524
47,Nice game I also paly this one of my favourite person palying this game m.s dhoni ❤️❤️❤️😁😁,POSITIVE,0.9988954067230225
48,Nice game Entertainment,POSITIVE,0.9988054037094116
49,Halke me lega kya,POSITIVE,0.9605216383934021
50,Present some videos,POSITIVE,0.9928798079490662
51,Mind relaxing 💯,POSITIVE,0.9988057613372803
52,Very exciting experience ..,POSITIVE,0.9987767338752747
53,Nice app,POSITIVE,0.9985741376876831
54,Love it,POSITIVE,0.9988111257553101
55,"This game is becoming useless, what happened? You can longer install it.",NEGATIVE,0.9995039701461792
56,Nice game,POSITIVE,0.9988034963607788
57,Fun,POSITIVE,0.9987583160400391
58,Good game,POSITIVE,0.998848557472229
59,Nice game,POSITIVE,0.9988034963607788
60,"I've been using Candy Crush for years, but new update they added to this game where you can't use stripped candies to move anymore followed by wrapped candies and striped candies and not being able to use them is hard for me to win levels. Whatever the new update is, it's hard to really play Candy Crush the way I used to.",NEGATIVE,0.9991486072540283
61,Good,POSITIVE,0.9984152317047119
62,Anmol,POSITIVE,0.9836528301239014
63,Very nice game 👍👍👍🙂🙂,POSITIVE,0.9988545179367065
64,I like this game,POSITIVE,0.9989098310470581
65,Nice,POSITIVE,0.9977694749832153
66,Nice,POSITIVE,0.9977694749832153
67,GREAT GAME!!!,POSITIVE,0.9986875653266907
68,Is not good app,NEGATIVE,0.999485969543457
69,It is like,POSITIVE,0.9887479543685913
70,Good,POSITIVE,0.9984152317047119
71,Used to be fun and loved playing but now they make it impossible to play but 10 min at a time without spending money to keep playing. No more,NEGATIVE,0.9995019435882568
72,Exciting,POSITIVE,0.9986213445663452
73,Good,POSITIVE,0.9984152317047119
74,👏🏾,POSITIVE,0.9983689188957214
75,Good,POSITIVE,0.9984152317047119
76,Cheating game. ..,NEGATIVE,0.9981315732002258
77,A perfect game !!!!,POSITIVE,0.9987725615501404
78,Great,POSITIVE,0.998588502407074
79,Nice game,POSITIVE,0.9988034963607788
80,To good👍👍👍👍,POSITIVE,0.9981436729431152
81,Good 👍 👍 👍 👍 game,POSITIVE,0.9986305236816406
82,Good and full fun game,POSITIVE,0.9988897442817688
83,Nice,POSITIVE,0.9977694749832153
84,Low,NEGATIVE,0.9970717430114746
85,I strongly condemned the disrespect of Quran in Sweden and boycotted all the Sweden brands and apps #boyycottsweden .... Deleting this app right now 😤,NEGATIVE,0.9994506239891052
86,Vh7,NEGATIVE,0.8875925540924072
87,Good,POSITIVE,0.9984152317047119
88,I am here after Mahi Bhai Merko to ye bhi ni pata tha ki Candy Crush Bhi Koi Game hai,POSITIVE,0.9969580173492432
89,It is so good game,POSITIVE,0.9986411929130554
90,Very good,POSITIVE,0.9986018538475037
91,Nice game when I got free time I would like to play this game this game got more and More satisfaction and joy .,POSITIVE,0.9988478422164917
92,y😚😍🥜🥜🍆🍆🍞🍄🥑🍄🍄🥑🍊🥑,POSITIVE,0.998528003692627
93,Oijoj,POSITIVE,0.9958962202072144
94,Best,POSITIVE,0.9971845746040344
95,I like this game alot,POSITIVE,0.9989079236984253
96,Good game,POSITIVE,0.998848557472229
97,Good update,POSITIVE,0.9988657236099243
98,Happy to play,POSITIVE,0.9987851977348328
99,Super game,POSITIVE,0.9987840056419373
100,Good and thrilling game I have never played,POSITIVE,0.9987459182739258
101,Nice and free of tension after work,POSITIVE,0.9988884329795837
102,Mahi Bhai 07,POSITIVE,0.9889155626296997
103,👍,POSITIVE,0.9982981085777283
104,Best game!,POSITIVE,0.9986577033996582
105,Better,POSITIVE,0.9979547262191772
106,Only MS DHONI,POSITIVE,0.9872092008590698
107,POWER OF MAHENDRA SINGH DHONI🔥🔥🔥,POSITIVE,0.9959530830383301
108,Good,POSITIVE,0.9984152317047119
109,Very hard lavel make by you,POSITIVE,0.9934813976287842
110,Awesome,POSITIVE,0.9986000657081604
111,Nice,POSITIVE,0.9977694749832153
112,Very nice,POSITIVE,0.9986618757247925
113,I love free fire,POSITIVE,0.9987438321113586
114,Great,POSITIVE,0.998588502407074
115,M befŵ was ßßop13,POSITIVE,0.9838407635688782
116,It's good,POSITIVE,0.9981504082679749
117,This game is full of enjoyment,POSITIVE,0.9988981485366821
118,Best entertainment game,POSITIVE,0.9985167384147644
119,Having fun,POSITIVE,0.9988340735435486
120,Excellent,POSITIVE,0.998581051826477
121,"Very interesting game, takes the stress away",POSITIVE,0.9988998174667358
122,"I have deleted this app because Quran is my heart, it is the heartbeat of my heart, whoever disrespects my Quran has no place in my anger.",NEGATIVE,0.9988211989402771
123,Best 👍,POSITIVE,0.9985557198524475
124,I am Download this app only reason msd(mahi Bhai),NEGATIVE,0.9733834862709045
125,Only for dhoni... I will give you 5* 🤗🤗😍,POSITIVE,0.9984917640686035
126,Fun,POSITIVE,0.9987583160400391
127,Good time pass,POSITIVE,0.9986951947212219
128,"Unlnv lb. Be a b. Hiring a ""lrn GE to theblb look",NEGATIVE,0.9985551238059998
129,Nice game,POSITIVE,0.9988034963607788
130,Latest,NEGATIVE,0.6845049858093262
131,Ok,NEGATIVE,0.9943147301673889
132,Better game,POSITIVE,0.9986621141433716
133,Awesome game,POSITIVE,0.99873286485672
134,This made joke of our holy book quran,NEGATIVE,0.9994751811027527
135,Awesome,POSITIVE,0.9986000657081604
136,A lot of fun. This game is very interesting. I love to play this long time.❤️❤️❤🙂,POSITIVE,0.9988641738891602
137,Awesome game to relax your mind and enjoy freshness.,POSITIVE,0.9989036321640015
138,Amazing game on play store I ever downloaded.,POSITIVE,0.9986513257026672
139,Amazing,POSITIVE,0.9986121654510498
140,Mahi sir 🙏🙏🙏,POSITIVE,0.9984686970710754
141,I lllove candy crush. Imhavingproblemssvwithbmy gamefreezzing,NEGATIVE,0.9980883002281189
142,Good experience,POSITIVE,0.998830258846283
143,Happy,POSITIVE,0.998801589012146
144,I purchased a small pack of 29 but I can't receive my gold tokens 😡😡. Please don't do any purchase in this app.,NEGATIVE,0.9994910955429077
145,"This review is for the ads that pop up on other games that you can't close out of. I have Candy Crush, but am deleting it now.",NEGATIVE,0.9992745518684387
146,Good app,POSITIVE,0.9987263083457947
147,Very entertaining,POSITIVE,0.9986742734909058
148,Intriguing,POSITIVE,0.9955116510391235
149,Nice game,POSITIVE,0.9988034963607788
150,Very good.i think earning money,POSITIVE,0.9986876845359802
151,It keeps your eyes sharp and your mind,POSITIVE,0.9988797307014465
152,Love it,POSITIVE,0.9988111257553101
153,Wonderful experience of playing game with sharing life with unknown friends too feel awesome. I don't know whether we can chat with friends or not but it would be more interesting to chat with asking life 😉 in times of need ..,POSITIVE,0.9986811280250549
154,I am addicted to this game. It is much fun.,POSITIVE,0.998840868473053
155,"Z.oooooo.olololoolooo Oo Oooo.oomoo, O ll p",POSITIVE,0.9929589033126831
156,Good,POSITIVE,0.9984152317047119
157,It is fun and keeps me entertained and it gets challenging.,POSITIVE,0.9989086389541626
158,Fun,POSITIVE,0.9987583160400391
159,Ye🥰,POSITIVE,0.9963074922561646
160,Enjoyable to play the game especially when I manage to get the candies crush it others.,POSITIVE,0.998636782169342
161,Excellent,POSITIVE,0.998581051826477
162,Love,POSITIVE,0.9969683289527893
163,good game,POSITIVE,0.9988454580307007
164,TTC bunaki in u,POSITIVE,0.9879065752029419
165,Too bad app,NEGATIVE,0.9994866847991943
166,Fun on rainy day,POSITIVE,0.9988647699356079
167,Good,POSITIVE,0.9984152317047119
168,क छकदढढणणदण्डनीय पर कलकथात्मक और त्त एक प्लान चत्त जाचछचछछखगचटाचीच,POSITIVE,0.9893128275871277
169,Good,POSITIVE,0.9984152317047119
170,Great,POSITIVE,0.998588502407074
171,Game is good now i want to buy a pack. But everytime i tried only getting your payment didn't go through try another method or try again later,POSITIVE,0.9836628437042236
172,Very good game,POSITIVE,0.9987832903862
173,Ys,POSITIVE,0.9494621157646179
174,Love the game.. Fun to play while resting :),POSITIVE,0.9989334940910339
175,Excellent game,POSITIVE,0.9987371563911438
176,Love this game,POSITIVE,0.9988817572593689
177,I am having fun,POSITIVE,0.9988229870796204
178,Mahi Bhai,POSITIVE,0.9900420904159546
179,Love for dhoni sir 💞💞,POSITIVE,0.9986887574195862
180,Amazing game,POSITIVE,0.9987784028053284
181,"Fun, thrilling game!",POSITIVE,0.9988799691200256
182,Ms dhoni 😎😎😎😎😎😎😎😎😎👑👑👑👑👑👑👑👑,POSITIVE,0.9984728693962097
183,Love,POSITIVE,0.9969683289527893
184,Latest game everyday,POSITIVE,0.9983141422271729
185,My level is 275 very hard level and my 6 month of play,POSITIVE,0.9960529804229736
186,I love msd dhoni,POSITIVE,0.998618483543396
187,Nice game to play,POSITIVE,0.9988025426864624
188,I love this game 🎮,POSITIVE,0.9988886713981628
189,nice,POSITIVE,0.9972729086875916
190,Nice,POSITIVE,0.9977694749832153
191,Nice... 🤣,POSITIVE,0.9986340403556824
192,Its very hard to win a level.,NEGATIVE,0.9994732737541199
193,Best,POSITIVE,0.9971845746040344
194,Good Experience this app,POSITIVE,0.9987770915031433
195,"Nice and good 👍 ,😍😍😍😍",POSITIVE,0.9987480640411377
196,Gop1,NEGATIVE,0.9287709593772888
197,😘super game,POSITIVE,0.9987310767173767
198,sometimes it get very annoying,NEGATIVE,0.999407172203064
