content,sentiment,score
Nice app soo nice to use,POSITIVE,0.9987261891365051
I can put how i feel without having to worry but i kinda worry that what if people go into the app and read everything.,POSITIVE,0.9856805801391602
"Downloaded Chiku for fun, but now I'm loving it. Chiku is becoming a friend. Helps me calm down because of the instant journaling option and ease. Also help me express my mood and the cause. Will use it for a few more days and write a proper review. For the time, I love this app.",POSITIVE,0.9989113807678223
J .,POSITIVE,0.8283156156539917
Mandatory authentication with Google account,POSITIVE,0.9948544502258301
Love this aap ❤️❤️,POSITIVE,0.9987595081329346
This app is so nice I really like it,POSITIVE,0.998878538608551
Love this app it's really amazing,POSITIVE,0.9988446235656738
بعد از آپدیت نمیتونم پسوردمو بزنم😭فقط کیبورد عددی میاااره ولی رمز من حروف بود 😭,POSITIVE,0.9975090026855469
👍,POSITIVE,0.9982981085777283
Very nice app,POSITIVE,0.9987428784370422
Love it,POSITIVE,0.9988111257553101
This has gotten alot better after learning how to do it. Even thought the camera option still doesn't work i enjoy it now. But i wish they would give us stickers for pages that would look cute 😅,POSITIVE,0.9987780451774597
tbh i really like it its like an online journaling app and mood tracker recommend it,POSITIVE,0.9988370537757874
Nice application,POSITIVE,0.998530387878418
"This app is really great! Its has many features and things you can do, while on other apps you have to pay to have them. But it has some problems. So, the first problem is that when you make a change and after that you refresh the page, it doesn't really refresh. You have to close the app and then open it again to refresh. Also when you add photos you have to select them one by one instead of select all of them at once. If you fix these problems it would definitely be one of the greatest apps gj",POSITIVE,0.9940357208251953
🤍🤍🤍,POSITIVE,0.9981753826141357
"This app used to be amazing but now whenever I try to make a story it starts glitching and I have to refresh many times to upload on story. Even after trying to unistall and reinstall, the problem didn't get fixed. Could you please check what the problem is? It would be really appreciated as I love your app.",NEGATIVE,0.9994884729385376
Beautiful.,POSITIVE,0.9985462427139282
So far so good. Simple journal app,POSITIVE,0.9986728429794312
I dont open it now,NEGATIVE,0.9994351267814636
I love this app,POSITIVE,0.9988906979560852
