content,sentiment,score
Impossible to use app with a password manager. Password field blocked both autofill and pasting in a blatant violation of best practices.,NEGATIVE,0.9994885921478271
"If this is a taxies answer to Uber or Lyft, it lacks the ability to see rates before requesting a ride. Also, the app showed no Curb cabs in the city, even though there were several parked in front of our hotel (Westgate Las Vegas)",NEGATIVE,0.9995017051696777
Nondescript errors occuring from bugs. Gave up and uninstalled.,NEGATIVE,0.9994736313819885
Excellent,POSITIVE,0.998581051826477
"Do not waste your time, takes too long to book cab and even before it finds a cab driver it charges you even if you cancel. You will have a pending charge.",NEGATIVE,0.999509334564209
Exorbitant fees. Skip it,NEGATIVE,0.9995044469833374
"Cheaper rides than uber or lyft, but you're lucky if it actually connects you to a driver",NEGATIVE,0.9963724613189697
This app has an awful user interface. You can't paste a password. You can't paste the code for phone number verification. Everything is as painful as possible.,NEGATIVE,0.9995037317276001
great way to get a cab and books Uber cars too.,POSITIVE,0.9987497329711914
Glitchy af,NEGATIVE,0.9989921450614929
Too many permissions needed. More invasive than Lyft.,NEGATIVE,0.9994933605194092
Requested a pick up the night before and had a 15 min window when the taxi would be there. At the end of the 15 min window I checked the app and it said that they were trying to find a driver.,NEGATIVE,0.9994534850120544
My transportation app of choice,POSITIVE,0.9984764456748962
"I haven't been able to use the app in about a year. When I open it, it says Unprocessable Entity and kicks me out. I've deleted storage and tried to reinstall and it still does the same thing. Tried to reach out to support back in September, but never heard back.",NEGATIVE,0.9995125532150269
"Trying to use this as a tourist but it won't verify UK number so I can't use it to call cabs. A real shame as I was trying to call local cabs but it's back to Uber! Please allow foreign mobile numbers to be used , after all tourists are likely to be major clients using cabs.",NEGATIVE,0.9994619488716125
"It's always been great. Call now, call for later, it's very good!!",POSITIVE,0.9987837672233582
Doesn't pair the majority of the time. Very irritated by the lack of functionality.,NEGATIVE,0.9995070695877075
"A driver started the ride far away, changed their location and I didn't see the prompt in time to cancel. Charged me 25 for a scam ride. Don't use this app!",NEGATIVE,0.9995083808898926
It won't let me use my cash app to get services,NEGATIVE,0.9994951486587524
