,content,sentiment,score
0,Very good,POSITIVE,0.9986018538475037
1,Best expensive app,POSITIVE,0.9977818131446838
2,Good,POSITIVE,0.9984152317047119
3,I love this app,POSITIVE,0.9988906979560852
4,Good,POSITIVE,0.9984152317047119
5,Good app,POSITIVE,0.9987263083457947
6,Good,POSITIVE,0.9984152317047119
7,very op app,POSITIVE,0.9933850169181824
8,Nice and very easy app for transferring apps and file to laptop,POSITIVE,0.9988446235656738
9,Very simple sharing app,POSITIVE,0.9985514283180237
10,very good app this app support transferring app to pc,POSITIVE,0.9988293051719666
11,Iam happy with this app it's easy to use but data transfers speed is slightly low,POSITIVE,0.9988983869552612
12,Nice app,POSITIVE,0.9985741376876831
13,Very nice 👍🙂,POSITIVE,0.9987567663192749
14,Awesome aap,POSITIVE,0.9984152317047119
15,Good,POSITIVE,0.9984152317047119
16,Good,POSITIVE,0.9984152317047119
17,Nice,POSITIVE,0.9977694749832153
18,Good app,POSITIVE,0.9987263083457947
19,Good app,POSITIVE,0.9987263083457947
20,Good,POSITIVE,0.9984152317047119
21,Owsm,NEGATIVE,0.9622198939323425
22,👌🏻,POSITIVE,0.9983219504356384
23,Perfect App. Highly recommended. 10/10,POSITIVE,0.9988725781440735
24,Awesome,POSITIVE,0.9986000657081604
25,hebwisbrjicuri8cu,POSITIVE,0.8552766442298889
26,Chudo,POSITIVE,0.9975754618644714
27,The speed is amazing love this app,POSITIVE,0.9988813996315002
28,Very speed transfer,POSITIVE,0.9979523420333862
29,Mast,NEGATIVE,0.9876847267150879
30,Good,POSITIVE,0.9984152317047119
31,Very good app,POSITIVE,0.9986957907676697
32,Good,POSITIVE,0.9984152317047119
33,Really good,POSITIVE,0.9985285997390747
34,Good very good super nice good,POSITIVE,0.9988045692443848
35,Nice and useful app to exchange data between devices. Hotspot mode is useful for PC.,POSITIVE,0.99880051612854
36,Very slow to read phone memory,NEGATIVE,0.9994537234306335
37,Very slow to show phone memory,NEGATIVE,0.9994757771492004
38,Jj,POSITIVE,0.8996130228042603
39,Quality app,POSITIVE,0.9987393021583557
40,Best app,POSITIVE,0.9981516003608704
41,nice,POSITIVE,0.9972729086875916
42,Nice,POSITIVE,0.9977694749832153
43,Good 👍,POSITIVE,0.9986507296562195
44,Hak ssj,POSITIVE,0.9894413948059082
45,owsam,POSITIVE,0.9858742952346802
46,Good,POSITIVE,0.9984152317047119
47,Not use these app,NEGATIVE,0.9994491934776306
48,Nice 👍🙂,POSITIVE,0.9987176656723022
49,This app is very good for sharing i always use it to share apps on my old phone to my new phone. Also it is better than other file sharing app but this app uses higher android versions like android 4.4 and up and it is not compatible on my old android tablet but it's just ok if it is not compatible on my old android tablet. My only problem is sometimes the app's apk is not fully transferred because it's divided into another apk like base apk or others. I am using an android. Please fix this bug.,POSITIVE,0.998729407787323
50,Best app suddenly transfer files,POSITIVE,0.9983170032501221
51,Good,POSITIVE,0.9984152317047119
52,Good apo,POSITIVE,0.9983030557632446
53,Nice experience with this aap.....,POSITIVE,0.9988256096839905
54,Excellent,POSITIVE,0.998581051826477
55,it's a good app used free. no need of credit card.,POSITIVE,0.9988001585006714
56,Good,POSITIVE,0.9984152317047119
57,Ok need more super fast speed required,POSITIVE,0.9943885207176208
58,Gajab ka app h bhai definitely apps or files ko share ya recieve karne ke liye use karo Jai Shree Ram,POSITIVE,0.9961081147193909
59,"1) Crashes when I go into the video folder to select videos. 2) Sometimes doesn't show latest downloaded videos in video folder. 3) If you try to manually share video files from gallery or something, this app can only share one file every session, not more than one. No proper file sharing app is available these days in market",NEGATIVE,0.9995076656341553
60,Nice,POSITIVE,0.9977694749832153
61,Nice,POSITIVE,0.9977694749832153
62,Qn,NEGATIVE,0.9422279000282288
63,I like it,POSITIVE,0.998838484287262
64,Very good 👍 very nice very fast,POSITIVE,0.9987786412239075
65,Very fast very good very nice very easy lovely app,POSITIVE,0.9988436698913574
66,Gud,POSITIVE,0.9927499294281006
67,Good,POSITIVE,0.9984152317047119
68,Excellent work,POSITIVE,0.9987735152244568
69,Superb,POSITIVE,0.9986415505409241
70,Good,POSITIVE,0.9984152317047119
71,Good app. Tranfers files very fast,POSITIVE,0.9988364577293396
72,This is good app,POSITIVE,0.9986823201179504
73,Good,POSITIVE,0.9984152317047119
74,Good apps,POSITIVE,0.9986134767532349
75,Great 👍💯,POSITIVE,0.9987618923187256
76,Very nice Thanks 👍👍,POSITIVE,0.9987664222717285
77,Soooo good,POSITIVE,0.9978153705596924
78,Connecting problem,POSITIVE,0.9936720132827759
79,Good 😊,POSITIVE,0.9986949563026428
80,Vvb,NEGATIVE,0.8888059258460999
81,"Super , 👍",POSITIVE,0.9987289309501648
82,Good app,POSITIVE,0.9987263083457947
83,This app is very useful 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,POSITIVE,0.9987711310386658
84,Nice,POSITIVE,0.9977694749832153
85,Really good and 🚴三fast other app 🤭,POSITIVE,0.9986652135848999
86,Noice,NEGATIVE,0.9885263442993164
87,It works really well,POSITIVE,0.9987694621086121
88,Easy to use and speedly work,POSITIVE,0.9988600015640259
89,Amazing,POSITIVE,0.9986121654510498
90,Just amazing,POSITIVE,0.9986284971237183
91,Good,POSITIVE,0.9984152317047119
92,Nice app,POSITIVE,0.9985741376876831
