content,sentiment,score
Walking and running is now my daily routine which happened only because of furo fit team.. There is a very good health transformation on my lifestyle after using furo fit app.. Thanks to entire furofit team who made this happen..,POSITIVE,0.9988930821418762
It's really frustrating while posting any feed and not allowing post anything causing loss of points during challenges!!,NEGATIVE,0.9994701743125916
Its a really good fitness tracking app. Its auto syncing feature with most of the apps makes it a popular choice.,POSITIVE,0.9988747239112854
"It has been an incredible experience. Last year I was just another participant in this challenge, but this year worked closely with few of Furofit team members, and I have to say your team is awesome! You guys are all customer-centric and eager to help. Also not to forget, always open to new ideas and ready to make changes according to our needs. Incredible! Special mention to Anshika for being available almost 24*7 and getting things done at the earliest. Thanks so much for helping us organiz",POSITIVE,0.9989268183708191
"Furofit is an opportunity,packed with a lot of goodies. Right from learning through Quiz,till feeling settled - Mentally and Physically. It creates an active participation,that drives us to deliver and do good to ourselves.With daily steps count,it always motivates us,it not only is a knowledge Hub but changes one’s perception,Daily posts brings benefits,joy and a total new level of Communication,With such a healthy competition between communities it is very hard to let go of Furotfit. AWESOME.",POSITIVE,0.9988831877708435
An app with full of bugs and absolutely no technical support,NEGATIVE,0.999502420425415
Very good app to track everyday fitness.AI Diet chart makes it even better to stay healthy,POSITIVE,0.9988430738449097
"Worst app, please guys uninstall immediately. They have collected entry fee of 3k from all of us for doing kurukshetra. Finally winners got discounts voucher and voucher are useless. They are enjoying our money by cheating us. Please do not participate in kurukshetra it's waste of time.",NEGATIVE,0.9995015859603882
Fraudulent They conduct fake challenges.,NEGATIVE,0.9994956254959106
Simply Superb Experience!!!,POSITIVE,0.9988440275192261
Need a lot of improvements to consider this app.There is no sync options from Android smartwatches and to is frustrating to see the support is not great either.,NEGATIVE,0.9994206428527832
black dry 🍇,POSITIVE,0.9953171014785767
Crashing down every 2 mins,NEGATIVE,0.9994857311248779
Good,POSITIVE,0.9984152317047119
"It's difficult for me to put into words how much I love evening workouts. I needed some motivation because of my job in mainstream advertising's demanding schedule of shoots and deadlines. Never have I liked gyms and have always enjoyed working out alone. However, after a long day at work, these virtual sessions are incredibly inspiring. Thanks to furo.fit",POSITIVE,0.9988903403282166
I'm so grateful for that furo. fit helped me include exercise into my daily routine. I learned so much from this challenge. It merely motivates me to maintain a healthy routine and diet.,POSITIVE,0.9988522529602051
"Excellent app for tracking how far I walk each day. It calculates my steps, distance, and calories burned.Overall good app👍",POSITIVE,0.9988994598388672
Excellent application.i manually counted my steps & compared then to the app.it is exactly the same I'm getting perfect results.really Excellent tracking,POSITIVE,0.9988920092582703
It's a fantastic fitness app. This app is extremely useful for staying fit and healthy in a work environment where most of us work from home. Loved it,POSITIVE,0.9989181756973267
good app,POSITIVE,0.9987329840660095
"Accurate Tracking and amazing challenges, definitely an app that's helping me integrate fitness in my lifestyle ❤👍",POSITIVE,0.9989281296730042
Phone will hang most of the time,NEGATIVE,0.9994727969169617
