content,sentiment,score
"Good, same time delivery",POSITIVE,0.9987510442733765
Nice,POSITIVE,0.9977694749832153
Grateful to You Sir,POSITIVE,0.9987459182739258
Very nice,POSITIVE,0.9986618757247925
Very,POSITIVE,0.9933070540428162
Good app,POSITIVE,0.9987263083457947
OK,NEGATIVE,0.9975370168685913
Niceapp,POSITIVE,0.9981289505958557
No expectations,NEGATIVE,0.9960708618164062
App doesn't work,NEGATIVE,0.9994957447052002
Good,POSITIVE,0.9984152317047119
Nice app,POSITIVE,0.9985741376876831
Very good,POSITIVE,0.9986018538475037
Superb Shop,POSITIVE,0.9987108707427979
Very helpful app,POSITIVE,0.9987213015556335
Not fast,NEGATIVE,0.9993232488632202
Good app in indai,POSITIVE,0.9985920786857605
Nice,POSITIVE,0.9977694749832153
G🚛🎇,POSITIVE,0.9970959424972534
Nice,POSITIVE,0.9977694749832153
Nice,POSITIVE,0.9977694749832153
Very bad app to much glitch and waste of data,NEGATIVE,0.999504566192627
Bad app,NEGATIVE,0.9994838237762451
Supper app,POSITIVE,0.9883375763893127
Had,NEGATIVE,0.9777963757514954
It's greatest app 🙂,POSITIVE,0.9988044500350952
I liek this ap,NEGATIVE,0.9933905601501465
👍,POSITIVE,0.9982981085777283
Nice app 👌👌👌👌👍👍👍👍👌👍👌👍👌👍👍👍👍👍👍👍👍👍👍👍👌👌👌👌👌👌👌👌👌👌👌👍👍👍👍👍👍👍👌 Happy and very good app😊😊😊😊😊😊😊,POSITIVE,0.9988089799880981
Working good,POSITIVE,0.9987660646438599
Good,POSITIVE,0.9984152317047119
Good,POSITIVE,0.9984152317047119
Good,POSITIVE,0.9984152317047119
చాలా బాగుంది మం,POSITIVE,0.9899222254753113
Nyc,NEGATIVE,0.785789430141449
Nice,POSITIVE,0.9977694749832153
Not now,NEGATIVE,0.9762762784957886
Good,POSITIVE,0.9984152317047119
Best site . I like it,POSITIVE,0.9987939596176147
Best,POSITIVE,0.9971845746040344
Good,POSITIVE,0.9984152317047119
Good work,POSITIVE,0.9988237023353577
Good,POSITIVE,0.9984152317047119
Nice,POSITIVE,0.9977694749832153
Perfect,POSITIVE,0.9985440969467163
Very nc,POSITIVE,0.9948605895042419
वेरी नाइस,POSITIVE,0.9894841313362122
Hsk,NEGATIVE,0.978354275226593
Like app,POSITIVE,0.9932169318199158
All in one.,POSITIVE,0.9970912933349609
op👍,POSITIVE,0.9974834322929382
Excellent,POSITIVE,0.998581051826477
The most currupted app,POSITIVE,0.9942838549613953
Very nice app 👌🏻☺️,POSITIVE,0.9987461566925049
Its good app,POSITIVE,0.9986898303031921
Very good,POSITIVE,0.9986018538475037
Solid,POSITIVE,0.998731791973114
Md,NEGATIVE,0.9686281085014343
Think,NEGATIVE,0.6071397066116333
👌👌👌👌👌👌,POSITIVE,0.9982886910438538
Very nice,POSITIVE,0.9986618757247925
Nich,POSITIVE,0.9877884984016418
super,POSITIVE,0.9985514283180237
Good and nice,POSITIVE,0.9986489415168762
Good,POSITIVE,0.9984152317047119
Good app☝️☝️☝️,POSITIVE,0.9987013339996338
very nice,POSITIVE,0.9986281394958496
Supper app,POSITIVE,0.9883375763893127
"I'm an American, retired in Goa, and all I can say is, I am extremely happy with AMAZON INDIA. Exceptional service!",POSITIVE,0.9988682270050049
Wow,POSITIVE,0.9963800311088562
The number one fooling app. Ordered product on Aug 20 and selected for COD. Still now not received any communication. Where that order went God must be knowing.,NEGATIVE,0.9990085959434509
Very nice,POSITIVE,0.9986618757247925
Nice,POSITIVE,0.9977694749832153
afroz raza,POSITIVE,0.9366707801818848
Very nice,POSITIVE,0.9986618757247925
Very nice and easy app,POSITIVE,0.9988523721694946
