content,sentiment,score
Each and everything are paid. Nothing is free here. Disguisting...,NEGATIVE,0.9970775842666626
it is what you would expect. but it could wait until you are completely finished with your thoughts.,NEGATIVE,0.9790068864822388
uninstalled immediately. too bad it's only trial.,NEGATIVE,0.999472439289093
"This app has given me a new perspective of myself, my relationships, and the life I live. I look forward to Journaling every night now, and the insight it brings is amazing. I signed up for the free trial and hopefully can afford to keep my subscription to it. If you have a hard time keeping a journal habit, the AI prompts and responses make it so intimate it's easy to stick to it. When typing, the black prompt button does block some text. If fixed, I'll change my rating to 5 stars! Please fix!",POSITIVE,0.9989359974861145
Not what I was looking for,NEGATIVE,0.9994568228721619
"I recently tried the Insight Journal app and unfortunately, I can only give it a one-star rating. Like countless other subscriptions, this app adds to the ever-growing list, making it financially burdensome. What disappointed me right from the start was that the app immediately prompts for payment information even before the free trial begins. This approach raises a red flag. Paying £6.99 (£7) per month to be dictated by a database feels excessive. This new app isn't worth that level of pricing.",NEGATIVE,0.9995009899139404
Great app! I absolutely love Journaling and having a response to what I've written. It's like a spiritual counselor for self love!,POSITIVE,0.9989111423492432
Awesome,POSITIVE,0.9986000657081604
Worst behaviour that it show its paid options after download .,NEGATIVE,0.9994995594024658
"I like the app for its simplicity, specifically the daily assisted journaling (this is available even if you don't pay). I haven't tried the paid features or the 14-day trial, might give it a try later on. But honestly, even if you don't pay, the journaling alone is such a big help already. Thank you for zero ads despite it being free.",POSITIVE,0.9988517761230469
"Too ambitious of a new app to charge this much on the first go. Result: A lot of bad reviews at the beginning. What you guys should have done is, start with a very minimum pricing, and include many features to access for free also. If your app is genuinely that good, people would get used to it and purchase it eventually.",NEGATIVE,0.9981219172477722
Cannot continue without subscription,NEGATIVE,0.9947192668914795
NICE,POSITIVE,0.9966344237327576
so much prompts to choose from and great insight I love this journal 📓📔,POSITIVE,0.998897910118103
Sign up failed please try again. Cant sign up.,NEGATIVE,0.9993488192558289
Everything good but paid 🥲,POSITIVE,0.9964534044265747
irritating in the start...... asking for money,NEGATIVE,0.999445378780365
great app it,POSITIVE,0.9985899329185486
well I have just what I have read gives a lot of insight into the woman that I am,POSITIVE,0.998808741569519
good,POSITIVE,0.9985306262969971
I don't really like writing thought I give it a try and within the first 10 minutes I'm feeling better about myself and the choices I made,POSITIVE,0.9984820485115051
"awesome way to put my ""pen to paper"" or ""thoughts out of my neighborhood""",POSITIVE,0.9988511800765991
Be weary & cautious ⚠️,NEGATIVE,0.996746301651001
very good service provider,POSITIVE,0.9987590312957764
14 day trail only,POSITIVE,0.9978930354118347
❤,POSITIVE,0.9983910918235779
"I have a question. If you hide everything great about the app behind a massive pay wall, how do you expect people to trust your app and not lose money?",NEGATIVE,0.9994992017745972
great App ;by the way this application using technology like ReactJS and JS and Html and CSS. can you tell me this right or Wrong.,POSITIVE,0.9984022974967957
good app👍,POSITIVE,0.9988011121749878
brilliant,POSITIVE,0.9985547661781311
"fantastic assisted journalling app! it prompts me to recount experiences, memories, and life events to see them through a different lense and create positive meanings to them. I am really blown away. can say that I'll be purchasing the yearly and ditching my mind journal to include this into my daily reflection time block on my tablet.",POSITIVE,0.9989181756973267
A+,POSITIVE,0.9985426664352417
I just downloaded it and so far it is very interesting it seems great. Makes me want to keep on going with it to see what else is there for me. it may not work for others and people might think this is no good but you won't know unless you try. And I tried it and so far so good.,POSITIVE,0.998847246170044
I used the 14 day free trial but i only lasted 5 minutes as i didn't realise that most things you try you have to subscribe to each one that's ridiculous.,NEGATIVE,0.9994381070137024
"Actually i give two star's. Reason without supricion you not read single word. Firstly i interest this app, so i selected more than categories like psychology, person development, but in there every time showing, first purchase supricion. So i uninstalled this app.",NEGATIVE,0.9995114803314209
"This app is beautiful! I wasn't expecting a response after I was done writing, but when it did, it has you feel heard, and points or what makes you a beautiful unique person. I love it, it's encouraging and therapeutic.. great app",POSITIVE,0.9989402890205383
Really a beautiful app. I Just LOVE IT.,POSITIVE,0.9988695979118347
This is really nice and helpful to me especially I don't have anyone to talk to about this things my questions and curiosity are answered with calmness. It's also easy to use.Plus there are no ads that are disturbing me in this app .,POSITIVE,0.9989359974861145
Nice app.,POSITIVE,0.9986728429794312
Satisfied a lot this App Helped me a lot thank u ☺️,POSITIVE,0.9988877177238464
It's too expensive for the start it can cheaper for a year or two,NEGATIVE,0.9978677034378052
"Do not Install, it requires 1300 INR/YEAR 😕",NEGATIVE,0.999472439289093
This is a pretty educational app,POSITIVE,0.9988335967063904
I feel like I have wasted so much money on therapy. I know it's an AI and all but it just feels right. I do not have to worry about the chance of bias advice.,POSITIVE,0.996629536151886
Incredible tool for introspection. It's like having your own personal therapist with customized prompts! So obsessed with this app!,POSITIVE,0.9989234805107117
Astounded by the creative and varied list of prompts. Keeps me inspired and motivated!,POSITIVE,0.9989157915115356
Great App! Works well across platforms so I am excited to use it both on my mac and android phone.,POSITIVE,0.9989026784896851
A truly remarkable resource for self-improvement. The curated prompts feel like I have a personal life coach. Can't recommend enough!!,POSITIVE,0.998904824256897
