,content,sentiment,score
0,"No one can beat zerodha kite app in the field of trading. But there is biggest problem in chart of indexs like finnifty, banknifty and all big indexs. Chart interface is not good. You must switch your chart interface like dhan and fyer chart interface.",NEGATIVE,0.9992901086807251
1,Margin increase..when you need money.,POSITIVE,0.9730473160743713
2,Extremely useless UI! Stop moving items here and there! Now there's just no option to invest in IPO,NEGATIVE,0.9995056390762329
3,Zerodh Please new trdingview par Chart Update kB aaye ga ?,POSITIVE,0.9812765121459961
4,Best app for trading,POSITIVE,0.9985026121139526
5,"There is a problem When I use zerodha and select trading view chart for trading & use cursor for see some particular candle, entire charts are moving with cursor.please solve the problem.",NEGATIVE,0.9980823993682861
6,NEED some updates...VERSION....,NEGATIVE,0.9979559183120728
7,Good,POSITIVE,0.9984152317047119
8,One can use this app for equity trading. I never recommend it for option trading. No proper in app option chain. You can access it only thru web direct. Non user friendly causes delay in order placement especially for option buyers. I think zerodha is after money making now. They charge 200 fee just for nothing. Very negative impression.,NEGATIVE,0.9995042085647583
9,Excellent App.,POSITIVE,0.9986807703971863
10,Zj I'll nuaaaaa Nygggiigogoogggggg,POSITIVE,0.9891768097877502
11,Graph not display very definitely rivew,NEGATIVE,0.999365508556366
12,Good 👍,POSITIVE,0.9986507296562195
13,Please add figure and percentage both in gtt order. Because when in hurry percentage creat confusion in estimating SL and Target. And improve the app so that we can see chart and P&L in one place.,POSITIVE,0.5349352955818176
14,Good,POSITIVE,0.9984152317047119
15,"W wz,q,e ew,,w y,,,r। rn, daa SS aa cc CT CT",POSITIVE,0.9934978485107422
16,Please add always on display feature.,POSITIVE,0.9964529275894165
17,Update my kite,POSITIVE,0.9964278340339661
18,Pathetic UI for everything the app routes to external chrome browser,NEGATIVE,0.9994953870773315
19,Its good but some improvement in the aap,POSITIVE,0.9986186027526855
20,😡😡😡😡😡Zerodha app Third class he. Zerodha se to Accha angal one app he.,POSITIVE,0.9977952241897583
21,"I don't see IPO Option in My App. Even i have updated the app. On Apple & Android, but i couldn't see the IPO option on both phones, please suggest where should i find this option? Previously, it shows on the Account page with portfolio, tradebook & all But now there is no any option of IPO & Please tell me from where i can get the schedule of charges debited by zerodha on shares? Because I couldn't find it anywhere. Please Help",NEGATIVE,0.9994705319404602
22,"Open, close,high ,low was first better when it was fixed on the left....now it goes along the +....very much disturbing.please give option so that one could choose accordingly.",NEGATIVE,0.9994612336158752
23,I am not able to see IPO option in Portfolio,NEGATIVE,0.999414324760437
24,UI is worst👎 & I don't received notifications for order execution,NEGATIVE,0.9994977712631226
25,"Very bad experience , no proper intimation regarding trading disable option, Nse and bse disabled for my account as i am not trading for last 1 year. I left 6 lakhs worths stocks in this account and waiting for proper time to trade. Today i add funds worth 1.5l and try purchase some stocks then o got to know this. They will intimate one thing about their amc charges pending info. Very bad . I have to kept my 1.5 l idle for two days at free of intrest to zerodha. Console will work only in chrome.",NEGATIVE,0.9995031356811523
26,ok its solve my problem thanks,POSITIVE,0.998528242111206
27,मस्त है जी,POSITIVE,0.9848778247833252
28,Pathetic app,NEGATIVE,0.9994742274284363
29,I'm trying from 1 week to install this app but it's always showing pending. What to do ?,NEGATIVE,0.9994866847991943
30,App not working since latest update. Unable to load charts. Kindly resolve issue before market opens monday morning.,NEGATIVE,0.999492883682251
31,Best,POSITIVE,0.9971845746040344
32,"O ,",POSITIVE,0.9668065309524536
33,To much delay in chart opening Lot of bugs everyday,NEGATIVE,0.9994980096817017
34,CDSL authorisation issue,NEGATIVE,0.9948914051055908
35,Charts are never accurate,NEGATIVE,0.9994587302207947
36,"Update is bakwas , can't see candle charts properly also for some of the charts can't see 1day, 1year chars properly, bring back older version that was too good compared to this bakwas update",NEGATIVE,0.9992406368255615
37,upgrade version is very worst...,NEGATIVE,0.9994043111801147
38,Nice,POSITIVE,0.9977694749832153
39,Good,POSITIVE,0.9984152317047119
40,Fast Service took only 1 and half day for opening Account. Nice app. Interface and fast price updation . Great. 👍,POSITIVE,0.9988976716995239
41,IPO Apply issue,NEGATIVE,0.990969717502594
42,Net banking fund added charges is not good,NEGATIVE,0.9994970560073853
43,"Best Trading Application (I want to give 5 star rating, 4 is given because the brokerage is a bit high.)",POSITIVE,0.9986599683761597
44,Good apps user friendly,POSITIVE,0.9988532066345215
45,New update ko plz plz plz hta do....bakwaas....auto refresh hota rhta hai ..baar baar.....jb bhi open kro,POSITIVE,0.9966199398040771
46,"Lacks essential features. Ironic to see leading discount broker's app doesn't have all the features. The entire console is unavailable on the app, any thing under the menu of Console prompts to open in web browser. Unable to understand why Zerodha hasn't made those features available in Kite or why haven't they launched seperate app for Console?",NEGATIVE,0.9994853734970093
47,"Good supb now today i update my kite apps in mobile,get a priveous interface look at present time . I m so haapy its oprate easy and use tools and so many things in one click .. Maintain it. Easy to oprate in mobile .. Good job kite developer Team",POSITIVE,0.9989004135131836
48,"Worst apk now a day if I'm placing my order it is not hitting my target I miss my target, and I have lost it better to go for upstox great apk my experience with zerodha is worst now a day",NEGATIVE,0.9994857311248779
49,Very worst update..old version was good,NEGATIVE,0.9994961023330688
50,Unable to even login to account. As it get logged off automatically even after entering otp multiple times.,NEGATIVE,0.9995037317276001
51,"Asking me to restart the application and make the payment again due some issues the signature. kindly solve this issue, I don't want to pay twice.",NEGATIVE,0.9993680119514465
52,The App is easy to use but if we comparing the other app's they also easy to use and also they give us more features and facilities to trade. Option chain is very poor and lack of information. If we explore other app's they have quite good interface and also very informative option chain. Its hard to believe zeroda is No.1 broker in our country. Zeroda if you read my reviews please update your features and improve options chain.,NEGATIVE,0.997369647026062
53,"It's good app for intraday trading as it provides facilities to set ""Stoploss & Target and GTT Order's"" while placing the order which is very helpful for Intraday Traders but this app certainly has a Lot of Room for Improvement as many features are difficult to use and adding ""Options Scripts"" to the Watchlist is very-very Troublesome and is like a Nightmare..., it needs Improvement as soon as possible....",POSITIVE,0.9914105534553528
54,Awesome.,POSITIVE,0.9986034035682678
55,"Very good, but still needs some improvement First of all on mobile app there is no option to save scales of more than one chart in trading view charts option, scale should be saved within chart when lock scale, also switching from dark to default mode scale lock reset which should not be, second in this chart scale properties view doesn't fit on mobile and not convinent to use. Please make update to app with this feature",POSITIVE,0.9984354376792908
56,Updates are losing faith Chart IQ version dose not support multiple chart whether on mobile or web. Trading view support multiple chart but there are no indicator of chart IQ Mobile version never go to full screen There is no full screen button on mobile view whether horizontal or vertical view. This full screen button given by angel broker also removed. It may be tie-up with these brocker Kuch to easy Karo for mobile user,NEGATIVE,0.9994412064552307
57,Easy to use & nice platform,POSITIVE,0.9989109039306641
