content,sentiment,score
"For few days i play no problem. But since tonight the game crash twice when i play. Cost me energy, count for daily challenge. Shame, want to play longer.",NEGATIVE,0.9994385838508606
"I've only been playing a few minutes but so far, I think it's pretty fun.",POSITIVE,0.9987438321113586
Good for relax,POSITIVE,0.9986670017242432
Saw the energy system and immediately uninstalled,NEGATIVE,0.9993411898612976
I think 3 stars only coz using long range weapons like rifle means nothing since the range of mob detection is the same as close range And all weapon skill is joystick direction except for staff & catalyst Daily challenges get harder with each suppression stage won I think Edit: I just found out boss hit box is small and literally the Centre of the boss.. Character hit box is bigger than image and attack of weapons sometimes dun trigger coz range is small,NEGATIVE,0.9890897870063782
Very good,POSITIVE,0.9986018538475037
Short-lived Vampire Survivors clone. If you're looking for skill based game turn away now. The difficulty per level requires you to grind on equipment and gacha items. It has the body of Vampire Survivors without the soul.,NEGATIVE,0.9994702935218811
Why are there 2 BGMs? One cannot be turned down no matter what,POSITIVE,0.9923513531684875
"I realy love this game, love pixel too",POSITIVE,0.9988648891448975
fun game. keep reach to the top level,POSITIVE,0.9988303780555725
"Great time-killer, I have a hard time setting it down! 😂",POSITIVE,0.9988202452659607
"They had a non ad version for 10 Euros, they they changed it making it a monthly pass, google won't refund me, I still have to watch ads for rewards and didn't even got a monthly card for it, also is not worth to pay 10 Euros per month for this game. In the current znes graphics state that it is.",NEGATIVE,0.9994984865188599
it's a very nice Game and enjoyable,POSITIVE,0.9988899827003479
I've played various games of this same gameplay mechanic but this is the first that has a very different element: party members that effect your abilities. That is a first for me and a good first at that,POSITIVE,0.9988434314727783
Fun but game is lacking,NEGATIVE,0.9994696974754333
"Please make it so the revive window you have to press X somewhere , if you are moving with small drags i keep ""tapping out"" of the revive screen unintentionally its bad design",NEGATIVE,0.9994753003120422
Nice,POSITIVE,0.9977694749832153
Great game & fun to play but where is the fixed joystick button. Feeling really uncomfortable with the control right now.,NEGATIVE,0.9989062547683716
Really fun but the game got a lag to it runs really slow and freezes up,NEGATIVE,0.9987038373947144
Best,POSITIVE,0.9971845746040344
Good for wasting time,NEGATIVE,0.9953101277351379
Game stuck at loading screen and does not load.,NEGATIVE,0.999508261680603
Cheat detected lmao,NEGATIVE,0.996012806892395
"The game is amazing and I Love it, but I wish that if you make it faster like 3 times or 4 times gameplay speed ⏩️",POSITIVE,0.9986377358436584
เควสมือใหม่7วันโคตรยาก เหมือนไม่อยากให้ ต้องเล่นให้เวล20 ด่านนึงก็ราวๆ 10นาที,POSITIVE,0.9917426705360413
"Please sir, add more microtransactions to my vampire survivors.",POSITIVE,0.9940474033355713
สนุกมว้ากกก,POSITIVE,0.9794862270355225
There is nothing that makes this game unique compared to all of the other games built exactly the same way. Blatant money grab,NEGATIVE,0.9995023012161255
I try download in 2 device my phone and nox in PC I can't start the game so... That's it,NEGATIVE,0.9994654059410095
"Hard to run, but addictive. There's no forced ads, only those you choose to watch for currency or lives, and the Vampire Survivor game play is amazingly addictive. The art and characters are cute, but there's a few translation issues. If the game didn't make my phone heat up so much, it'd be an all time favorite.",POSITIVE,0.9986718893051147
Every time I try to play my game always freezes at intro when ur about to play It was so excited to play but I keeps freezing,NEGATIVE,0.9995018243789673
"idiot bug, stuck after kill last boss. There's no trigger event finish/clear to end/exit stage after kill last boss.",NEGATIVE,0.9994718432426453
"I realized that during my time playing, there isnt much to gain exp, its usually just the main and patrol but nothing much else with may make others noy being about to complete the 7 day quest",NEGATIVE,0.9994819760322571
Good 👍,POSITIVE,0.9986507296562195
doing pretty good but right now there is only 1 skill that deal pretty good damage other was useless and if you dont have that skill evolve or not getting it on certain minute you lose for sure need rebalance.. most bossfight are skill depending rather that main weapon hit/skill,POSITIVE,0.9959444403648376
"I haven't play much which is loading and goes automatically exit, maybe is my phone doesn't compatible ""Huawei Y7 PRO"".",NEGATIVE,0.9988057613372803
Mob!!!!,POSITIVE,0.9939324259757996
A thumps up,POSITIVE,0.9986347556114197
Very enjoyable,POSITIVE,0.9987974166870117
Best,POSITIVE,0.9971845746040344
cant play ads..ad unavailable ((edit)*game working great now thank you for the update*),POSITIVE,0.9979937076568604
Yay,POSITIVE,0.9986886382102966
👍👍👍👍👍❤️❤️❤️❤️❤️❤️,POSITIVE,0.9985455274581909
the game is very good ehehehe,POSITIVE,0.9985645413398743
"I like the twist on the genre of having a large group of characters fighting with you. I dislike how much it feels like they want my money, there's way too many membership-based things that could all have been one thing. Not sure if it's because it's my first day playing, but I've gotten zero ads, even when selecting to watch one for a reward.",NEGATIVE,0.9950302839279175
Best,POSITIVE,0.9971845746040344
I'm liking this. Has a fun atmosphere and a good vibe to it. My only issue with it is that it sometimes crashes but it doesn't happen that often and the game is still playable. I like that you can add a 'party' to your character.,POSITIVE,0.9988742470741272
"Game don't open after update Problem solven on its own after a while, maybe it was connection problem. So up to 4 stars because i like the game. The 7 first challenge is impossible tho, no way to reach lvl 18 or 21 in that frame of time.",POSITIVE,0.9973843693733215
"Though this game has a auto continue feature if you disconnect to close the program, it doesn't really matter if it lags to the point of no frames. After a couple of restarts, the automated will crash and you'll lose all progress.",NEGATIVE,0.999491810798645
Im actually enjoying this game. And i really am hoping to play this iin ios. Keep this game going and growing,POSITIVE,0.9988691210746765
"Can't view ads. Can't revive. If u die in daily dungeon u lose the chance to play it. This is unfriendly to new player. I found a new problem after playing for a while. On level 19, after the first boss, there is a new type of monster that can throw fire at u. The fire is at a long range and can't be blocked by the wind upgrade. There is no way to pass that one. I don't know what the designer is thinking when designing the level.",NEGATIVE,0.9995028972625732
Great,POSITIVE,0.998588502407074
"played a few games, got potential. then tried playing again. loading game at the start crashes. then when im able go load in. all buttons does not function. uninstall. this game should still be in development. rushing to launch the game for this to happen. remember once a gamer tried the game and uninstalls it. little to no chance they will install it again.",NEGATIVE,0.9995062351226807
Fun,POSITIVE,0.9987583160400391
"New update in game, lead me to this page but no updates at all... One Star bruh",NEGATIVE,0.9937334656715393
nice gamr,POSITIVE,0.9983749389648438
"I really like it so far, cute characters, smooth graphics and faster paced than other survivor games. The music is good, but gets a bit repetitive. Good job, devs!",POSITIVE,0.9989039897918701
"Good game but the ads system is always unavailable to watch,please fix it",POSITIVE,0.9872366189956665
game play really fun but I found Access block game has not completed google verify process. please fix.,NEGATIVE,0.993727445602417
"If you gonna play this game, laser focus on the newcomer event. I couldn't complete it. There's no option to reset account progress, no extra servers. Not sure if I will continue. But up to where I played was solid, they handle ads well, the progression feels well paced. I needs more content, more skills combos, right now it is just not enough.",NEGATIVE,0.9893922805786133
"unusable ads feature, bugged perks roll, and sometime my character just died absurdly.",NEGATIVE,0.9994951486587524
Nice,POSITIVE,0.9977694749832153
"Good game, but a lot of lag in the menu EDIT : seems to have been fixed :)",POSITIVE,0.9987963438034058
"One of those games where you go "" just one more level..."" Pretty decent",POSITIVE,0.9986446499824524
Love it very fun for me and my kids,POSITIVE,0.9989089965820312
"Why do tasks that are impossible to complete? reward for 7 days, it is not possible to receive it, too many levels to level up. Why do this?",NEGATIVE,0.9994879961013794
"Enjoying this game so far compliments to the developers involved , There is a minor issue the app randomly freezes when I make it to a large wave of enemies my phone specs Redmi 11 4g ram Snapdragon 680 octa core 2.40ghz it definitely cannot be the phone please check out if possible thanks.",POSITIVE,0.9979586601257324
Dev already fix the crash issue after read my review.. so i give them 5★ for their quick response... 👍,POSITIVE,0.9989097118377686
4 stars for quick response and for actually not just giving some lame excuse saying you dont know what the problem is. Lagged froze then shut down on me o,POSITIVE,0.9985098242759705
"Well, this game could be my next wasting time type of game while waiting in line",NEGATIVE,0.9993234872817993
Shess,POSITIVE,0.9806349277496338
"The worst, stressed me up, so lag... They tried to download ads while you play. It's lags both connection and fps loss!",NEGATIVE,0.9995008707046509
"Ads always unavailable, i can't complete the 7-days mission because of it. please do something.",NEGATIVE,0.9994785189628601
Cool game,POSITIVE,0.9985755681991577
Your Beginners Daily Quest is absolutely not beginner friendly ive been grinding alot and cant level up to 21. waste my 7 days of playing,NEGATIVE,0.9995007514953613
"Lmao, tells me to update game, redirects me to playstore, playstore has no updates, trash.",NEGATIVE,0.9994805455207825
always crashing. cant finish a game without crashing,NEGATIVE,0.9995009899139404
"Good in concept, but not fun to play. Gameplay drags a lot and levels are way longer and easier than they probably should be. Game tends to freeze up and stop working towards end of rounds, which is annoying and wastes my time. Burns up my phone battery too.",NEGATIVE,0.9995007514953613
chill,POSITIVE,0.998688280582428
Yeahboi,POSITIVE,0.9933551549911499
"Played to stage 4, but suddenly disconnect and can't played at all because it stuck at loading screen no matter how long i wait",NEGATIVE,0.9994896650314331
Zzzzzzz 😴,POSITIVE,0.9983989596366882
game freezes my phone cant play it lame game delete it,NEGATIVE,0.9994922876358032
Constantly disconnect on 100mbs network... On a game that has no business being exclusively online. Uninstalling.,NEGATIVE,0.9995006322860718
"It always freezes on me, n when I do the suggestive battles it keep losing connection exits out of it n then I have to restart",NEGATIVE,0.9994990825653076
"Just testing the waters, but after certain point of the game. The speed becoming slow and the game starting to get hang. The control give no responsive. No worth it. You can get bored in second.",NEGATIVE,0.9994983673095703
Delay if lots of monters arrive.,NEGATIVE,0.9892953038215637
brilliant!!!,POSITIVE,0.99852055311203
"Game tells me there is a newer version and to update, but playstore tells me i am up to date and there is no more updates so i can't play anymore because game ask me to update to something that dont exist.",NEGATIVE,0.9994912147521973
"It's a great idea and game to make , keep it up🥰",POSITIVE,0.9988068342208862
Love the esthetic and gameplay itself but there's not much content and the frame rate like to dip a lot. It can be hard to play when there's a 3-5 second delay in your input due to the extremely low frame rate at times but this games got a lot of potential. I hope the devs add more content and smooth out the frame rate a bit.,NEGATIVE,0.999110758304596
"One of the better games of its kind, definitely recommend. Needs some slight balance tweaks, but still great",POSITIVE,0.9989076852798462
"Boring, little to no strategy involved. Don't waste your time.",NEGATIVE,0.9995020627975464
"Fun game but I wanted to point out 1 Bug during the boss battle (Knight) he did an attack that has knockback but what happened was I was near the edge of the playable map and the attack pushed me out of bounds, not that it bothers me just pointing out a bug.",POSITIVE,0.9955654740333557
It would be 5 star if some mission is to pay money... and so far its been a great experience,POSITIVE,0.9988003969192505
Can't stop playing.,POSITIVE,0.9986681938171387
enjoy able finish my cigarettes and happy back to work,POSITIVE,0.9989149570465088
Thanks for fixing the bug. I didn't expect it to be that quick but that was awesome of u. I was just starting to like the game.,POSITIVE,0.9988551139831543
"I love the game, it's fun. However, every time I load into it it gives a didn't work/responding message. It also lags a lot, still playing when it allows me to though.",NEGATIVE,0.9982103109359741
Always Disconnected R.I.P game wasted time,NEGATIVE,0.9994893074035645
Animal ka,POSITIVE,0.9794126749038696
purchased weapon but game crashe but was already charged,NEGATIVE,0.9992690682411194
"Codes 2023 , 2024 , 2025",POSITIVE,0.9859166741371155
"Everything is great. The SFX, music, and game play. I wish I could play without wifi, but it's still a good game.",POSITIVE,0.9988570213317871
I'm giving this 1 star because it lag's after 1 million monster inter the field fix this you stupid asses.,NEGATIVE,0.9995062351226807
Games keep crashing a lot and asking to update the app even though i've updated the app,NEGATIVE,0.9994980096817017
"So far this bullet survivor style game is my favorite after vamp survivors on mobile. It's a bit short though, but overall it's fun. It plays very smoothly and I like the character art. I wish it was B2P though, just a single payment and remove ad promts, but it isn't so I can't give it 5 stars.",POSITIVE,0.998900294303894
Gameplay is ok but keeps disconnecting.,NEGATIVE,0.9995025396347046
"Honestly, a very good vampire survivor game",POSITIVE,0.998514711856842
The most ugliest trash and worst game n playstore ever!,NEGATIVE,0.9994353652000427
Nice new update love it ❤️,POSITIVE,0.9988961219787598
"2 time, no enemy at all and there is no end. I uninstal the game spontaniously",POSITIVE,0.9495068192481995
Was fun until the actual first stage when final boss is not showing up. Just wondering an empty stage.,NEGATIVE,0.9994888305664062
What's with this game? I just downloaded it but it won't open 'cause it says there's a new update and I have to update it here on playstore. Kindly fix this.,NEGATIVE,0.999500036239624
Giving only a 2 star because stage 1 and 2 are easy and immediately in stage 3 it's insane mode. Every monster in the wave releasees a pool or venom that drains 20% hp so we can't move around. And we're provided more offensive perks instead of equal number of offensive and defensive. It's almost impossible to proceed without paying your way forward.,NEGATIVE,0.9994947910308838
Nice gameplay but fkingly keep CRASHING!!!,NEGATIVE,0.9994939565658569
Okay the new update made everything better. Loving the new art and the game looks smoother.,POSITIVE,0.9988585710525513
Yeah baby,POSITIVE,0.9957244396209717
Looking better,POSITIVE,0.9983166456222534
Bad updates this game pay to win / pay to fun not for free future,NEGATIVE,0.9994994401931763
"The monster is really hard to be killed, the level is really crazy hard, you need the highest level of equipment to finish the chapter, cause the monster is really strong, so I give you 2 stars, because the balance of the game is broken",NEGATIVE,0.9995057582855225
"Masih bayak bugnya,quest kadang tidak bs diselesaikan,daily chalange chest ke 3 kadang ga bs ke buka padahal sdh clear diulang jg sama aja",POSITIVE,0.996796190738678
Boring,NEGATIVE,0.999426007270813
"It was fun before the latest patch. The game become harder to play, almost pay-to-play. Weapon drop rate is very low. Did 10x2 loot and only get 1 Rare weapon. Others is just normal level. Starting from level 6, monsters hard to kill and have poison effects after died. Sadly this game is a disappointment.",NEGATIVE,0.9995105266571045
"Once you reach chapter 4 or 5, it's almost impossible. All enemies drop poison pool, it feels as if you have to spend, and this was within 15-30mins into the game. Gg. Went from super easy and fun into impossible.",NEGATIVE,0.9994993209838867
The last update it's kinda cringe. You can't buy knights with gems anymore as far as I know and the rewards of begginer's daily quest changed for some reason,NEGATIVE,0.9992958307266235
overall good but i still can't watch add for more reward,POSITIVE,0.9976153373718262
Fun and good customer service,POSITIVE,0.9988895058631897
"Still 1 star for me, im already level 20 and i can't get the beginners daily quest reward ssr lea because some of the level up quest bug (day 6 reach level 18) and i only have 1 day to finish it lol! the new daily challenge is useless and wasted run because the bosses and skills (x2) are TOO HUGE and so pixelated!!!",NEGATIVE,0.9995071887969971
Cool game,POSITIVE,0.9985755681991577
Unfortunately the game became unplayable its asking me to update but theirs no update in the app store,NEGATIVE,0.999496340751648
does not load,NEGATIVE,0.999402642250061
"The game is fun, but I have been stuck at the loading screen while it says loading complete for some time.",NEGATIVE,0.9995020627975464
"Good potential (due to the genre), there are some good ideas, but overall it really isnt that great : i've completed the game in 3 days without paying, all levels are the same, a few skills are OP so you either get them or lose. RNG isnt well compensated, and it is frustrating to never reach the point where all skills and artifacts are max lvl.",NEGATIVE,0.9995070695877075
Carbon copy of survivor io with a worse pay to win model...,NEGATIVE,0.9993829727172852
"Hello there,please make experience orb drop more blue/gold.i know this game wanna follow other successful .io game but at least make EXP BOOST skill(passive).so for now,3star for ya👌",POSITIVE,0.9983975291252136
Another reskin,POSITIVE,0.9923938512802124
This game is ok I guess adds a buddy system where you can take other heros with you into battle but the problem with this is they are in a straight line behind the hero offering very little to no support at all they should surround the main hero so all angles are covered the first level was super hard took many times to pass it and now I'm stuck at level 10 so idk if it's worth playing or not at this point higher tier heros needs gems to get them and gear also require gems.....,NEGATIVE,0.9995026588439941
I love this game please add more updata:),POSITIVE,0.9988600015640259
"Basically, EXACTLY Survivor.io just with different characters.",NEGATIVE,0.9927500486373901
Can even play,POSITIVE,0.9944584369659424
"A little generic but not bad, excellent music tho",POSITIVE,0.9984449744224548
"One of the better-looking reverse bullet hells, but that's a detriment. In looking good, there's so much visual noise that it makes it difficult to see what's happening. There needs more refinement, for example: wiping out enemies with a bomb, there's no moment of reprieve, they spawn right away. Movement is on crack, you will run into by accident. This game should be labeled in development.",NEGATIVE,0.9910327792167664
"I would like to give you 5 star, but after I completed chapter 1 ( I completed 5 min to 15 min directly ) game doesn't go back to home screen and pause button doesn't work after I forcefully exit the game and came back but it showing me that I didn't completed chapter 1. If cannot even complete chapter how I'm suppose to play your game.",NEGATIVE,0.9994924068450928
Awesome game until you finally unlock ad removal just to find out that it's $10 a month.,NEGATIVE,0.9994354844093323
Best gameplay but minor bug getting worst evrytine log in,POSITIVE,0.996487021446228
Very fun but needs more content!,POSITIVE,0.9981399774551392
"Sadly another survivor with bad twist. Reply: Ok dev, i'll wait.",NEGATIVE,0.9994857311248779
Good but littered with bugs like Code 0: Operation Time out at 11.30 mark,NEGATIVE,0.9975280165672302
😎 🆒️ 😎 🆒️ 😎.,POSITIVE,0.9982303977012634
2 stars. Why? Pros 1) Simple gameplay 2) Good to kill time 3) Try our different combo to dish out attacks. Cons 1) The maps are limited. Get bored easily. 2) Repetitive gameplay. Get bored easily. 3) No dificult boss 4) Devs are stingy in giving out gems. Not much freebies. 5) Summon rates for equipment are lousy.,NEGATIVE,0.9994823932647705
"at some wave, enemy spawn are really slow and rare, 3 bosses with 1-2 miniboss for 15mins seriously make it boring to pass, cant even going past more than lv 25 every stage",NEGATIVE,0.999479353427887
"Love this game overall_gameplay etc, specially one of these trendy Hordes/Rogue like games at the moment , but the only issue(personal) that I have it that the characteristics /designs/fonts are too small for my eyes...",POSITIVE,0.9988433122634888
Boring,NEGATIVE,0.999426007270813
"Well, 3 for now..what level we need to unlock event and other stuffs?..since i unlocked 7 days quests, there still 1 locked feature... and im just cleared stage 7..",POSITIVE,0.9976676106452942
"Good game. I love it. But when in battle I need more exp because it too hard to evolve skill, just 2 skill can evolved but we have 6!!!. And reduce play time to 10min pls ,15min too long for one time. Pls fix it",POSITIVE,0.9981145858764648
