content,sentiment,score
"Would be great to have some free coins from time to time, just like Webtoon does it. Also, please fix your app, it takes too long to respond after attempting to click on the stories and coin purchase section",NEGATIVE,0.9992759823799133
Love it,POSITIVE,0.9988111257553101
Thank you,POSITIVE,0.9987479448318481
Mine is not responding and it won't load even if I am online 😒 😤 😑 😐,NEGATIVE,0.9994803071022034
This is a copy of toomics app. And also have less comics then toomics app.,NEGATIVE,0.9991218447685242
It's a good app but it's so expensive 😭 I swear I will watch 1000 ads just lemme see the damn episode pls,NEGATIVE,0.9977606534957886
Disappointed...,NEGATIVE,0.9994500279426575
It was lagging and couldn't find any way to get free coin only to pay for it and it was very expensive,NEGATIVE,0.9994982481002808
This app is easy to use and everything is good there are good comics and everything.But this app does not give you free points to your comic your reading.The app is mostly paying for each page episode of the comic.And for me I dont wanna drain my money but if this app is for you then good for you..👁👄👁,POSITIVE,0.9900729656219482
It has great comics but you need to have coins to go to the rest after the 3rd chapter so 4 out of 5,POSITIVE,0.9988049268722534
it was bad it would not open at all i could not even experience what was supposed to happen in the app,NEGATIVE,0.9995113611221313
All thing is one thing is problem that purchase on bl please don't do thing so I will uninstall the app,NEGATIVE,0.9994847774505615
I recommended everyone to not dowload this app cause it's too expensive for normal people!! 😤😤😤😤,NEGATIVE,0.9989445805549622
"It is very bad app. When I was trying to read episodes, it didn't open. I am very disappointed.",NEGATIVE,0.9995118379592896
"first of all when i download this app , its so amazing 😊👍✨",POSITIVE,0.9988749623298645
"This app isn't working well at all, you click and it dosen't respond.",NEGATIVE,0.9995094537734985
"The translation (+SFX) is really excellent, however names translation is the poorest of all. Really liked the app but please fix your name translation, if possible.",POSITIVE,0.9889847040176392
Coins to read?,NEGATIVE,0.987080991268158
Everything is good but how about alternative ways to get coins without purchase it??,POSITIVE,0.9754347205162048
The app works really slow,NEGATIVE,0.9994902610778809
5 star i think i will patient waiting it but the comics are good!!5 star💙,POSITIVE,0.9988378882408142
Why not use monthy subscription insted of you pay for every chapter. Not worth a whole pay check.,NEGATIVE,0.9994877576828003
"Why there is no Khmer translation, I also mail it, but it is very difficult",NEGATIVE,0.9987861514091492
Not bad but every comics need a coins to read it •~•,POSITIVE,0.9948398470878601
You put the manga with different name and want me coins for that.not deserve,NEGATIVE,0.999498724937439
I hate that it has only that u watch 3 episodes and the u should buy to watch the other episodes...(sorry for my gramar),NEGATIVE,0.9981655478477478
One star because it is for mony,NEGATIVE,0.999476969242096
Ok so this app is pretty good. I like the comics I've read so far but can you possibly find some way in not having to buy the coins please,POSITIVE,0.998139500617981
At first there was no response when I clicked anywhere. So deleted the app and downloaded again. Now everything loads very slow after clicking :/,NEGATIVE,0.9995015859603882
Is it just me or the app keeps loading like there's a circulating circle laoding in the middle and when i try to browse through the comics whether it's tap to the section and scrolling through it it will go reset or go to the top as if it's keep refreshing without any reason it's annoying :/,NEGATIVE,0.9994677901268005
Please add Arabic ⁦⁦(༎ຶ ෴ ༎ຶ)⁩,NEGATIVE,0.9797996878623962
"The app takes ages to open the story, it freezes and there's not much content",NEGATIVE,0.9995067119598389
"I well like if it have maybe ""free add"" to have a Coin cause it's hard to get money this year",NEGATIVE,0.9931305050849915
That is Good. We can use it easy.I like this application. 😘☺😊😇,POSITIVE,0.9988778233528137
"I recently changed my mobile phone. but when login to my acc with my new phone, all my coins and purchased eps are lost. I have subscribed and buy coins several times. but now my purchase history and my coin usage history also gone including all the remaining of my coins. and i have purchased the silent concubine up until ep 92 and now its all gone. I have to repurchase to re-read my purchased eps? and now i have purchase coins again to continue reading? please fix this!",NEGATIVE,0.9994707703590393
"Comics are good, when they actually load. Otherwise don't waste your money on staring at a blank screen",NEGATIVE,0.9995057582855225
Won't let me sign in to existing account or purchase coins takes me to the purchase coin window but when I click to buy nothing happens tried multiple times,NEGATIVE,0.999503493309021
Worst app ever never download,NEGATIVE,0.9994885921478271
"Something is off with the app. I tap on comics, but it doesn't take me to the next page. It's frozen on the Home page.",NEGATIVE,0.9995031356811523
Bad app. Very expensive. No daily rewards very Very bad app,NEGATIVE,0.9995028972625732
"It's a good app though, but I can't read some of the episode if I don't have coins and that's very disappointing. Please fix this..",NEGATIVE,0.9930475354194641
The storys seems great but you pretty much have to spent like £20+ to even finish reading any of them. I will he returning back to manta who has a subscription option which isn't extortionate like this app. Don't bother,NEGATIVE,0.9995105266571045
"This app is trash. Why? You ask. After reading, like 2 to 3 chapters of a comic you will have to pay with coins and the coins are with money. Also as soon as you download the app you have no guide to help you around which is horrible service like a 1 star hotel. I advise you readers who read on this app to not waste your money on this and go to Google and search up your comic that you want to read.",NEGATIVE,0.9995071887969971
Please can you kindly reduce the coins to 1 don't look at the fact that it is too small when you reduce the price you will gain a lot of readers and when it happens you will see that the money you make will be alot different from the 3 coins per one chapter I hope you go through my comment and think about it,POSITIVE,0.977622926235199
Honestly I really want to have another way where I can get coins....,NEGATIVE,0.993604838848114
I love this app so much and I really love read the sweet bite mark but I give it 4 star because i can't read 5 to 186 because I don't have any coins I'm in beautiful part but I can't read😩😭😭😭😭,POSITIVE,0.9985816478729248
Well just good,POSITIVE,0.9987033605575562
Who a to hite mission best white to...,POSITIVE,0.9969158172607422
The app is wonderful I just wish we didn't have to buy coins all the time. Instead we could wait like 4 or 6 hours to unlock the next chapter. Because if the next chapter is really good time or not I'm using my coins. However it will get more people to read the comics.😇😊,POSITIVE,0.997606635093689
I really wish there was another option instead of buying coins I would love that and if you do put that option in I will give it 5 stars,POSITIVE,0.9982335567474365
"Every time I want to read the manga, it won't open. Please fix the bug",NEGATIVE,0.9994860887527466
Can be expensive after a bit but good.,POSITIVE,0.9986359477043152
As many different things to read and entertain myself but it's one of those apps right forces you to either only read two of every comic or whatever or you are forced to use money to read the rest it's really why I don't like it pretty much the only reason cuz you're forced to spend money to actually read most of them and I'm just not the kind of guy would waste his money,NEGATIVE,0.9994853734970093
I've downloaded this app 2 times because I thought that maybe it would fix the problem but everytime I downloaded it and tried to sign in with my FB account it wouldn't let me. But I can do that if I go through their FB page.,NEGATIVE,0.9995001554489136
"Good luck with reading anything, there are virtually NO descriptions on the manga. What kind of story is this? Who knows! It's a mystery! A frustrating mystery.",NEGATIVE,0.9995062351226807
This app seems unstable. Keep crashing everytime I try to view the comics.,NEGATIVE,0.9995062351226807
"I can't sign in or sign up using Google, this doesn't work 🙄🙄",NEGATIVE,0.9994947910308838
Takes your money but never gives you the coins to read comics. No way to contact customer services.,NEGATIVE,0.999504566192627
Was able to fix the payment system. Good comics on site tho. Some not available on other services. Some from toomics but alot of new ones.,POSITIVE,0.9984471201896667
This game is great compared to other comic apps I have used before. It isn't so bad and it doesn't have that much in-app purchases and it's quite fast.I highly recommend lalatoon (this app) so dont bother looking at other reviews just scroll up and press the green button with I.N.S.T.A.L.L on it!,POSITIVE,0.9988586902618408
"This ap is not for me, but you should check it out for yourself",POSITIVE,0.9970787763595581
Please add unlimited access or add that we can read some free comics otherwise the app is good and stories are good too,POSITIVE,0.9987344145774841
I like thise app the best,POSITIVE,0.9987624883651733
"Can't open the app,even when open can't load the comic",NEGATIVE,0.9995002746582031
I love this comic because the stories are amzing and a pro. The words makes sence. They are just amazing.,POSITIVE,0.9988700747489929
I hate it can you please please please please please please do a free coin please please and thank you,POSITIVE,0.9510130286216736
"I miss the ""Premium"" part.Ths stories looks promising and the app layout too but I have no money to read it.I suggest using ads a replacement.",NEGATIVE,0.9994695782661438
It won't let me sign in,NEGATIVE,0.9994947910308838
Mine just wont work it keeps lagging out and just black screen while repeating the same line,NEGATIVE,0.9995061159133911
"All of the comics i want to read you have to pay for.. Like, you cant even get that much into it due to this and theres no other way to get coins aside from buying them. A lot of apps do this and its stupid",NEGATIVE,0.9995002746582031
Not enough to read and not all are free to read,NEGATIVE,0.9994682669639587
Never download this app..it is gross bcz it cost so much to unlock the chapters....We are students and we can't afford such offers to read.....i think i will never recommend this....first the quality of pictures is not that good and then the cost of coins are really high like for Rs460=80 coins only...But in apps like mangatoon and webcomics you can get the chapters either by watching videos or by getting free all comics for one or three days....so i will say again never download this app,NEGATIVE,0.9995062351226807
