,content,sentiment,score
0,akhil,POSITIVE,0.9833077192306519
1,Tgey will double bill weekly for a monthly subscription and cant seem to get real help .when all they have to do is look at my account,NEGATIVE,0.9994996786117554
2,"The subscription price so expensive and only for 1 number? Seriously? I've purchased it before but it's not like this before. And I don't have a WhatsApp web, so how should I link it? You already took my money though. Please refund me.",NEGATIVE,0.999496340751648
3,So nice Meta pushes things to make spying on others more convenient. You know what I'm doing? None of your Goddamn business!,POSITIVE,0.8648316264152527
4,Worst. Doesn't show last seen.,NEGATIVE,0.9994825124740601
5,Useless froud,NEGATIVE,0.999091386795044
6,Please how to unsubscrib?,NEGATIVE,0.9968540072441101
7,False information was told it would install remotely. As getting access to phone was impossible. But once I installed it. It. Required the phone that I was tracking. And also would not scan barcode keeps saying try later.,NEGATIVE,0.9994801878929138
8,Poor,NEGATIVE,0.9993883371353149
9,I am not able to show online if you want to buy then reduce the price a bit plz,NEGATIVE,0.9989820122718811
10,Stop chopping money from my visa idont use Ur services anymore this must be the first and the last warning to you isee some trasanction made on my account on 7th of this month.,NEGATIVE,0.9994862079620361
11,ok,NEGATIVE,0.9935387969017029
12,samne wale data off hai single tick hi dikha rha aur ye app online dikha rha 😂,POSITIVE,0.9983155727386475
13,nice,POSITIVE,0.9972729086875916
14,Trail period was working well. Now when I paid team is saying payment not received..neither Google play cares about it..Team says solve issue with Google play.. money wasted..very disappointed.. Hi suddenly the app has stopped working..wat went wrong...no answer from the team...atleast revert back wat is the issue..I had paid for it...plz revert back..Y has it stopped working Thanks team for ur support..problem was resolved within 24 hrs 👍 Good,NEGATIVE,0.999466598033905
15,👎🏼👎🏼👎🏼👎🏼,POSITIVE,0.9983614087104797
16,Does not work. Been monitoring for 2 days and contact last seen time hasn't changed when I know for a fact they have used the app multiple times.,NEGATIVE,0.9995055198669434
17,The only way to not be tracked = block them!,NEGATIVE,0.9993322491645813
18,Did not produce correct results.,NEGATIVE,0.9994736313819885
19,all,POSITIVE,0.9943376183509827
20,The app isn't free!! Please make it free for us!!,POSITIVE,0.9830106496810913
21,Doesn't show chats while is expensive. To be honest I wasn't expecting what have seen.,NEGATIVE,0.998424768447876
22,Very Very bad,NEGATIVE,0.9994580149650574
23,Bad app,NEGATIVE,0.9994838237762451
24,SCAM I want my moneyyyyy!!!!!!,NEGATIVE,0.9991488456726074
25,3rd day and App is not working. Are there any tech issues? Please get back to me 30/05/23 App hasn't worked since last reporting here. The person is online yet the app cannot pick this up. I reinstalled and installed again but issue still persists,NEGATIVE,0.9994975328445435
26,doesn't work. doesnt track. looks like another scam app. dont waste money here,NEGATIVE,0.9995068311691284
27,Expensive,NEGATIVE,0.9989714622497559
28,super,POSITIVE,0.9985514283180237
29,Rubbish appo. Doesn't open any page,NEGATIVE,0.9995068311691284
30,Selecting the rang like yesterday i subscribe when the date change it does not track on oanother date now what i can do,POSITIVE,0.9114304184913635
31,Just three days with expensive proce after 😡,NEGATIVE,0.9890711307525635
32,this is not working nothing is showing for today,NEGATIVE,0.9994959831237793
33,Worst application,NEGATIVE,0.9994908571243286
34,تطبيق زفت زفت قرف لا انصح بتنزيل ذلك التطبيق,POSITIVE,0.9892953038215637
35,I can’t cause I was hacked this is due to a hacker with no help from you,NEGATIVE,0.9994688630104065
36,U want money for free trial seriously hehe uninstall,NEGATIVE,0.9993770718574524
37,Delete,NEGATIVE,0.9974774718284607
38,"This app is horrible, a complete lie Gives fake last seens, and you have to pay for every single contact",NEGATIVE,0.9995050430297852
39,"Absolute shite, don't waste ur time. Qr code doesn't work. Keeps saying try again later.",NEGATIVE,0.9995037317276001
40,Rrr,POSITIVE,0.9902727007865906
41,i am unable to login,NEGATIVE,0.9994864463806152
42,always online notificaciones bad,NEGATIVE,0.9994495511054993
43,Stupid app,NEGATIVE,0.9994755387306213
44,good,POSITIVE,0.9985306262969971
45,💗,POSITIVE,0.9982964396476746
46,Two words Absolute - Trash,NEGATIVE,0.9985356330871582
47,It's not free bruh😐,POSITIVE,0.9834286570549011
48,kinza 👑👑👑👑👑🌍🌍🌍,POSITIVE,0.9985652565956116
49,Bad account,NEGATIVE,0.9994454979896545
50,Bad need paid to test,NEGATIVE,0.9992865920066833
51,absolutely garbage. It picks and chooses what it wants to show. I can the contact online on whatsapp but this app would show me the status update. waste of money and its alot of money they charge as well.,NEGATIVE,0.9995062351226807
52,Apps is not free.🥲,NEGATIVE,0.9880291819572449
53,I never signed up for lastseen but yet google is charging me for it. Refund my money please and remove me from your accounts,NEGATIVE,0.9994613528251648
54,Not working anymore. Edit still not working,NEGATIVE,0.9995071887969971
55,"Be careful with this app they use your credit card # to make small purchases, Amazon, NY, Beaty supplies! Google play is encouraging this illegal act. Ohhh u get service for a couple wks or months even. People please monitor your credit card daily",NEGATIVE,0.9994422793388367
56,Useless app,NEGATIVE,0.999476969242096
57,Only for paid very bad app,NEGATIVE,0.9994819760322571
58,Paid,POSITIVE,0.9857136011123657
59,Time waste na kryn Ksi kam ki nh weekly 2600 charges hn ....,NEGATIVE,0.9990703463554382
60,Scam app. I subscribe during free trial period and cancel before the trial period end but I was still charged 5 times subscription fee to my hp bills,NEGATIVE,0.9994983673095703
61,Sometimes it does not register as it should,NEGATIVE,0.996915340423584
62,Do not download because it is paid,NEGATIVE,0.9994028806686401
63,Putra,NEGATIVE,0.9579890370368958
64,Scam..,NEGATIVE,0.9990450739860535
65,"Scam, does not work",NEGATIVE,0.9994899034500122
66,trash app,NEGATIVE,0.9980700612068176
67,Not working,NEGATIVE,0.9994912147521973
68,Ya chal naho rhi payment bi lya lea h,POSITIVE,0.9863835573196411
69,wrost application.1300 rupees were deducted from me even after canceling the subscription.,NEGATIVE,0.9994115829467773
70,Bad app,NEGATIVE,0.9994838237762451
71,جامد,POSITIVE,0.9728450179100037
72,Not tracking,NEGATIVE,0.99944669008255
73,Not working,NEGATIVE,0.9994912147521973
74,Big Scam,NEGATIVE,0.9994248151779175
75,"So far, so good. Very accurate and notifies me straight away, no delays like with other apps. Hoping it stays that way. Very impressed Edit- Your app is causing my online status to remain permanent even though I've deleted the app, cancelled my subscription and waited for the cut off date. I've even unistalled whatsapp several times, turned my phone off and on and I still remain online. Can you please fix this",POSITIVE,0.9983091354370117
76,Worst app,NEGATIVE,0.9994810223579407
77,ok,NEGATIVE,0.9935387969017029
78,Fake they are just scamming people don't buy this app you will lose your money scammer,NEGATIVE,0.9994997978210449
79,DO NOT SUBSCRIBE! Unless you want to be charged £50 per month for an average service.,NEGATIVE,0.9994953870773315
