content,sentiment,score
"Seems to be slightly improved, but with this latest update Bodybalance is missing from the switch workout options. Does not work well for tracking workouts in plans. When trying to switch a workout most options load blank.",NEGATIVE,0.999470055103302
don't pay for a gym. get this instead.,NEGATIVE,0.9968166947364807
Please make the play/pause button bigger,POSITIVE,0.9804737567901611
love the content and variety of workouts!!,POSITIVE,0.9989013671875
What's gone wrong?? Offline videos now won't work.,NEGATIVE,0.9994956254959106
Love it! Great variety of workouts. A workout for every mood & fitness level.,POSITIVE,0.9989227652549744
"Quite the poor performance from this app. Laggs, crashes, and the incredible variety they claim to have is nonexistent. I was looking forward to the premium subscription, but honestly, it's quite the disappointment 😞 Oh well, back to youtube.",NEGATIVE,0.9995112419128418
I already installed and signed up but I couldn't login,NEGATIVE,0.999478280544281
"Generally pretty good, and functional for the end user. However, lately the comments left for each class have been the same across all classes, e.g. step, SD, tone. So its hard to get proper insight on how people have found that particular class.",POSITIVE,0.9970316886901855
Amazing app love daily exercise with this.,POSITIVE,0.9989001750946045
best workout subscription I have ever seen. meets me at every fitness level with an incredible variety of different kinds of workouts. everything from yoga and Pilates to hit workouts and everything in between,POSITIVE,0.9989017248153687
Im seriously enjoying my homework outs...just love that I can do the same workouts that I was doing at the gym #bodypump 123,POSITIVE,0.9988564252853394
"Many issues with the app : doesn't launch, stuck on the signing in page, etc. The website has always been way easier to use.",NEGATIVE,0.9995018243789673
Paid version won'tet you download,NEGATIVE,0.9993892908096313
The app is great but won't allow me to download videos to play offline or save for later. Workouts often Interrupted by buffering. Please fix the offline downloading bug🐛.,POSITIVE,0.9888446927070618
"Great app, loads of workout plans for all levels. Can track workouts when signed up to a challenge and can swap workouts if you want to. If you want to do your own thing, there's loads of workouts to choose from. If you aren't sure what to go for, I'd recommend a hybrid session as it gives you a taster of different classes. All the trainers are great at motivating you and keeping you going. Don't need any equipment either, but you can if you want 💪🏼. Great FB community too.",POSITIVE,0.9988401532173157
Les Mills is the best fitness streaming option out there!,POSITIVE,0.9987369179725647
I would like to check this out but it will not allow me to enter my Canadian postal code. The keyboard only gives me numbers for that entry slot.,NEGATIVE,0.9994919300079346
App is good. Just done have time. Disappointed in the fact it is not easy to cancel. Spoke to someone in chat and they said it was cancelled but still took money out a month last. Not easy at all and took over and hour to actually get it cancelled and it wasn't even cancelled!,NEGATIVE,0.9994863271713257
App is never synced. For example I've been doing Stronger Challenge for 4 weeks and app tells me I've done 2 workout session. I don't see any point in using this app as it doesn't track properly.,NEGATIVE,0.9995070695877075
Pay to use. And show you that after you enter personal data.,POSITIVE,0.9924486875534058
"great motivation, like having a coach beside me",POSITIVE,0.9986294507980347
The motivation from the individuals leading the workout never fails to disappoint. Makes you feel like your in a real life class. Plus the variety and value the app offers is just unmatched.,POSITIVE,0.9989107847213745
"Great app. I use this every day and it's been years since I exercised as much. But sometimes I am unable to play the workouts on my phone which I then stream to my tv. This means I need to find something on YouTube to do a workout. Please fix as I pay for this, love it, but need it to work consistently",POSITIVE,0.9985485672950745
suddenly can't play videos,NEGATIVE,0.9994599223136902
Videos won't play,NEGATIVE,0.9994565844535828
"Love this service and the app is great. It would be cool to be able to 'mix and match' my workouts pulling together my own class based on choosing sets from a variety of classes, if that makes sense?",POSITIVE,0.9988683462142944
"Absolutley amazing app easy to use, great exercises, addictive, fun, great community on facebook, really helps with health and fitness. Bodypump, combat, attack , sh'bam, and rpm are my faves highly recc",POSITIVE,0.9988813996315002
Best workout app...EVER!,POSITIVE,0.998601496219635
"Great workouts. There's a workout for everyone. Great app. It's easy to use and understand. Great Facebook community. Supportive and motivating group of people. I just love LM. I don't know what took me so long to get here. I have tried a few other workout apps. LM is the only one that keeps me going. There are workout plans for every level. Each workout is broken down into different tracks( strength, cardio and etc) and length for different focus. The presenters were great in the workouts.",POSITIVE,0.9989354014396667
Makes you want more,POSITIVE,0.9980453252792358
"I try other apps but I always always return to Les Mills. Great results, variety and good value. keep the new releases coming please 👍",POSITIVE,0.9989237189292908
"Enjoyable app, great variety of class types, durations and levels, liked the intro classes showing you the moves.",POSITIVE,0.9988941550254822
Easy to download classes to work out on vacation.,POSITIVE,0.9988545179367065
The best training/excersing app ever!,POSITIVE,0.9987144470214844
Tons of workout choice at a decent price.,POSITIVE,0.998867392539978
"Brilliant addictive workouts, I struggled to start using the app. In fact the whole first free month went by and I watched 2 workouts!! However once I pulled my self together I now do 4-5 every week and mix it up with running. I love every different category. I do have to mentally prepare myself to do GRIT as I know I'll feel sick afterwards!! My husband now also uses it. I was worried about at home workouts being boring but they are so much fun and I really love it!",POSITIVE,0.9989062547683716
This app has every sort of workout you could want. The app is clean and organized. Les Mills+ is what you need to feel motivated on your fitness journey.,POSITIVE,0.9989047050476074
"12 or more years of group fitness classes & now a couple of years whenever I want to work out at home in a rural location where there aren't any gyms. A brilliant company, I LOVE ❤️ Body Balance & the professionalism of the Les Mills company. You help keep me younger & happier. Thank you.",POSITIVE,0.9989078044891357
"I love these workouts, all levels are available. Been using it for 3 years now.",POSITIVE,0.9988872408866882
Use daily and am able to complete my exercises. Casting with Chromecast has some bugs that you'll have to learn to workaround with and the same with playing downloaded exercises.,POSITIVE,0.9987069368362427
"Overall very happy. But, I would like to be able to download videos to my laptop instead of just my Android phone.",POSITIVE,0.9986934065818787
Great app - wished they added more classes as I need to repeat all my classes. Please add new classes as I need to repeat the classes. I loved the boot camp but you took down the classes so I could not finish the program.,POSITIVE,0.9984656572341919
This has been one of my favourite fitness apps over the last few years and never fails me.,POSITIVE,0.998921275138855
"Love Les Mills! So many options on here to choose from - cycling, HIIT, step, weights, low impact, stretch, yoga, etc",POSITIVE,0.9988765120506287
Great exercises but not possible to open the app and to use downloaded video when offline. Not useful if you have no internet for some time,NEGATIVE,0.9994813799858093
Enjoy the app. Just wish you could compile your own mix tracks,POSITIVE,0.9986973404884338
"Too many words to describe just how brilliant Les Mills+ is! All the workouts in one place plus extras like challenges, workout plans, limited releases like the amazing Bootcamp Series. Being able to do all your favourite releases and workouts and try new ones is the best part and you can do them anywhere, a good option if you're travelling and need a quick hotel room workout!! It's changed my life and my fitness and I will never be without it❤️",POSITIVE,0.9989213943481445
Excellent training! Tons of options and amazing coaches!,POSITIVE,0.9989038705825806
"Very good, easy to use app, great way to work my exercise in around my crazy work schedule that changes constantly",POSITIVE,0.9989245533943176
"Frequently crashes, I really don't know why I have to frequent Uninstall and reinstall this app. It's quite frustrating when I'm struggling to get motivated and it adds a 5 min wait on being able to start.",NEGATIVE,0.9995101690292358
Unbelievably poor app for a coy with so many dollars; just not enough cents. Great workouts when you aren't fighting the ridiculous app.,NEGATIVE,0.9995032548904419
wow what a platform love this and the variety of the workouts,POSITIVE,0.9989079236984253
Charges without permission. No refund offered.,NEGATIVE,0.9993815422058105
love it ♡☆,POSITIVE,0.9988118410110474
"I have always loved Les Mills workouts, but I love them even more now that I can do them wherever and whenever I want. Perfect!",POSITIVE,0.9989136457443237
I can't update my payment method and I can't log in their website 🙂,NEGATIVE,0.9995005130767822
"Love Les Mills. However, I do roughly six workouts a week and, this month, only two days of activity have been recorded. Other than that, I find the app very easy to use and motivating.",POSITIVE,0.9987677335739136
