content,sentiment,score
"For the life of me couldn't detect eyes. I tried for maybe 10 minutes, getting good lighting, good angles , everything. But alas",NEGATIVE,0.9994834661483765
I could not get to work,NEGATIVE,0.9994623064994812
Snoozed.,POSITIVE,0.9979336261749268
"camera does not work, looks broken with a lens that is green and split, meaning it wont track anything.",NEGATIVE,0.9995090961456299
"At first, i experienced the same issues with looking really far to the left and right and hitting the pause too easily. The answer is to move the phone up and ignore the eye level with camera tip. Your eye level works best at the center of the left and right sections and from there, play around with phone distance to get the gaze trigger right. Takes time to fine tune but once it works, it's awesome. Trying to get this to work with a different language speech output but so far, only english.",POSITIVE,0.9987271428108215
So simple so powerful so useful,POSITIVE,0.998730480670929
Greatest,POSITIVE,0.9976426959037781
Cash.app/$CalebUniversity,NEGATIVE,0.9700517654418945
It's definitely an experimental. I don't know if any of the phones have IR models. I have a pixel pro 7. I am currently on the latest update of Android 😬🤔 this is a very interesting concept but a definitely does not work with eye tracking (yet) I have used this technology in the past. This definitely isn't working currently,NEGATIVE,0.9991569519042969
Unfortunately my camera is not well detected I just see green and purple vertical line.,NEGATIVE,0.9994804263114929
Look 💕,POSITIVE,0.9978585839271545
It's the best thing that could be done,POSITIVE,0.9986054301261902
"Genius idea. Only had a glitch when downloading, when having to center my face in the circle, there were green stripes in the image and app couldnt recognise my face.",NEGATIVE,0.9878085851669312
Doesn't work at all,NEGATIVE,0.9994981288909912
"DEVELOPER kindly update the app with fruits, water and other need based items, my 5 year old daughter has rett syndrome and can talk to us through this app kindly quickly update the app.. i gave lowest ranking for you to review my comment. otherwise this app is best for my daughter",POSITIVE,0.996545135974884
"The default settings make you look left right up almost painfully far to register on my galaxy s20 ultra. Not sure about the sorting method having to look left and right as the item you are trying to pick gets moved all over. Really need to work on using the camera as a true eye tracker so it can be used more like a mouse or keyboard up,down,right,left keys so you can scroll through items by looking down and stop scrolling when you look at the screen again,etc.",NEGATIVE,0.9988105297088623
App not,NEGATIVE,0.9991666078567505
No se para que servía,NEGATIVE,0.9983489513397217
"This is such a blessing for patients with ALS and other disorders that only allow people to communicate with their eyes. Loads of blessings and a request to the developer to have subsets/branch phrases. E.g. After maybe choosing the phrase ""Switch On TV"", we could have more options branching out from there like a menu(only when the person looks down) and have a sub-menu like Sony, HBO, Netflix, Hotstar, etc.",POSITIVE,0.9983428716659546
"Wow, I'm excited to try this with my daughter. She's in first grade, nonverbal and has CP. PODD is ok but limited. Gross motor control is an issue. Love how I can customize the lists. It might require a lot of practice, but if it helps give her a voice, this is huge. Nice work! Update: need tablet support and control over font size as text can be too small to read",POSITIVE,0.9988686442375183
It won't detect my eyes,NEGATIVE,0.999481737613678
Wow.... Too good to be true... Hands down!!! Really helps people. Really thoughtful.,POSITIVE,0.998155415058136
The idea is great but it's not working in redmi note 11. The front camera is not detecting anything because it shows all green,NEGATIVE,0.9994754195213318
"I like the idea and execution. I just would like a eye sensitivity setting to be available, I can see mine and other people's eyes getting strained.",POSITIVE,0.9986364245414734
Positioning your head in the circle is really hard.You really have to strain to even see yourself on the screen.,NEGATIVE,0.9994451403617859
"A fantastic start to something that will be massively helpful to those in need. Eye movements are tracked almost flawlessly, and once more phrases are added, this could be a real innovation.",POSITIVE,0.9987938404083252
This app is very amazing you should definitely try it.personally I loved it❤️❤️,POSITIVE,0.9989093542098999
"This is a great app, my only request is that it doesn't work in landscape",POSITIVE,0.9985849857330322
"5 years ago there were eye tracking apps that let you type individual letters, now all I can find is this pitiful ripoff. What happened?",NEGATIVE,0.9995027780532837
Lovely 😍😍🤩,POSITIVE,0.9987320303916931
"Trying this app for an advanced Parkinson patient. It's a good additional feature that it also works by touch. Would be great if the selected sentence could be repeated, the app should not automatically go back to phrase screen after one utterance but allow the user to decide.",POSITIVE,0.9979583024978638
Terrible. Doesn't work at all,NEGATIVE,0.9995057582855225
Huge potential but you can only do 20 phrases? So its still just an experiment and not useful. I went out and bought an Android tablet and downloaded it hoping to help my mother that can not speak after a stroke. She can just point to a list easier than this. if it had categories of phrases and levels it would be useful. I hope they develop this into a real app. Right now its just a simple example and not worth downloading. I wish they would have more details about what it can really do,NEGATIVE,0.9994951486587524
Installed this just a few days ago. I was blown away by its easy to use application. I will be introducing this to my best friend who has ALS and was deprived of speech. I'm hoping that this app would uplift his spirit. Thank you Google team!,POSITIVE,0.998917818069458
"I am thankful for this app, my pALS can successfully and easily use this app to convey his basic needs. I would love for further development adding at least 4 category words the user can choose to open a page of related options of words/phrases to select. Increase the ability to communicate further.",POSITIVE,0.9988007545471191
App not detecting my eyes pls. Great idea. After it's corrected. I'll leave a review in effect to that.,NEGATIVE,0.9927413463592529
"I tested the app, it works remarkably well. This should be included with the default OS, and not only on the app store.",POSITIVE,0.9988135099411011
Very useful for those who need it. Very cool and I hope the development continues.,POSITIVE,0.9987874627113342
"Please add importing and exporting for the phrase book. It would be a huge shame to lose custom phrases you've set up, and their locations, causing the individual to relearn the process for their most used phrases. Also it would be a huge help to import or download preconfigured packs for certain disabilities, so individuals could notify caretakers of specific concerns",POSITIVE,0.9979029893875122
Very helpful application for handicap people,POSITIVE,0.998691737651825
It's nice to see Google inventing apps like these and giving them away for free.,POSITIVE,0.9818857312202454
Great if you need it,POSITIVE,0.9962537288665771
It should have multiple languages as per many countries.,POSITIVE,0.9920555949211121
"Very cool, but quite inefficient. There is no way to add an letter select without cluttering the whole app, for instance. For conveying simple instructions its great though",NEGATIVE,0.9956936836242676
Great idea but I couldn't make it work for me.,NEGATIVE,0.9994773268699646
A bit too slow on my phone... will try again sometime.,NEGATIVE,0.9741237163543701
"Nice app, good for patients with ALS only con is it creates stress on eye but very effective",POSITIVE,0.9989147186279297
I've just discovered this app after watching the ad on Your Tube. Amazing!,POSITIVE,0.9987953901290894
I feel like I'm in the future,POSITIVE,0.9974937438964844
Not working,NEGATIVE,0.9994912147521973
Absolute beautiful experience. Kudos to the team who created this. You have changed the life of so many neglected people. One suggestion would be to show a setup option for the time of gaze and distance which is in app while setting up so that even newbies can set to their preference,POSITIVE,0.998878538608551
Verry good,POSITIVE,0.9983419179916382
Bad,NEGATIVE,0.9991268515586853
Amazing. Great job!!,POSITIVE,0.9988368153572083
"Good, but needs more ai",POSITIVE,0.9981744289398193
Doesn't work on my Pixel 4a.,NEGATIVE,0.9994972944259644
I like too so Mach this app,POSITIVE,0.9969059824943542
"I haven't tested with somebody who really needed. But I tested myself and found it to be very accurate and easy to use. Would be for example very nice for somebody with ALS. Congratulations for the team creating this app, It can really make a difference on somebody's life.",POSITIVE,0.9988954067230225
"Unable to open the app after installing. It says ""The app has crashed due to run time exception""",NEGATIVE,0.9995070695877075
Doesn't work with my phone. Showed a noisy image and I can't see my face.,NEGATIVE,0.9995090961456299
Definitely useful in certain situations. I can see it's uses in hospitals or with paralyzed patients.,POSITIVE,0.9976746439933777
How Can I Installate another language,POSITIVE,0.9833192229270935
This actually works really well. There is a learning curve but one that most people can get almost right away. Would recommend to anyone out there who is interested.,POSITIVE,0.9988743662834167
The app is unable to detect my Eyes .,NEGATIVE,0.9994959831237793
Need to be able to turn off snooze ability. App would work great if it didn't keep snoozing accidentally and reseting the phase choices. Frustrating for those trying to use it that can't speak themselves. Snooze activation area seems WAY more sensitive than the other areas. Samsung Galaxy S8+. Will update to 5 star if snooze is fixed. Thank you so much for trying to make this work.,NEGATIVE,0.9969922304153442
Crashing on my phone,NEGATIVE,0.9991936087608337
"The app is a great concept. It does put strain on the eyes though. I'm also wondering if there's a way to increase the use of it beyond the ""phrase book"" using some of googles predictive magic. Right now it's quite limited in what it let's you say",POSITIVE,0.9737836718559265
Eyes are not registered. Didn't work,NEGATIVE,0.9995083808898926
Very cool technology,POSITIVE,0.9983294606208801
Very useful and bright idea! More things like this to make the world a better place Big G!,POSITIVE,0.9986811280250549
"Amazingly simple and effective/accurate! If I'm ever not able to speaker or write, I'd DEFINITELY use this app!",POSITIVE,0.998860239982605
"I love the idea, and it's great to see people making an app that can benefit those who really need it. However, having tried this app, the tracking does not work at all. No matter the eye level. No matter the lighting. No matter the distance to my face. Looking one way or another does nothing at all. I've played with the settings. Unfortunately, nothing at all happens.",NEGATIVE,0.999512791633606
Wonderful.,POSITIVE,0.9984753727912903
"Awesome app ,I hope it gets better",POSITIVE,0.9987264275550842
Wow I downloaded this just cuz of the article I read about it...played around with it and i can see all the potential. A few years back someone very close to me go very I'll was still alive but we couldn't communicate anymore not even write. If we had this then it would have made those time so much more. Thank you for developing something that can be life changing.,POSITIVE,0.998779833316803
It could not detect me looking up. Only left and right. Pixel 5a5g Android 12,NEGATIVE,0.9987301230430603
"Still trying to understand the purpose of the app. Unless you're dumb, why would you tell the app to speak the phrases you've written?",NEGATIVE,0.99950110912323
Nice g,POSITIVE,0.9985047578811646
Cool o.o!,POSITIVE,0.9977719187736511
doesn't work too well while your high🤣,NEGATIVE,0.9982465505599976
Doesn’t work,NEGATIVE,0.99950110912323
