,content,sentiment,score
0,Good 👍,POSITIVE,0.9986507296562195
1,Very reliable although to unlock all cute stickers amd background u do need to use money ao if u don't use money u don't get all the things wich can make annoying u,POSITIVE,0.9982981085777283
2,Amazing Journal Diary 😀😀,POSITIVE,0.9987136125564575
3,Gooooooooood,POSITIVE,0.9980807304382324
4,Nice to have a place to express feelings...,POSITIVE,0.9988316893577576
5,Hapoy tomorrow,POSITIVE,0.9984226226806641
6,Kebnyakan VIP nya jadi kurang seru dikit😕😕,POSITIVE,0.9985920786857605
7,I ride in a 247.,POSITIVE,0.9972512125968933
8,I love this app,POSITIVE,0.9988906979560852
9,💯,POSITIVE,0.9983552098274231
10,"It's my first time writing my diary, It's my first entry, I think It's a good app in my view cause sometimes I'm just lazy to get a notebook and write so, It's fast and easy to use, I really appreciate the developer's hard work, I recommend this app for anyone see my review, Thanks 💫💜>> .",POSITIVE,0.998910665512085
11,Love this app very much It keeps my memories 😍😍😍😍,POSITIVE,0.9988752007484436
12,"It's pretty good, I like writing on here. Just wish there wasn't a subscription, if ur wondering u can use it for free.",POSITIVE,0.9986526966094971
13,Amazing.....,POSITIVE,0.9986176490783691
14,This app is really fantastic i like it tooooo much,POSITIVE,0.9987397789955139
15,Nice and I give you bowls of porridge and I give you bowls of rice,POSITIVE,0.9985184073448181
16,It make me feel good,POSITIVE,0.9986577033996582
17,Great,POSITIVE,0.998588502407074
18,I love this app,POSITIVE,0.9988906979560852
19,I just wrote about my day and it so easy to save but Im stil working on all the other things i can do Highly recomend it,POSITIVE,0.9939364790916443
20,Seems OK. Does everything I need it to. Have upgraded to Pro.,POSITIVE,0.9988396763801575
21,nice,POSITIVE,0.9972729086875916
22,Love it,POSITIVE,0.9988111257553101
23,It is very good. It the best app to keep our secrets. ❤️🥰,POSITIVE,0.9988515377044678
24,This aap is amazing,POSITIVE,0.9985660910606384
25,Easy to use and inspirational.,POSITIVE,0.9988971948623657
26,Nice.,POSITIVE,0.9983799457550049
27,"... .,,",POSITIVE,0.9462212324142456
28,Nice app,POSITIVE,0.9985741376876831
29,Good app,POSITIVE,0.9987263083457947
