,content
0,It's fine!
1,Not too sure what's happened but the Android app keeps crashing instantly. Never been this bad before but wow is this annoying
2,"It's a nightmare. Just remember once you subscribe that you pay for this buggy, horrendous, piece of s***. No queueing of videos, constant crashing, almost no possibility of discovering new channels. It's just a total nightmare."
3,I would love to use this app but it's a horrible experience. I follow many of the creators who are on here and so I support them here but the app is a much worse experience than just watching on YouTube.
4,"Just started using this app. It's mostly ok and I was surprised the score is as low as it is. But I can't stand how slow it is to add something to watch later. When you press the menu item, that should just be instantaneous, but instead you have to wait until it gets saved or something for the menu to go away. Probably is just the first indication of lack of polish so we will see, but it gets very frustrating"
5,too much bias
6,"I love the content on this app and the mission statement of the company, focusing on the creative freedom of excellent creators, but the Android app has a slew of bugs and technical issues that are difficult to overlook. I understand that Nebula is a fairly new, small and niche company but the failings of the video player on this app are pretty severe and I hope they're able to find a way to fix it. The app works much better on Smart TV in my experience"
7,"nebula the service itself is phenomenal, and such good value for the money. BUT the app is borderline nonfunctional. it crashes, it's difficult to find a video you were watching to resume, it's conveluded to get to a creator page, saving a video to watch later does work but looks like it doesn't, videos restart from the beginning of you cast it to a TV halfway through. just a mess. app gets ⭐ nebula itself gets ⭐⭐⭐⭐⭐, averaged out to 3"
8,App is slow. Not enough content and creators to justify prce.
9,Love the creators and content but the app is just plain bad. Was just using it for listening to Jetlag's podcast but whenever you use it for the podcasts with Bluetooth it will just randomly pause what you're listening to for no clear reason and you hit play it will start back where it paused other times it will just not play again and you'll have to restart the app losing your place in the podcast. Never used it for video personally. Go listen/watch on Desktop instead
10,Good Content App is not stable
11,"A very interesting alternative to YT, aimed at being a better environment for creators and at being focused on quality and intellectual content. I personally don't have complaints about the app."
12,"Why are YOU picking my ""My videos""? I can't clear them. I don't even like ""my"" picks. I don't like being led around like a cow. UNINSTALL."
13,My downloads never finish and app buffers a lot.
14,App says I don't have a subscription. I do. Can't play anything.
15,"Love the content, hate the app. Crashes half the time and podcasts don't even have speed settings."
16,The service provided by the app is good. However key functionalities don't work. Playing a video with the screen locked results in the video stopping after about 5 minutes despite this problem being listed as fixed in recent updates. The app is unresponsive when adding or removing videos from the watch later playlist. Also no ability to create your own playlists. The search function is poor and appears be case sensitive. There are many other issues but im out of characters. Use browser instead
17,"The app has seen some improvement since I last used it it. However, there's still a lot that needs to be better. I just had a big where the video plays with audio, but the video itself is not visible and the UI is a mess. When there's a video playing while browsing, the page does not scroll enough to show the bottom of the list (as the video that's playing obscures it). Also, the UI is a bit unresponsive when adding videos to Watch Later."
18,Videos pause randomly like there's no internet connection
19,"5-star content, 1-star app usability. Won't even accept Google play credit and simply says ""transaction denied"""
20,Needs some work still but definitely functional.
21,"Waste of time, better read comments before installing,"
22,"I love that the app exists but it needs so much improvement. So buggy and so many common features on other apps do not exist here. I'm appalled by the sheer amount of buffering. In 2023, I have almost never had a video buffer for more than a few seconds, let alone over and over and over throughout a video - even an hour in - for MINUTES AT A TIME. And PLEASE add queue and discover options!!"
23,Best streaming service by streamers!
24,"After years of use, I can only leave one star. Today, they decided to load nothing more then a beautiful Nebula logo, nothing else. App never reaches home screen. 😢 Can't listen with video off, it stops after 5-10 minutes. It's been years they don't fix their long-standing issues, I am honestly debating why am I even a paying subscriber"
25,I love the news posts. TLDR and Second thoughts are quite good
26,"Great content, but androidTV app could use some updates such as adding playback speed control."
27,Horribly slow and painful to use.
28,"The creators of this service are personally running it into the ground. I thought I was finally free from the YouTube adpocalypse with this PAID service, but the very people who created Nebula in the first place to get away from ads and YouTube's influence (looking at you, LegalEagle) now bake in ads to videos they post on nebula. Since Nebula thinks I should pay for the right to watch their worthless ads, I'll be discontinimg my subscription."
29,Pretty buggy on mobile.
30,"I'm a paid subscriber! I am very happy to see my favorite content creators receiving their rightful, hard earned money!"
31,"This is strictly for the app. The content is great and well worth it, but the app needs work. Glitchy, buggy, keeps crashing, wish there was an option to pick up the last thing I was watching, wish I could sort out content more easily. It's a shame because the content, as I said, is great."
32,"The Nebula service is good (although quite left leaning), but the app is terrible. I have another app that restreams Youtube with zero ads. It is made by one person as a passion project and is much better than this load of garbage. The nebula app is the worst experiance I have had in an Android app in years."
33,"It's okay, definitely needs work. - Using controls on earbuds or smartwatch to pause/play works only intermittently. - App will occasionally log me out and then crash when trying to log back in until I restart my phone - app loses your place very easily after switching between a few apps. If you let a video play in the background, pause it, and then come back, it's often gone and you have to go into your watch history to find it. - why does watch history not include podcasts?"
34,"Video doesn't play, only audio."
35,"EDIT: I stand by what I've written. Basically there were no improvements in 2 years. Each video freezes after 5/10 of playing it, and it has to be manually restarted. The content is awesome, the app functionalities not so much. It often either crashes or does not respond to input. I think a major update is needed to reflect the high quality of the creators."
36,Love Nebula. The last update fixed my only issue (i.e. downloaded videos used to pause regularly when played in background with screen locked). Thank you for fixing it!
37,It's a decent app to watch more videos from science YouTubers. One thing that annoys me is that huge banner above the video selection.
38,"I personally feel as though this is a pretty damn good streaming application made by a community of creators instead of a faceless corporate. I have seen a lot of reviews that rag on it but in all reality I have had a pretty seamless experience myself, also nebula/curiosity stream is a wonderful place to get full length documentaries as well as content that is not available on YouTube because of service policies"
39,"Love the content, but the app often doesn't work. Video is either entirely distorted or completely black and unwatchable. Recommend just using the website."
40,"The app needs a tablet mode and a way to hide creators im not interested in like TLDR NEWS, Daily etc.. I feel a bit tricked because i thought it would only be high quality originals but its just the same daily uploads as youtube. Nebula really needs some quality control on the videos that get uploaded especially when you charge money for it."
41,"Overall it's fine. It does the job. Really frustrating trying to cast stuff. Start casting, play a video, it's fine. Click on a notification to start another video and it says ""playing on TV"" while the sound blares our of my phone over a gray screen. Takes 2 or 3 more tries to get it on the TV."
42,Want to like it. App makes me hate it.
43,Love Nebula! That said there seems to be a recent issue where I'll click on a video and a completely different one from the same creators will play. I thought this was my fault the first time but after about ten separate incidents I know I'm not clicking the wind video since I checked and the video that played wasn't even in the screen I was selecting the desired video from. Please fix this and create a better way to remove watched videos other than 1 at a time.
44,"LOVE nebula. Hate the app. Abysmal performance, crashes, videos randomly stop playing."
45,"Amazing streaming platform with even better creators, no adds and full of original shows"
46,"I really don't like picture-in-picture features on apps; when I hit the home button, I want to go back to my clean homescreen. Unfortunately, when I disable this functionality, it breaks the app every time I leave it. Really messes up my ability to multitask, and makes the app a poor replacement for YouTube for me, which was my original intention with getting Nebula."
47,"Can't use the app without subscribing? I want to see if the app is as bad as everyone says before subscribing, is there no trial or free content to try first?"
48,"It would be helpful to have an easily accessible place to see videos in progress. Creators and Videos should both be in the library tab, instead of creators being under ""see all"". But the video player is easy to use, fast, and doesn't lag. I love supporting creators directly and not getting ads."
49,"This is a good and functional app. I've had no trouble using any of the app's core features, and had no trouble casting to my TV. As for improvements, I would add a rewind/fast forward feature for podcasts, as scrubbing on such a small control bar is rather difficult."
50,"App is very barely functional, multiple hard restarts to finish watching one video"
51,"I love the content, and the concept, but the app needs a lot of work. It's slow, clunky, buggy, bizarre UX choices (""My Videos"" in library is horizontal scroll with rest of screen wasted instead of vertical scroll??) at times."
52,FORCES YOU TO SIGN UP JUST TO ENTER DO I'M NOT SIGNING UP DELETED INSTEAD.
53,"Yay good video people, although I think even a crude recommendation algorithm would make the app a lot easier to use. There's a lot of different content on here, and it can take a while to find the stuff I want to watch"
54,"1080p videos buffering every 5 seconds. Force closing app and clearing cache doesn't resolve the issue. Happens on 5g and WiFi. Guessing its a server-side issue. A shame as the content offered would be good if I could watch it. Back to YouTube I guess :(- Edit June 9th 23; hopefully, the analytics feature added to this version can pick up the blank screen and spinning blue circle I get on every video"
