content,sentiment,score
puchi pookulaga vundhi,POSITIVE,0.9870381355285645
"Poor App, IDK why they exist on Play Store",NEGATIVE,0.9994968175888062
😡😡👎👎,POSITIVE,0.998100221157074
Not recommended,NEGATIVE,0.9992961883544922
Free reading,POSITIVE,0.9964448809623718
Cool,POSITIVE,0.9969148635864258
"another monthly subscription for use of all features, no thanks... if it were free I'd give it ☆☆☆☆☆",POSITIVE,0.9894249439239502
Very bad,NEGATIVE,0.9994601607322693
app is so so bad 😡😵‍💫😵‍💫🤧,NEGATIVE,0.9990968704223633
Asking 600 weekly money . Useless application,NEGATIVE,0.9994935989379883
Idots,NEGATIVE,0.9987536668777466
Am very great full,POSITIVE,0.9959469437599182
great app,POSITIVE,0.9986988306045532
Expensive,NEGATIVE,0.9989714622497559
superb apps,POSITIVE,0.9986769556999207
Poor always demanding money,NEGATIVE,0.999432384967804
Bad app no results,NEGATIVE,0.9994914531707764
Tum log bahut dost Dhokha dete o,POSITIVE,0.95476233959198
other apps are available with maximum information without asking to make payment,NEGATIVE,0.9570478796958923
Its not free at all for any features. Not worth the time.,NEGATIVE,0.9994956254959106
Worst,NEGATIVE,0.9991781115531921
Waste time don't download,NEGATIVE,0.9994833469390869
🧡❤️,POSITIVE,0.9984179735183716
Useless app,NEGATIVE,0.999476969242096
Waster...asks to do the process n then asks for the payment first.,NEGATIVE,0.9994863271713257
exicllnt,POSITIVE,0.9939168095588684
mujhe apne love ke bare me Janna h,POSITIVE,0.9947807192802429
Zero because it's misleading advertising and need to pay,NEGATIVE,0.9994834661483765
"Worst app ever seen....when it says to take a picture of the palm, i just took a picture of my center table and the app started recognising the fate line,heart line....omg. How can a table have all this line...and if you want to know more than pay lol, that was the funniest experience...",NEGATIVE,0.9995023012161255
Not worth installing,NEGATIVE,0.9994493126869202
Wastage,NEGATIVE,0.999344527721405
Only paid don't use waste of time,NEGATIVE,0.9988441467285156
Lame af. Take ur details and ask you to pay.,NEGATIVE,0.9994791150093079
Only works if you pay.,NEGATIVE,0.9990600943565369
Waste app don't download it starting they show for free and they show payment package,NEGATIVE,0.9992966651916504
If you need payment then why are you collecting detail of person . Just to show basic reading. Even I can do free basic palm reading for free,NEGATIVE,0.9994326233863831
Not working bad app,POSITIVE,0.9955737590789795
fraud 🤥,POSITIVE,0.9922195672988892
Good,POSITIVE,0.9984152317047119
maine 620 rupye payment kiya but unlock kahan ho raha,POSITIVE,0.9863910675048828
Always want mony,POSITIVE,0.9937050938606262
"Fake app, aksing for money and no result",NEGATIVE,0.9994956254959106
It's a generic prediction that they use They use generic terms and words that won't describe any thing nor deny. Total waste of money,NEGATIVE,0.9995068311691284
Good like,POSITIVE,0.9983844757080078
Its only fake things here,NEGATIVE,0.9993941783905029
Jus money minded app Told nothing about my palm jus asked for money,NEGATIVE,0.999492883682251
So chip appp,NEGATIVE,0.9785873293876648
Fake app,NEGATIVE,0.9994516968727112
Hide charges aap,NEGATIVE,0.9975304007530212
Fake Very dangerous app Please don't download,NEGATIVE,0.9994874000549316
"I am here to rating this app, and the rating is 1 out of 5 star. Trust me bro this is really fake app. There is nothing at all . It give fake information about your future as well as present. Don't install this type of app.",NEGATIVE,0.999506950378418
Useless app,NEGATIVE,0.999476969242096
Useless app,NEGATIVE,0.999476969242096
Worst app ever rating 0.1,NEGATIVE,0.9994837045669556
