content,sentiment,score
Only one time use after 1450 demand Bevkuf,NEGATIVE,0.9994390606880188
Worst App I ever seen...only for advertisement advertisement and advertising... Waste of time..,NEGATIVE,0.9995021820068359
Adsss.... won't let you use it,NEGATIVE,0.999473512172699
Worst app don't use its,NEGATIVE,0.9994801878929138
Very very very very very very very very very bad app,NEGATIVE,0.9994925260543823
Vest and Worst app Not working Don't install This is fake app,NEGATIVE,0.999504804611206
Faltu app don't install,NEGATIVE,0.9994868040084839
Ad is many more,NEGATIVE,0.7365068197250366
"Worst app, maybe it's just a trap coz it didn't work",NEGATIVE,0.9994989633560181
scam,NEGATIVE,0.9991445541381836
Very bad totally waste of time,NEGATIVE,0.9994921684265137
"I cant even use the app. In my experience, I think it requires payment first before actually using the app. So, 1 star for me.",NEGATIVE,0.9995100498199463
Useless application.,NEGATIVE,0.9994888305664062
Worst app,NEGATIVE,0.9994810223579407
Great,POSITIVE,0.998588502407074
Anything first buy,POSITIVE,0.9966230392456055
Worest app waste of time,NEGATIVE,0.9994834661483765
No good and very expressive,NEGATIVE,0.9967544674873352
Very bad app,NEGATIVE,0.9994931221008301
Waste of time a Very stupid of this app maker,NEGATIVE,0.9994970560073853
Laudey,NEGATIVE,0.9894922971725464
Oh,NEGATIVE,0.9943035840988159
Ki zeeeb,POSITIVE,0.9882972836494446
Very bad,NEGATIVE,0.9994601607322693
Thanks for helping me,POSITIVE,0.998765230178833
Stupid,NEGATIVE,0.9993520379066467
Very bad,NEGATIVE,0.9994601607322693
Worst app,NEGATIVE,0.9994810223579407
Worst app,NEGATIVE,0.9994810223579407
Good,POSITIVE,0.9984152317047119
Useless,NEGATIVE,0.9992974996566772
Fake app,NEGATIVE,0.9994516968727112
This guy is a scam. There's no free trial. The moment you click that free trial thing you're gonna be charged. I was able to get a refund by reporting to google. I don't know about the performance of the app though.. At this point I'm no longer interested,NEGATIVE,0.9994944334030151
Faltu app,NEGATIVE,0.9990283250808716
Nice,POSITIVE,0.9977694749832153
good app,POSITIVE,0.9987329840660095
Very good.,POSITIVE,0.9986156225204468
It is only paid app,NEGATIVE,0.997535228729248
Very bad experience,NEGATIVE,0.999484658241272
Simply worst,NEGATIVE,0.9994519352912903
Nice,POSITIVE,0.9977694749832153
Waste of time,NEGATIVE,0.9992181062698364
Nice and accurate app. Thanks!,POSITIVE,0.9988752007484436
Boring app In The World,NEGATIVE,0.9993343949317932
Bad app,NEGATIVE,0.9994838237762451
👎🏼👎🏼👎🏼,POSITIVE,0.9982085227966309
Nice apps for picture ID,POSITIVE,0.9985125660896301
Not really,NEGATIVE,0.9926744103431702
Please remove this kind of apps from playstore. This utter shame of having such nonsense apps .worst ever app.please remove .,NEGATIVE,0.9994903802871704
Worst useless app,NEGATIVE,0.999488115310669
Bad No esy,POSITIVE,0.9895734190940857
Worst app,NEGATIVE,0.9994810223579407
Juss waste of time,NEGATIVE,0.9993788003921509
"THIS IS SO UNHELPFUL , I DONT RECOMMEND THIS 🤬",NEGATIVE,0.9995003938674927
Esay to use great app,POSITIVE,0.9983835220336914
This app is very bad 😡😡😡.,NEGATIVE,0.999502420425415
Wrost app,POSITIVE,0.9634249806404114
"This is scammer, it doesn't give free trial for 3 days. This apps already charge to my bills. Please don't buy for it.",NEGATIVE,0.9995005130767822
Worst app,NEGATIVE,0.9994810223579407
Worst,NEGATIVE,0.9991781115531921
Faltu,NEGATIVE,0.9982784986495972
Ads earnings keliye hamara time west karta hai report karo,POSITIVE,0.9855204224586487
Nice,POSITIVE,0.9977694749832153
Totally waste .,NEGATIVE,0.9994605183601379
Good apps and falsities,POSITIVE,0.9981855750083923
TRASH,NEGATIVE,0.9979281425476074
Jfh,POSITIVE,0.9191474318504333
Fazooll ... Bakwas ... And just adds...dont instal this tati app,NEGATIVE,0.9993301630020142
Worst app ever,NEGATIVE,0.9994907379150391
Good,POSITIVE,0.9984152317047119
I swear waste of time don't download it,NEGATIVE,0.9994829893112183
One of the worst application,NEGATIVE,0.9994816184043884
"too many ads, trashy",NEGATIVE,0.9994584918022156
Worst cutting for background,NEGATIVE,0.9994039535522461
ok,NEGATIVE,0.9935387969017029
Great app,POSITIVE,0.9987025260925293
App is not working but app is very very low sizes is lease,NEGATIVE,0.9994800686836243
Ok,NEGATIVE,0.9943146109580994
Garbage.....,NEGATIVE,0.9991725087165833
Worst app,NEGATIVE,0.9994810223579407
Very good,POSITIVE,0.9986018538475037
wrost app,POSITIVE,0.9770389199256897
Not user-friendly,NEGATIVE,0.9994814991950989
Nice,POSITIVE,0.9977694749832153
Good working,POSITIVE,0.9988163709640503
Good working,POSITIVE,0.9988163709640503
Bad ap,NEGATIVE,0.9993921518325806
Application is not working,NEGATIVE,0.9994997978210449
not working,NEGATIVE,0.9994913339614868
Nice app,POSITIVE,0.9985741376876831
Vere nic.....,POSITIVE,0.992667019367218
Wrost app. Wate of time,NEGATIVE,0.9787318706512451
This app is very very nice i love it,POSITIVE,0.9988874793052673
Wastage of data don't download it,NEGATIVE,0.9994850158691406
Pathetic,NEGATIVE,0.9991955161094666
Awesome app,POSITIVE,0.9986573457717896
"Куча рекламы, ужасный старый UI, ужасное качество шаблонов в шакалином качестве. Полученное фото разве что для мемов можно использовать, не для документов. Днище это еще и подписку просит, за деньги!",POSITIVE,0.9895023107528687
Good parformance,POSITIVE,0.9986358284950256
Bed aap Nnn,POSITIVE,0.9885919690132141
Such a waste download. 3 days free trial only,NEGATIVE,0.9994837045669556
This App is cool 😎 I love it,POSITIVE,0.9988771080970764
ad app,NEGATIVE,0.9895042181015015
Land jevi application,NEGATIVE,0.7199507355690002
Kharab hai,POSITIVE,0.5615228414535522
it waste my time!!!,NEGATIVE,0.9994776844978333
very worst app,NEGATIVE,0.9994864463806152
Outstanding,POSITIVE,0.9987174272537231
Ghatiya app,POSITIVE,0.9876130223274231
Good app,POSITIVE,0.9987263083457947
Very nice very beautifull this app for Pics Editing,POSITIVE,0.9987953901290894
full of adds ew,POSITIVE,0.9978461265563965
Scammer. Click for trial been charged for 1 year subscription. Try to cancel a minute after subscribe then it state cancellation after a year.,NEGATIVE,0.9994854927062988
Took bad,NEGATIVE,0.9977889060974121
"One of best apps , happy to use it",POSITIVE,0.9989206790924072
Doesnt work,NEGATIVE,0.9994887113571167
Good,POSITIVE,0.9984152317047119
ghatiya,POSITIVE,0.9815775752067566
Gd,POSITIVE,0.6228737831115723
Usless app,NEGATIVE,0.9994630217552185
worst app ever,NEGATIVE,0.9994834661483765
It's not free,NEGATIVE,0.9919626116752625
Very bakwas app,POSITIVE,0.9975456595420837
Worst app ever,NEGATIVE,0.9994907379150391
Ok app,NEGATIVE,0.9910286068916321
Lawda app😡🤬🥵,POSITIVE,0.9984734654426575
Dg ikk uh bb nv6,POSITIVE,0.9655889272689819
Ad Trap 🕳,NEGATIVE,0.9972743391990662
👍,POSITIVE,0.9982981085777283
Too many ads,NEGATIVE,0.9994449019432068
Bad working app,NEGATIVE,0.9994877576828003
Not good app,NEGATIVE,0.999495267868042
good,POSITIVE,0.9985306262969971
Very good and amazing. Thanks for the good work,POSITIVE,0.9988265633583069
Itna ghatia aap life Mai nhi dekha thuuuuu,POSITIVE,0.995462954044342
scam app!,NEGATIVE,0.9994003772735596
Lot of add suck this app,NEGATIVE,0.9994667172431946
Congratulations,POSITIVE,0.9985581040382385
Scam App! Signed up for a 7 day trial and cancelled after 3 days but was charged 1 year subscription. The cancellation notification says no refund will be done.,NEGATIVE,0.9994723200798035
