content,sentiment,score
Wonderful,POSITIVE,0.9984530210494995
The reminders somehow bypass bedtime mode and have the most horrific noise. Reminders should not be that alarming.,NEGATIVE,0.9994619488716125
This is the best app,POSITIVE,0.9986035227775574
நல்லா இருக்கு!,POSITIVE,0.9922631978988647
Op,POSITIVE,0.6493385434150696
Bad,NEGATIVE,0.9991268515586853
"decent if you want a timer that shuffle thru the same 12 moves. I'd say for beginners mostly not "" god mode "" like they claim.",NEGATIVE,0.9965314269065857
Good,POSITIVE,0.9984152317047119
The best app so far very easily to use 😁 it really helpful 👍,POSITIVE,0.9988834261894226
Very helpful,POSITIVE,0.9983875751495361
Good 👍 good parformence.,POSITIVE,0.9987614154815674
Best,POSITIVE,0.9971845746040344
I love this app so far it's absolutely free and the pro plan isn't expensive at all. On the free version it gives you an entire 56 day workout plan for free!! Absolutely best free workout app I've seen so far!,POSITIVE,0.998907208442688
Joseph and me have dementia that's why I want to go back to the moon and Venus planted a seed we 4got where we hid money help him and I always have money just enough and that's all I need 169.00smile,POSITIVE,0.9980841875076294
Good but please add video of exercise,POSITIVE,0.996875524520874
It's working,POSITIVE,0.9985858201980591
Very good,POSITIVE,0.9986018538475037
Good 👍,POSITIVE,0.9986507296562195
Good,POSITIVE,0.9984152317047119
Ok,NEGATIVE,0.9943146109580994
Very good app,POSITIVE,0.9986957907676697
Nice app animations,POSITIVE,0.9985461235046387
Good App,POSITIVE,0.9986206293106079
Good app would recommend to anyone,POSITIVE,0.9987210631370544
Superb App ☺️🖤😘 Loved it 🤩,POSITIVE,0.9988836646080017
"Very well Designed ☺️, So easy to use, Designed as per Beginner and so on levels which makes it more useful, Hats off to the Developer. Thank You for adding 😊 Value in my Life.. U make me grow 1% every day in my Physique Fitness Journey.",POSITIVE,0.9988930821418762
I really like this app,POSITIVE,0.9988769888877869
Super 👍,POSITIVE,0.9987070560455322
Perfect,POSITIVE,0.9985440969467163
Nice,POSITIVE,0.9977694749832153
Only one word - amazing,POSITIVE,0.9978583455085754
10/10,POSITIVE,0.9745863676071167
Good apps,POSITIVE,0.9986134767532349
It's working. I'm 13 years and my father said I'm started being like an bow. I found this app and I'm not hunched now.thanks Posturefix app,POSITIVE,0.9988332390785217
perfect,POSITIVE,0.9985906481742859
Good,POSITIVE,0.9984152317047119
Good,POSITIVE,0.9984152317047119
Breh I haven't started yet(I'll start this exercise at night.),NEGATIVE,0.9927621483802795
I'm so Motivated at those Level names🔥,POSITIVE,0.9981922507286072
Great app! Please make an app for eyes exercise too,POSITIVE,0.9987090826034546
Good app,POSITIVE,0.9987263083457947
Good app,POSITIVE,0.9987263083457947
"Can't log in how much I try,It's stuck",NEGATIVE,0.9994878768920898
Excellent,POSITIVE,0.998581051826477
Good app,POSITIVE,0.9987263083457947
Good app,POSITIVE,0.9987263083457947
Gd app,NEGATIVE,0.8791214227676392
Good app,POSITIVE,0.9987263083457947
Good apps,POSITIVE,0.9986134767532349
Good app,POSITIVE,0.9987263083457947
Nice App,POSITIVE,0.9984990358352661
Good app,POSITIVE,0.9987263083457947
Good app,POSITIVE,0.9987263083457947
Good app,POSITIVE,0.9987263083457947
Good app,POSITIVE,0.9987263083457947
Good App,POSITIVE,0.9986206293106079
Very powerful AI and effective as well.,POSITIVE,0.9987429976463318
Good app,POSITIVE,0.9987263083457947
Good app,POSITIVE,0.9987263083457947
Good app,POSITIVE,0.9987263083457947
Good app,POSITIVE,0.9987263083457947
"Nice app but the exercises aren't that stable, like why do you put timer on setups or squash how do i know how much i have to do, one time i did 27 squash and i felt like i don't want to continue.",NEGATIVE,0.9994795918464661
Love it!,POSITIVE,0.9988498687744141
It's a really help ful app,POSITIVE,0.998714804649353
Good app,POSITIVE,0.9987263083457947
Why am I seeing only jaw exercises in this app? Edit: now it works well. thanks.,POSITIVE,0.9958159327507019
Very useful & fully satisfied,POSITIVE,0.9988574981689453
An amazing app for health & daily life. Very satisfied with the app. Everybody must try it.,POSITIVE,0.9989107847213745
Good exercise sar thank you I am use your 2 app one jowlines and two posturefix and advice my frnd please use this app because it's very useful app for you and make handsome,POSITIVE,0.9988721013069153
Check ur app first..You have made this like ur another app for jawline. ( update needed ),NEGATIVE,0.9995013475418091
I am loving it,POSITIVE,0.9988505840301514
First download and first review comments But it's for jaw,POSITIVE,0.9922816157341003
