,content,sentiment,score
0,Good,POSITIVE,0.9984152317047119
1,Super product,POSITIVE,0.9988124370574951
2,Giving worst products... After order they giving expire soon products,NEGATIVE,0.9994981288909912
3,Very good,POSITIVE,0.9986018538475037
4,Every products are superb,POSITIVE,0.9988303780555725
5,Super Purplle Beauty products and good package and delivery time.,POSITIVE,0.9988049268722534
6,Amazing app good products,POSITIVE,0.9987186193466187
7,Delevery on time an,POSITIVE,0.9987483024597168
8,Purchase facility very bad not directly purchase first add cart Very boring No free shipping,NEGATIVE,0.9994970560073853
9,Love it,POSITIVE,0.9988111257553101
10,Good,POSITIVE,0.9984152317047119
11,Love purple products with discount 😘,POSITIVE,0.9987530708312988
12,Always late delivery.,NEGATIVE,0.9994920492172241
13,Not really the best and the products are not nice,NEGATIVE,0.9994947910308838
14,Good,POSITIVE,0.9984152317047119
15,Good packing,POSITIVE,0.9987995624542236
16,👍,POSITIVE,0.9982981085777283
17,Service very bad and the order not delivered there timing,NEGATIVE,0.9995028972625732
18,Amazing for beauty,POSITIVE,0.9984721541404724
19,Worst app I ever seen,NEGATIVE,0.9994937181472778
20,👍,POSITIVE,0.9982981085777283
21,Good,POSITIVE,0.9984152317047119
22,Amazing,POSITIVE,0.9986121654510498
23,Very good ..m very happy from purplle and it's products..,POSITIVE,0.9988768696784973
24,Very good,POSITIVE,0.9986018538475037
25,Good products and timely delivery,POSITIVE,0.9989053010940552
26,I just love purple...they give me best products with superb packing..and also every time delivered on time or early ❤️❤️,POSITIVE,0.9989207983016968
27,Awesome,POSITIVE,0.9986000657081604
28,"One of the item is missing in the order, This is the reply i got- The delivery team informed that the box was properly packed and sealed. But I will definitely take your feedback and share it with the concerned team as well. If a product is missing from your order you will neither get your order nor your money, purple steals money like this",NEGATIVE,0.9983128309249878
29,Nice product and timely delivered,POSITIVE,0.9989022016525269
30,Best app for skincare shopping,POSITIVE,0.9984266757965088
31,"Delivery, product,satisfied and happy.",POSITIVE,0.9988731741905212
32,It's a nice experience shoping with purple THE product quality is too GOOD and also THE delivery timing as well as the packaging.,POSITIVE,0.998813271522522
33,Nice,POSITIVE,0.9977694749832153
34,Always delivers before time thank you purple and products are good,POSITIVE,0.998875081539154
35,There is no sale at rs 99🙄,NEGATIVE,0.9946222305297852
36,Good app,POSITIVE,0.9987263083457947
37,"Very very worst product and waste for money cheating app .not good.return option irukku anal return panna matranga,damage thinks a kuduthu,nalla emathuranga.don't order.return pannalaum response ila...yarum order panni emanthu pogathinga",NEGATIVE,0.999497652053833
38,Good experience,POSITIVE,0.998830258846283
39,Just good 👍🏼,POSITIVE,0.9987298846244812
40,Wow app is wonderful and very interesting really I like this project because this app shopping take easy so I like this project 💕☺️☺️,POSITIVE,0.9987543821334839
41,What a disgusting app! There are many problems while placing the order.,NEGATIVE,0.9995098114013672
42,Bed sare products Bad quality ke hai 99 bewakuf bante hai,NEGATIVE,0.9994837045669556
43,Excellent service,POSITIVE,0.9988131523132324
44,Excellent,POSITIVE,0.998581051826477
45,"Cannot add address while placing an order. Called up customer service, they hung up without resolving my problem. Wrote to CEO on twitter but no action. It seems they are least interested in attending a customer. Moving to nykaa anyways :)",NEGATIVE,0.9976766705513
46,Gud service ✨,POSITIVE,0.9981542229652405
47,Worst app... Delivery always late. Bad customer care..,NEGATIVE,0.9994958639144897
48,"Purple is a Fraud app, bought a loreal hair serum... They gave half quantity. Everyone should shop from nykaa its so much better.",NEGATIVE,0.9993628859519958
49,Bahut achha app hai,NEGATIVE,0.985675036907196
50,Super,POSITIVE,0.9985753297805786
51,Good,POSITIVE,0.9984152317047119
52,Loved it,POSITIVE,0.9988275170326233
53,It's good and I hope you won't let us regret,POSITIVE,0.9988787770271301
54,Amazing products 😍,POSITIVE,0.9987994432449341
55,Good,POSITIVE,0.9984152317047119
56,Too good,POSITIVE,0.9817332029342651
57,M happy with purple.. 💜,POSITIVE,0.9988442659378052
58,"It is good ,thoigh any brand of products can find but yes all are not available .prce of the products r also not so high",POSITIVE,0.9960273504257202
59,I am always shopping with you 🛍️🛒 with you 💕 purple 💜💜 and I will always...... thank you so much for your branded products and free gift 🎁 and extra discount..... Please gys without and delay go for purple 💜,POSITIVE,0.9989111423492432
