content,sentiment,score
Just not good,NEGATIVE,0.9994432330131531
Works great! ⚡⚡⚡,POSITIVE,0.998646080493927
Brilliant app. I have hearing loss and clarity on the phone is an issue. This app makes phone calls possible again. Love it!,POSITIVE,0.9989112615585327
This app is brilliant. I am profoundly deaf and had to ask other people to make my telephone calls. The transcription is really quick. I was actually quite emotional the first time I used it as it made me feel normal and like a hearing person. It's given me independence. The only reason that I've given 4 stars is that several times I've been cut off in the middle of a call. Otherwise it would be 5 stars.,POSITIVE,0.9988890290260315
Very good app,POSITIVE,0.9986957907676697
"I really really want to give this app a 5 star rating. I'm deaf but don't like video relay which deaf people use to make their calls. I would really really love to be able to use this app for all my phone needs. The voice transliteration seems amazingly accurate. But it doesn't seem to work for incoming calls. Only outgoing calls work well. To the Rogersvoice team, please somehow make it possible for incoming calls to work in this app. Then Rogersvoice would be a total game changer for me!",POSITIVE,0.9986086487770081
Awesome Awesome AWESOME! I Love It! ❤️,POSITIVE,0.998860239982605
The app is not transcribing the words I am speaking on the phone of the person I am calling,NEGATIVE,0.9995026588439941
Tricky,NEGATIVE,0.9948830604553223
This app is awesome. I have a hearing handicap and could not engage in phone conversations until I got this. The transcribing is realtime with no waiting or delays. Best if you speak clearly and slower if technican. A life saver ...,POSITIVE,0.9989053010940552
"A little hard to navigate during a call, but the transcription is very good. Support is good.",POSITIVE,0.9987881779670715
Amazing transcription. Permanent profanity filter. Won't do full screen notifications on Android.,NEGATIVE,0.9874803423881531
So helpful for those with hearing losses!!!,POSITIVE,0.9987773299217224
This is a really clever bit of tech. I've just spoken to my 90 yr old father who is very hard of hearing. He is still getting used to it but we have had a decent phone conversation for the first time in years,POSITIVE,0.9986699819564819
"it is saying I have amessage but its stuck, it is not opening up for me to see the message!",NEGATIVE,0.9994944334030151
Re Really help full,NEGATIVE,0.9807416796684265
"For Australian users: While this app is a good concept, there is no way to use the app for incoming calls. Wasted $10 on a subscription before I realised this. You can still make outgoing calls as an Australian user.",NEGATIVE,0.9995013475418091
"I've only just downloaded this, but so far great app. Wonderful customer support.",POSITIVE,0.9988163709640503
Allows 89 year old mother to have phone conversations again - awesome!,POSITIVE,0.9988362193107605
Excellent! Works very we'll! It has given me ohine calls back. Can't thank the developers enough!,POSITIVE,0.9989093542098999
