content,sentiment,score
If you rent a property and the service is registered in the owners name trying to get info on service during a outage is no good. Seems like to them you're none existant,NEGATIVE,0.9995061159133911
Made a new account. Can log into the website with the account. Cannot log into the app with the account. Brilliant.,POSITIVE,0.9946417808532715
Only works with WiFi. App will not load using my phone's data..says it lost connection when it hasn't.data working fine with all other apps on my phone except this one.. FIX THIS BUG!,NEGATIVE,0.9994989633560181
Electric is out it popped really loud at my electric pole. Transformer on my pole Please tell me when it will be back on my,NEGATIVE,0.9984033703804016
"App sucks, can't log in says user ID or password wrong. I can use the same login on the web page and it works. Waste of space on my phone.",NEGATIVE,0.9995030164718628
Bad suggestion,NEGATIVE,0.9994670748710632
Very Helpful Will a positive attitude in great customer service and very knowledgeable thank you,POSITIVE,0.9989056587219238
"Awesome,",POSITIVE,0.9985880255699158
"I have had the swepco app for 2 years, I've never had a bad experience while having the app I would recommend this app to people it's easy to pay your bill and report outages etc.,",POSITIVE,0.998920202255249
Like,POSITIVE,0.9969191551208496
This app makes it easier to pay my bill,POSITIVE,0.9987672567367554
Very Convenient,POSITIVE,0.9986615180969238
"Not so much the app as the company. If you have other options for energy, take that other option. Swepco isn't worth the trouble. If you like throwing money to a company who will shut things off without verifying the address they're meant to be at, and then offer no help when you've been wrongly shut off, these fine people are for you! I've had an active account with them for a single month and am already getting shafted due to their employees mistakes.",NEGATIVE,0.9994978904724121
i don't like the swepco app in general,NEGATIVE,0.9994694590568542
Great app for managing your electric bill. Very easy to maneuver through the page.,POSITIVE,0.9988947510719299
Good,POSITIVE,0.9984152317047119
Awesome,POSITIVE,0.9986000657081604
Dose every one else see these sorry rip off people only respond to those that give them five stars and a good coment. That alone tells you how awful these people are. Not to mention the app is pure junk i would rather have tools to work with on paying these rip offs but the app is to only help there sorry butts locate a outage,NEGATIVE,0.9995100498199463
Like,POSITIVE,0.9969191551208496
Not bad,POSITIVE,0.9938889741897583
"According to this app, My password is never correct. Each time I get ready to pay I change to a new password, only to find out that one is not incorrect. Well the app wins, I am done.",NEGATIVE,0.788195788860321
slm,NEGATIVE,0.9921890497207642
"My husband and I have had them for 5 years. The electric goes out 6-7 a year & takes 8-10 hrs to come on. Swepco knows we have health issues so we leave and go to Walmart. The prices are higher than other electric companies, they don't offer sun ray's for your home, or discounts for seniors. A lot of people are moving to choose another electric company, because we don't get a choice.",NEGATIVE,0.9994877576828003
"Been using the app for about 6 months now and so far so good. It's a self explanatory app, just log in and you can see your monthly bill statement just like you would if you do paper bills.",POSITIVE,0.9987019300460815
Won't let me log-in,NEGATIVE,0.9994935989379883
Convenient,POSITIVE,0.9985173344612122
Still need help.,NEGATIVE,0.9943370223045349
