,content,sentiment,score
0,It's fake,NEGATIVE,0.999460756778717
1,It doesn't even work. What a waste of time.😑😒,NEGATIVE,0.9995002746582031
2,Does not work.,NEGATIVE,0.9995036125183105
3,"I havent the foggiest idea where im supposed to start. I open the app and all I see is ""not found"". Nothing i tried changed it so.........",NEGATIVE,0.9995079040527344
4,The app doesn't work.,NEGATIVE,0.9995057582855225
5,"Useless, and don't work either.",NEGATIVE,0.9995049238204956
6,Atleast add a tutorial.,NEGATIVE,0.9967170357704163
7,Scam.. it doesn't work,NEGATIVE,0.9994702935218811
8,Doesn't work,NEGATIVE,0.9994957447052002
9,It doesn't work! It's fake!,NEGATIVE,0.999495267868042
10,Not working,NEGATIVE,0.9994912147521973
11,Doesn't work...,NEGATIVE,0.9994899034500122
12,Doesn't work at all,NEGATIVE,0.9994981288909912
13,stupid app do not download,NEGATIVE,0.9994909763336182
14,Doesn't do anything,NEGATIVE,0.9994980096817017
15,Useless app,NEGATIVE,0.999476969242096
16,It doesn't work for me,NEGATIVE,0.9994723200798035
17,Awesome,POSITIVE,0.9986000657081604
18,"I can't even use the app, it always crashing",NEGATIVE,0.9995046854019165
19,It's working now,POSITIVE,0.9980250597000122
