,content,sentiment,score
0,"I putt all my money as per Tejimandi advice and was glad on my decision. But today I am confused with the performance of their suggested stocks. Market is at all time high and Al indexes are at peak but most of the stocks in both category, either flagship or multiplier, are in selling mode. It indicates some game behind the curtains.",NEGATIVE,0.9980011582374573
1,App open nhi ho raha hai,POSITIVE,0.9931640028953552
2,Good,POSITIVE,0.9984152317047119
3,I have just started till now the app is very smooth going about the returns I can't comment just started,POSITIVE,0.9983093738555908
4,it very nice,POSITIVE,0.9985660910606384
5,thanks to tejimandi and i wish my capital growth continuessly,POSITIVE,0.99871826171875
6,No entry point to enter stock or link to chat,NEGATIVE,0.9994763731956482
7,👍👍👍👍👍,POSITIVE,0.9984028935432434
8,good app,POSITIVE,0.9987329840660095
9,Horrible customer support. Discount coupon not working. KYC is mandatory(???) and not easy to verify. Don't subscribe.,NEGATIVE,0.9995038509368896
10,99 ka neahi hai ye,POSITIVE,0.9833039045333862
11,I am surprised to see that for doing subscriptions via net banking I dont see HDFC and SBI to select. These are 2 largest banks. How to pay as I am NRI amd dont use UPI.,NEGATIVE,0.9964025020599365
12,good,POSITIVE,0.9985306262969971
13,This is scam. We want to check my portfolio is correct or not but no any options available in this app. Return back our money.,NEGATIVE,0.9995015859603882
14,hi sir,POSITIVE,0.9961676001548767
15,Scam I'm not able to check my portfolio,NEGATIVE,0.9994891881942749
16,Zero rating for UI and waste of time if you install this app.,NEGATIVE,0.9995033740997314
17,Not Good,NEGATIVE,0.9994021654129028
18,"Good going so far, I wanted to evaluate for sometime before sharing my experience, their portfolio has fetched 20% in about 6 months so far, well market has also moved positively too. Pros: Documented rationale behind each script selection. Ease of app interface, except some glitches. Cons: Subscription price difference between flagship and multiplier is not proportionate considering the ROI difference between them. need to see how their picks perform in the coming days as market is at peak",POSITIVE,0.9987857937812805
19,target prise not provide,NEGATIVE,0.9972596168518066
20,Rubbish,NEGATIVE,0.9992849230766296
21,"It's a waste app Don't download this ,if you download this don't get any plan It's a scam no support no advice",NEGATIVE,0.9995062351226807
22,99 rs. dokha kar direct 1100 rs. kaatne pe aa gaye,NEGATIVE,0.6692855954170227
23,ok,NEGATIVE,0.9935387969017029
24,not giving option to customer.... it's vvvv problematic,NEGATIVE,0.999484658241272
25,ok,NEGATIVE,0.9935387969017029
26,very poor. after subscribe kyc form after fill correct pan and dob shows kyc not verified,NEGATIVE,0.9995088577270508
27,Worse app,NEGATIVE,0.9994860887527466
28,बकवास लूटने की फिराक में रहते हैं कोई भी इनके चक्कर में ना पड़े पहले कम से कम पहले 2 ट्रेड ट्रायल देके बताए,POSITIVE,0.9885616302490234
29,Good,POSITIVE,0.9984152317047119
30,Best small case for beginner investors,POSITIVE,0.9975581169128418
31,I have expected some thing better from Motilal Oswal but very disappointed. Feeling like throwing my 1188 rupees in dustbin. Will never advise anybody to subscribe to it. I request Moti Oswal to not fool people and protect their image among investing community. And refund my money.,NEGATIVE,0.9994939565658569
32,This app is not working.... wastage of money.,NEGATIVE,0.999506950378418
33,good app for investment,POSITIVE,0.9986847043037415
34,Using for 3 months. As of now I strongly recommend to all. Long term let's see,POSITIVE,0.9986892342567444
35,Good,POSITIVE,0.9984152317047119
36,Please do something app dose not work when update app don't work app I do 10 to 12 time unstall app and after reinstall app work soo please fixed it🙏🙏🙏🙏,NEGATIVE,0.990806519985199
