content,sentiment,score
It's wow,POSITIVE,0.9974894523620605
Very bad game,NEGATIVE,0.9994944334030151
I love this game,POSITIVE,0.9988890290260315
😘😘 very good 😊😊,POSITIVE,0.9985641837120056
Nice Good,POSITIVE,0.9985503554344177
No no not good.,NEGATIVE,0.9994441866874695
បថលចលដលុំើងផង ថា់្ថលមក,POSITIVE,0.9904345273971558
Fun for now,POSITIVE,0.9915674328804016
Pada punda,POSITIVE,0.8648178577423096
♿♿♿,POSITIVE,0.9973893761634827
Hjl,POSITIVE,0.9782847762107849
"Edit: Fun time waster, I like that the VIP is a QOL feature, and the game is fine without needing to pay. The game pace gets painfully slow around expedition 16 to the point it feels pay to play, they really need to increase the amount of scrolls you can collect. The events are a fun way to make things feel a bit more fast-paced while also showing the capabilities of leveling up the runners. The gear that was supposed to unlock at 16 never unlocked either. The game needs a lot of tweaking.",POSITIVE,0.9922047257423401
Fun and addictive,POSITIVE,0.9988117218017578
I don't like this game. Please make an endless runner game like temple run 2 again or just update temple run 2 because i love it. This game gets boring easily and it's hard to continue playing it.,NEGATIVE,0.9995077848434448
Opopopop Game,POSITIVE,0.9930385947227478
Good,POSITIVE,0.9984152317047119
"Sorry i don't like this Game, but you Temple Run Developer Team so 4 star 🙂",POSITIVE,0.9978722333908081
Totally waste,NEGATIVE,0.9994603991508484
Good!,POSITIVE,0.9984869956970215
This is bad I am sorry but can you make temple run 3 the game was a bad game I didn't know about why you made this,NEGATIVE,0.9994920492172241
Harsh,NEGATIVE,0.9991936087608337
💗💗,POSITIVE,0.998167872428894
Very nice temple run IDLE,POSITIVE,0.9987693428993225
"Another generic idle game that abuses a nostalgic IP Dev response: I don't know if this is an automated response, but you seem to think that I care about the change(?) This is just a generic idle game that uses the original game's IP to earn easy money instead of making an original idea.",NEGATIVE,0.9995099306106567
I think I know how this idle game works now. Love the graphics and I have fun playing.,POSITIVE,0.9987794756889343
When I was 6 years old I like to play temple run,POSITIVE,0.9969057440757751
"Not bad, just needs adjustments to the story",POSITIVE,0.9914713501930237
"I can't craft artifact in tutorial, taping on ""Craft"" doesn't work",NEGATIVE,0.9995009899139404
This is very very bad game 🤮,NEGATIVE,0.9995003938674927
This game is too bad 😔,NEGATIVE,0.9994775652885437
"Sorry Imangi, but this game does not have soul. It's just not interesting. I'm deleting it.",NEGATIVE,0.9995068311691284
This game always hangs when claiming things,NEGATIVE,0.9994681477546692
"When I closed the game and reopened it, all of my progress was gone",NEGATIVE,0.9994841814041138
This game is not good,NEGATIVE,0.9994972944259644
زظنففغنعغ,POSITIVE,0.9814220666885376
"No doubt the game is good, but I'm at level 9 & i stucked at one mission , win 9 challenge stars in this expedition and i get 7 of them but I don't have more run challenges to get 2 stars I don't know what to do",NEGATIVE,0.9939111471176147
Nice game It's interesting You don't get bored,POSITIVE,0.9988871216773987
कुछ समझ में नहीं आया यह क्या है। Pls explained what is in this game।,POSITIVE,0.9950343370437622
The best game ever,POSITIVE,0.9987554550170898
Bad,NEGATIVE,0.9991268515586853
Not good,NEGATIVE,0.999464213848114
Lğhjķĺfďgdgģdšcbz.Lfhsgrnfj4v f vutlj Nunn,POSITIVE,0.9789325594902039
Bad game,NEGATIVE,0.9994788765907288
good games,POSITIVE,0.9988284707069397
It's full of bug please re create it,NEGATIVE,0.999131977558136
Good game but need more to be developed..,POSITIVE,0.9984147548675537
"I like the idea of it, but can't even get through the tutorial. The game keeps freezing.",NEGATIVE,0.9995079040527344
Add gplay achievements,POSITIVE,0.9973128437995911
Visually stunning for a mobile game! The concept of exploring the world of temple run is super interesting and imaginative! Fantastic!,POSITIVE,0.9988436698913574
it's a amazing experience,POSITIVE,0.9988658428192139
Lame,NEGATIVE,0.9994528889656067
Good,POSITIVE,0.9984152317047119
Kind of not making us to do anything with brain. Too much in under 30 mins but can't move forward without diamonds and it should be provided atleast hardway to earn them but kept as paywall. Overall Ok for now..,NEGATIVE,0.9993599057197571
Not good,NEGATIVE,0.999464213848114
Very Bad Game...PLZ DONT PLAY THIS GAME.....TEMPLE RUN 1 IS BETTER THAN THIS...THANKS,NEGATIVE,0.9995031356811523
Worst game,NEGATIVE,0.9994834661483765
One of the best Idle type games I have ever played. Temppe run was my childhood game and now playing it in this new style is amazing and fun. Thanks Imangi studios for giving us this amazing game.,POSITIVE,0.9989117383956909
THIS IS NOT A TEMPLE RUN. THIS IS SO DISGUSTING GAME COLLECT COINS AND RUN..,NEGATIVE,0.9995005130767822
Gis,POSITIVE,0.9838502407073975
I wanted to give one star but you're getting two because of your past Release Temple run 2. Not gonna lie first impressions were great until I realized I need the internet to play it,NEGATIVE,0.9995056390762329
Don't li6,NEGATIVE,0.9975086450576782
Bad experience,NEGATIVE,0.9994514584541321
Good,POSITIVE,0.9984152317047119
"Well those reviews are fake , it's all a plan to down temple run idle I guess. Maybe it's a devious plan of Subway surfers idk, I haven't found any error in this game it's very addictive timekiller my words are small to describe.. i advice you to must install this you'll thank me forever 💓. And lastly sorry for my bad English. Tata👋",POSITIVE,0.998892605304718
"Is very fun so far :) I'm enjoying the humor and the plot, and the gameplay is very intuitive and enjoyable too",POSITIVE,0.9989264607429504
"Not working properly, stuck on a single screen and cannot click any option. There is some glitch.",NEGATIVE,0.9995038509368896
I'm first dawnload this game,POSITIVE,0.9977514147758484
Nice game but improve ❤,POSITIVE,0.9984537363052368
I expected that in this game we will run with some quest and have a story but it's story is bad and gameplay is even worst . I can simply say I expected too much from this one. I gave it 2 stars only because I was somehow intrested in this story I don't know why.,NEGATIVE,0.9995121955871582
"Not properly open in my phone. Why i wasted my time and internet, the reason is temple run oz.",NEGATIVE,0.9994969367980957
"I understand it's yet to be patched, however I have noticed a couple of issues while playing: 1. 2/3 times the game claims I'm not connected to the internet all the while having a strong and stable internet connection AND unlimited data as a backup 2. The game often claims my Play account isn't synced with the game despite it always being connected 3. Loading times need improvement. On the average it takes the game 3-4 minutes to load on my device 4. The game often crashes, especially after ads",NEGATIVE,0.9994887113571167
I am unable to understand the game. what is the main goal can you tell me . What type of game is this . I am going to uninstall. I will reinstall in 1 week if you make this app better I will keep it....,NEGATIVE,0.9995062351226807
I am running and I am complete runing but gate is not come route generate same route and repeate it,NEGATIVE,0.9994621872901917
Op brother 😊😊😊 Best game,POSITIVE,0.9986762404441833
Waste of time,NEGATIVE,0.9992181062698364
The game literally doesn't let me claim the rewards from the first chest. I click on it and then the game doesn't even let me click the X or anything else so I'm basically stuck,NEGATIVE,0.9995057582855225
This game is very slow download,NEGATIVE,0.9994775652885437
It is so good I love it I love it it is so good 👍 😍,POSITIVE,0.9986746311187744
