,content,sentiment,score
0,"Zero stars. Somehow, they have made it WORSE. Absolutely a joke. Whenever it's bought up with the team, you're told they are ""developing"" the Android app. They have been doing this for two years so far. Trying to help staff and work outside of my business while on maternity leave is impossible. Will be looking into other software apps during my time off.",NEGATIVE,0.9995096921920776
1,Absolutely 0 support for the android app. Is literally a link to their website. Useless and painful to use,NEGATIVE,0.9995050430297852
2,Great app,POSITIVE,0.9987025260925293
3,Very please with the services,POSITIVE,0.9989027976989746
4,Doesn't work for smasung phone. Disappointing. They should've told me this before I paid for the membership.,NEGATIVE,0.9995051622390747
5,Timely has charged me twice without a full refund for the first month. I requested for my account to be deleted and a debit just came out today which is beyond fustrating. You're better off with square appointments that actually loads.,NEGATIVE,0.999508261680603
6,App automatically directs you to the website so this app is literally pointless if you use a private browser. If you don't have data or wifi it is unusable to see any bookings.,NEGATIVE,0.9995009899139404
7,"Does not support Android - completely broken app after recent major update. Multiple back-end issues. Devs going down the ""it's not a bug, it's a feature"" route. Very expensive, use another service!!",NEGATIVE,0.9995071887969971
8,"Shocking on Android, always freezes",NEGATIVE,0.9994891881942749
9,Annoying it keeps asking me to review,NEGATIVE,0.9994792342185974
10,"Super buggy. Jobs dont update unless i completely refresh the app. If i open a job on the schedule, close it and attempt to reopen the job i need to also refresh the app in order to view the job. On top of that theres a 20%-30% chance the app just crashes attempting to open it. All of my colleagues who use android have this problem. This needs an update to be more android user friendly",NEGATIVE,0.9995073080062866
11,Freezes and crashes on Android 13 just like the desktop version of the website. Only happens on chromium based browsers and this webview based app.,NEGATIVE,0.99947589635849
12,Android app is less useful than an old potato.,NEGATIVE,0.9994927644729614
13,"Keeps crashing on android phone after 3-4 seconds. Unusable at the moment. When I want to rebook clients using my phone, it's embarrassing, as they are waiting so long for me even to get on the app. Please can the developers sort this very quickly. Thank you.",NEGATIVE,0.9995038509368896
14,Just terrible. It's a Web version. Never experienced such a poorly built app from a paid sevice.,NEGATIVE,0.9995039701461792
15,"Awful after update! Used to work perfectly on Android but since update crashes every time app is open. Multiple attempts until it finally loads then doesn't scroll. Timely team, sort this out please.",NEGATIVE,0.9995021820068359
16,"Difficult time management. For instance, I can't make appointments specific to a certain amount of hours needed. Microblading 3 hours, I have to put a 30 minute time slot followed by blocking 2.5 hours so it works. Please fix",NEGATIVE,0.9993414282798767
17,Full,POSITIVE,0.9902374148368835
18,Good,POSITIVE,0.9984152317047119
19,Android app does not work. Appointments don't show. Unable to edit appointment information. Lots of issues.,NEGATIVE,0.9995040893554688
20,This app keeps timing out. Very frustrating.,NEGATIVE,0.9995051622390747
21,Terrible on android. Way better on ios,NEGATIVE,0.9990026354789734
22,"Slow, defective, useless! Crashes all the time and feels unfinished. It's a shame.",NEGATIVE,0.9994974136352539
23,"Like the service, but the app is terrible. Doesn't automatically update appointments unless I move weeks then move back. It constantly starts me off weeks late and need to scroll to the correct week and even on a newer phone is sluggish. Definatly will change this rating when it becomes more smooth and functional. But makes me want to go back to Katoomba.",NEGATIVE,0.9993318915367126
24,"It's ok this android app, but needs notifications when a SMS is received and customer details section",NEGATIVE,0.9917619228363037
25,Terrible compared the iOS version,NEGATIVE,0.9994596838951111
26,Awesome app,POSITIVE,0.9986573457717896
27,Not working properly on samsung phone. Always slow or didn't load anything.,NEGATIVE,0.9995080232620239
28,Not an app. Just a WebLink.,NEGATIVE,0.9979628324508667
29,Great,POSITIVE,0.998588502407074
30,"The website version of the app works without flaws, the app constantly opens the play store when trying to log in using a code and makes it extremely inconvenient as to get the app to open correctly I have to force close Timely & the app store before attempting again. This among a few things make it not so user - friendly but would due to small changes could be much better",NEGATIVE,0.9979704022407532
31,"Terrific software for running a small business needing all the smarts of an online booking and scheduling system. In our case, a driving school. Designed with hair salons in mind but would suit a range of business situations, from trades to personal services. Been using it for 7 years with great success. Great support if you need help. Priced right for employees working part-time, so no need to skimp. Would say more...",POSITIVE,0.9988922476768494
32,"on Android when you try to open the app multiple times throughout the day, the app redirects to the play store every time. and if you try to open it in the play store the app NEVER loads. so you have to constantly close all the apps on your phone before trying to open it again. please fix this issue because it takes foreverto rebook clients on my phone. other then that, the app on the computer works great and the booking page for clients is excellent.",NEGATIVE,0.9978907704353333
33,"I don't get notifications when someone sends a reply text so unless I'm constantly checking I often miss messages. I tried turning reply texts off but my clients were still able to text, I just wouldn't receive them at all 🤦‍♀️ it's extremely frustrating.",NEGATIVE,0.9994823932647705
34,Keeps taking me to this page every time I try to open the app,NEGATIVE,0.9994969367980957
35,It glitches sometimes... Doesn't show appointments or shows the wrong day...,NEGATIVE,0.9994773268699646
36,It's barley usable on an android. Just crashes all the time,NEGATIVE,0.9995062351226807
37,"Functions are good when using app. My complaint though is that it doesn't open properly, either it opens without asking for a pin or it sends me to play store and refuses to open. Have tried using support who were helpful but couldn't solve the problem and just stopped helping.",NEGATIVE,0.9994968175888062
38,"Awful on android! For months every time I open the app, it opens the play store up. I then have to close both the play store app and timely and reopen timely for it to work. Every other app works perfectly fine on my phone so it's not my phone, it's the app. It works fine on my friends iphone but really isn't android friendly. Lazy error which needs addressing.",NEGATIVE,0.999503493309021
39,"Monthly fees are so high compared to other providers! I've migrated from timely now and since then, I've realised how much of a rip off the system is. The app itself is easy to use however very costly when you have multiple salons/staff. When I was using the system, they did not have a POS capability which was also quite annoying.",NEGATIVE,0.9994864463806152
40,"Horrible!!! Useless with android, after my phone updated I can't check future bookings, can't do anything and constantly times out after 2min",NEGATIVE,0.9995114803314209
41,The app is now just a browser. Might as well just use your own browser.,NEGATIVE,0.9994845390319824
42,Does not work on my Samsung,NEGATIVE,0.999487042427063
43,"I'm not sure what has happened this year, but I can no longer book appointments for clients on my phone no longer. I emailed to let them know, told to uninstall and reinstall the app, unfortunately it has not made a difference. I'm currently after 4th uninstall and reinstall am going to try something else. Not suitable for android phones.",NEGATIVE,0.9995013475418091
44,"After the update it is not usable on my samsung phone. Crashes after 30 seconds. When i try to scroll down it jumps back to the top constantly. Takes a long time to load , half the time it just wont load. I had to buy a laptop to be able to continue using it as i paid upfront for 1 year highest membership. Works well on laptop . I do love all the functions. Just dissapointing that it no longer works for samsung phones, as i would like to be able to manage bookings when im not home too.",NEGATIVE,0.9994943141937256
45,The Android app has too many glitches.,NEGATIVE,0.9995037317276001
46,"I'm supposed to use this app for work. We have all Apple products at work and the app is fine, I have a Samsung and this app is horrendous to use on my Samsung. Would be nice if it was usable for all devices.",NEGATIVE,0.9995018243789673
47,Great new improvements!,POSITIVE,0.998740017414093
48,The checkout doesn't work on my Samsung phone. Also everytime i go to open the app it takes me to play store.,NEGATIVE,0.9995040893554688
49,"Great Software, the mobile version just needs a bit more fine tuning.",POSITIVE,0.998607337474823
50,Love this app,POSITIVE,0.99887615442276
51,It's OK,NEGATIVE,0.9970890879631042
52,I really hate the fact that I can't upload photos from my android into the clients files. It's most annoying.,NEGATIVE,0.9994774460792542
53,"Expensive for what it is, that being said I have an android (Google) phone and it works just fine. The only problem would be that a spot can look open on my schedule when it's really not, I just click on the spot before booking to make sure its empty or taken.",POSITIVE,0.998019814491272
54,Won't let me schedule anything,NEGATIVE,0.9994811415672302
55,Always have crashes during launch,NEGATIVE,0.9994305968284607
