,content,sentiment,score
0,"So far, so good 👍",POSITIVE,0.9987053871154785
1,"Awesome, I wish it was offline though",POSITIVE,0.9983910918235779
2,Very good 👍,POSITIVE,0.9986938834190369
3,Good,POSITIVE,0.9984152317047119
4,It's a very good app,POSITIVE,0.9987632036209106
5,I paid for this app as I thought it would be great to use but the reminders do not work. I would like something that adds to my schedule and sends reminders. Unfortunately there will be no refund so be careful before you pay for this.,NEGATIVE,0.9994953870773315
6,Easy to use app,POSITIVE,0.9988310933113098
7,THIS LIST IS GENERALY NICE!,POSITIVE,0.997585654258728
8,Its really good I love it. Ilike how its so easy and really fast,POSITIVE,0.9988731741905212
9,So beautiful,POSITIVE,0.9985665678977966
10,The bed app,POSITIVE,0.9977154731750488
11,Happy,POSITIVE,0.998801589012146
12,Good to use,POSITIVE,0.9986683130264282
13,nice,POSITIVE,0.9972729086875916
14,Good👍,POSITIVE,0.9985754489898682
15,"Just downloaded the app. I like the format, but I need more time to use it before I can give my true feedback",POSITIVE,0.9976779818534851
16,It is an awesome app it helps you to set reminders and your task along with your sub task it helps me to manage my time,POSITIVE,0.998918890953064
17,Backup doesn't work. What other way can you backup the data bedside Google Drive? I don't see any other options.,NEGATIVE,0.9994863271713257
18,"It's a great and to the point app that is easy to navigate. It's customizable to a point and easy to overview. However I would like the tasks of different categories to be of various colors, so that you differentiate them better from another when looking at the tasks of all categories. It would also be helpful to get to flag them according to priority.",POSITIVE,0.9988116025924683
19,Good,POSITIVE,0.9984152317047119
20,Love it,POSITIVE,0.9988111257553101
21,Productive 💥🌸,POSITIVE,0.9986989498138428
22,Good,POSITIVE,0.9984152317047119
23,Tt,POSITIVE,0.8473309874534607
24,This is very good app it helps me alot to accomplish my goals 😃👍,POSITIVE,0.9988995790481567
25,"Honestly, I love the app. It's great works amazingly with my schedule and seems perfectly tailored to fit my life. However, many times I've found that my tasks were deleted. Usually, I just rewrite them but unfortunately it deleted all my tasks. I deleted it after that which is sad cause it's an amazing app but this issue was one I don't want to experience again. Honestly feels like I just broke off a friendship🥲.",NEGATIVE,0.9991292357444763
26,Amazing app,POSITIVE,0.9987057447433472
27,Well done.,POSITIVE,0.9988142251968384
28,Great take out subscription and I will stay on it,POSITIVE,0.9988871216773987
29,3rd July,POSITIVE,0.9887935519218445
30,I love it.,POSITIVE,0.9988481998443604
31,I like the app so far.,POSITIVE,0.9988266825675964
32,"I wanted to text this out to see if it works with for us, but evening is behind a pay for it wall. I'm not signing up for a free trial or paying 40 for an app I can't test.",NEGATIVE,0.9994624257087708
33,It's a good app but when I go to go in the app it will say buy this and then I will hire the x but it will ask me to be vip,NEGATIVE,0.9958678483963013
34,ใช้งานง่าย สะดวก,POSITIVE,0.9887391328811646
35,"One thing I didn't like the pay to some things pay , while I love other all things ❤️",POSITIVE,0.9960845708847046
36,Very easy to use. You can list tasks eith either no date or a date.,POSITIVE,0.9987273812294006
37,"WOW!!!! THIS APP IS REALLY HELPING ME DO MY TASKS RIGHT ON TIME!!!!!! I REALLY RECOMMEND YOU TO USE THIS APP!!! REALLY!!!!! well, that notification stays on your notification bar, JUST DON'T MIND IT!!!",POSITIVE,0.998871386051178
38,It is not free you need to pay later,NEGATIVE,0.9949353337287903
39,"Got the premium, and it says I am unable to sync to my Gmail. States that I will only have a plan for 1 day before my reminders are removed. Please fix. Besides this I would have given app 5 stars",NEGATIVE,0.9963762164115906
40,Like,POSITIVE,0.9969191551208496
41,"I loved this app.. I can add my daily personal and work tasks, and also my wishlist in separate categories. I can fix the dead line (date + time).Moreover it is very convenient to use..",POSITIVE,0.9989303946495056
42,I like it but its bombarding me with the vip thing.,NEGATIVE,0.9966559410095215
43,Good app which is helpful to remember and to complete the tasks in the time . Ads are also small and we can close the fast compared to other apps,POSITIVE,0.9989211559295654
44,Amazing,POSITIVE,0.9986121654510498
45,Cool,POSITIVE,0.9969147443771362
46,"Just installed, quite good experience but yah they ask for premium for more good experience which is not applicable.",POSITIVE,0.9926608800888062
47,Really good Can organize everything,POSITIVE,0.9986101388931274
48,This app is soo good but i couldn't give more because it doesn't remind me the time which I set for things to do,POSITIVE,0.9984468817710876
49,Very smooth,POSITIVE,0.9985527396202087
50,Good 👍,POSITIVE,0.9986507296562195
51,Easy to Use this Application and very useful information 🙂,POSITIVE,0.9989247918128967
52,Good,POSITIVE,0.9984152317047119
53,It helps me organize.i was in a bad motorcycle accident and I have tbi to my brain.its a awesome app.....,POSITIVE,0.9988353848457336
54,Best app in whole playstore,POSITIVE,0.9982366561889648
55,Just started using but love it.,POSITIVE,0.9989035129547119
56,It's the best,POSITIVE,0.9987062215805054
57,Thanks it really helps,POSITIVE,0.9987561702728271
