content,sentiment,score
nothing works,NEGATIVE,0.999471127986908
Track was all over the place. Distance walked was too high from actual. Uninstalled,NEGATIVE,0.9995038509368896
"Not working properly,I do same route,it's giving different reading!unsatisfactory!",NEGATIVE,0.9995042085647583
"Easy to use, super convenient. Definitely recommend",POSITIVE,0.9989238381385803
"Guys, something isn't right with tracking. I use galaxy s21 Fe 5g phone and this app when I go hiking. I use two particular routes but every time this app shows different distance walked. Today it showed that I walked almost 1.5km more than this route actually is. Also same app in same other 2 phones also shows different distances walked but we all went together",NEGATIVE,0.9990830421447754
inaccuratte,NEGATIVE,0.9992161989212036
"Love it, this is such a simple App. So easy to use and doesnt have any unnecessary extras or multiple options. I wish more app was like this.",POSITIVE,0.9989351630210876
how do I shut down the app?,NEGATIVE,0.9992365837097168
it glitches,NEGATIVE,0.9993602633476257
this app is great it does exactly as advertised and nothing more just as a good app should...,POSITIVE,0.9989216327667236
"I cant find any way to enable breadcrumbs so i can see the trail I've been on. Also, how can i keep my facing my direction instead of always pointing north? I'll pay for the full version and give 5 stars if i can see the tracks, otherwise, this is useless for someone biking off trail in the forest.",NEGATIVE,0.9977177381515503
"so freaking good, exactly what I was looking for!!",POSITIVE,0.9988203644752502
"I haven't used it for much complicated stuff, but for now it's good.",POSITIVE,0.9977880716323853
Love the app but I'm unsure of the accuracy of the distance. I did a 10km race but the app said it was 13.5km after I finished. Is there a better accuracy setting that I need?,POSITIVE,0.9915522336959839
"Just started, so no definitive data to report, but the UI is very clean, very basic and easy to navigate.",POSITIVE,0.9984034895896912
"I appreciate the simplicity of this app. it tracks my trails well without all the barrage that you get from other apps to do goofy stuff like take pictures and create a video of your path and share your progress, etc. Thanks for keeping it simple.",POSITIVE,0.9989319443702698
Love this app when it works. Unfortunately it's badly unreliable. Tracks incorrectly or fails to track at all 3 times out of 5. Have updated and reinstalled multiple times with no effect.,NEGATIVE,0.9995077848434448
love it. GPS only. uses no data. easy. FREE.,POSITIVE,0.9988177418708801
This Is The Perfect Solution For Me Whilst I Get My Training Achieved For Upcoming Major Challenge,POSITIVE,0.9988718628883362
"This app, at least when used for walking, is grossly inaccurate. It inflates your mileage dramatically. It is completely useless for tracking foot mileage.",NEGATIVE,0.9995043277740479
"great app, tracks your speed. distance and elevation change",POSITIVE,0.9988340735435486
some days the accuracy is bad. There are times when it actually overstates your distance traveled by 50%,NEGATIVE,0.9994497895240784
"It was great. Easy to use and has all the features I need. The only problem is it now pauses (with auto pause off) for no apparent reason when you use another (unrelated) app. I have updated it to the latest update available (ver 5). It still pauses, I noticed it pauses when I receive a WhatsApp message, even when I don't open WhatsApp.",POSITIVE,0.9936694502830505
"Work's even offline hasle free app best for trail people, MX enduro, running, hiking, gravel bike, mtb dh, mtb enduro and overlanding.",POSITIVE,0.9982085227966309
said I had walked 0 miles in 1 1/2 hours. Does not work (in android 6),NEGATIVE,0.9995044469833374
Could add dark mode,POSITIVE,0.9844105243682861
Excellent! Straight forward. Very easy to use. Provides nice incentive for outdoor activity and exercise for kids and adults.,POSITIVE,0.9989035129547119
you can't run the app in the background and still use your phone,NEGATIVE,0.9994761347770691
I am using this mainly to track my trail on a map. And this app does it well. You can get a sharable link if needed. Trails are also accessible from the online site. I paid for the pro version.,POSITIVE,0.9988337159156799
if I have my phone to hand or top pocket of coat to shurt macking suer you getting a sat signal it verey acute to track & marck your path. I have samsung A13.,POSITIVE,0.9957913160324097
the best,POSITIVE,0.9981383085250854
cell tower triangulation is not smooth...it shows zig zag path and adds distance which is incorrect,NEGATIVE,0.9994742274284363
the login function does not work,NEGATIVE,0.9994999170303345
thankyou xcountry skiing @ home in my forest,POSITIVE,0.998881995677948
Great app 👌 everything I need,POSITIVE,0.9988691210746765
Had some initial problems but got very good and prompt help from developer. Great app.,POSITIVE,0.998913049697876
Really cool. I love all the data it gives you!,POSITIVE,0.9988706707954407
A slightly steeper learning curve than I expected for a simple app but it does what I need--track my mileage. I think it will be very useful in setting and reaching fitness goals.,POSITIVE,0.9989225268363953
Slow updating of gps position 😔 as consilience - bad tracking,NEGATIVE,0.9994950294494629
Initial test walk was great.,POSITIVE,0.9986447691917419
"easy to use, accurate and the tracking map is very good",POSITIVE,0.9989186525344849
"excellent, accurate app...",POSITIVE,0.998863935470581
it's nice..but when you stop the workout session you cannot trace back the trail. unless you share it on Facebook.,NEGATIVE,0.9986409544944763
Works well. Accurate.,POSITIVE,0.9988380074501038
doesn't show step count when walking,NEGATIVE,0.9994789958000183
nice app to have simple and intuitive,POSITIVE,0.9987934827804565
"easy to use, clear details but accuracy on measuring distance, compared to other apps is slightly questionable.",POSITIVE,0.9982689619064331
Started walking a lot recently and became curious what kind of distance I was covering. This app does that very well as well as giving many other little interesting stats. It's easy to use and not covered in ads. Highly recommended,POSITIVE,0.9989264607429504
Didn't like this app hardly at all.,NEGATIVE,0.9995003938674927
"I'm using it on horse rides on unmarked, unknown areas. Works great.",POSITIVE,0.998867392539978
quick and easy,POSITIVE,0.9987342953681946
I ride horses and this app is great. friemd has iphone app and we never come out with same thing. I can set odometer in car n turn on this app and they match.,POSITIVE,0.9988504648208618
"The application records the gps data, but the so-called analyzes are useless. Scattered values ​​for speed look chaotic and I'm missing the vertical axis. Correlation of speed and climb is also difficult. I would be happy if a vertical line appears between the two graphs where I touch. Even better if I can also see the correlating point on the map. I also find the average speed during ascent and descent useful.",NEGATIVE,0.9994882345199585
excellent app,POSITIVE,0.998681366443634
can't verify my credit card? says not a recognized brand. Tried discover & Visa?,NEGATIVE,0.999488115310669
It drops out too often so doesn't record distance or route but the time/duration of walk continues. Altitude climbed and descended are debatable too,NEGATIVE,0.9992052912712097
"simple, accurate, no hassles. even I can do it",POSITIVE,0.9988264441490173
"Walked the exact same route twice , first time it logged at 5 miles and today it logged it at 6 miles . I traveled same route in car and it logged at 3 miles. Doesn't seem very good of an app",NEGATIVE,0.9994907379150391
This App works well on my Galaxy s21 but I can't find the track on my Galaxy watch 4. It appears to be writing the track but there appears to be no way of finding the track. Your advice would be appreciated. Cheers Mark Thanks for your support - I can now see all of the the reordered tracks on my phone quite clearly 👍,POSITIVE,0.9962922930717468
"I gotta pay to download my Workout Stats? Hell no! Aside from that, the app ""WAS"" good.",NEGATIVE,0.9642168879508972
I was a little sceptical about this app tracking accurately. It's fabulous! Simple and without problems,POSITIVE,0.9989400506019592
Worked perfect for 2 months and suddenly my two last runs. Cutting 3km out. i guess it's time to uninstall such a pity cause its real nice easy app,NEGATIVE,0.9990262985229492
does not work properly. bothers to display ads most of all. too bad.,NEGATIVE,0.9995028972625732
Not bad. I like that no registration is needed. but results are not zoomable and difficult to read. An export would be nice.,POSITIVE,0.9878479242324829
Gives great stats. Seems to be accurate. Ads are minimal. Keeps track of workouts. Shows elevations as well as distance traveled. Easy to use. Metric and English units.,POSITIVE,0.9988564252853394
"Great program to track and share hikes, bike rides, and similar activities. Works best if you remember to turn it on BEFORE you start the activity!😉",POSITIVE,0.9988473653793335
Gives a different difference everytime I walk the same exact route. Sometimes off by 1km.,POSITIVE,0.9934477210044861
"this is a decent app the mostly does what it claims.. however, the altitude calculation seems a bit off. example: on Samsung Note 9, at&t network, at the shore in Southern Oregon, USA, this app shows an altitude of -89 feet. Seems unlikely. similar for the beach at Harbor Oregon. 2022/06/25: Following the update download per the fix noted by MaxSoft on 2022/06/23, it now seems I can no longer get elevation at all.",POSITIVE,0.9834629893302917
"Changed review, had to turn off lockscreen sleep, works well",POSITIVE,0.9985764026641846
Very easy and useful fitness app. Really enjoying it. No subscription required and no additional payments.,POSITIVE,0.9989233613014221
"Cannot switch from metric to English, seemingly, no way to customize",NEGATIVE,0.9994951486587524
It's nice that I can use this app offline but sometimes it doesn't record your trail fully. It records your displacement not your actual trail.,NEGATIVE,0.9712121486663818
no tutorial for a beginner to learn how to use this app,NEGATIVE,0.9987269043922424
The app worked great for the first couple weeks and then all of a sudden my 2 mi walk became a 7 mi walk. I went back to using map my walk by under armor and it works much better. really sad. oh well.,NEGATIVE,0.9994426369667053
I hit start the walk. The time starts but the PAUSE comes up but the distance and everything else does not.,NEGATIVE,0.9982106685638428
It was great until I changed phone I now get annoyed as I need to know how far gone on my mobility scooter,NEGATIVE,0.9994603991508484
"Great customer service from developers. Had problems with GPS accuracy mostly due to Android os. Quick response, unfortunately problems persist.",POSITIVE,0.9968744516372681
"hopeless, accuracy realy hopeless.",NEGATIVE,0.9994935989379883
"simple, no frills mileage and time app. I purchased it after second use.",POSITIVE,0.9988324046134949
Overall good. But it will be great if you can improve it's startup time (it's 2x slower than likewise apps)and reduce the size of the app(it's 2x larger than likewise apps).,POSITIVE,0.9985374212265015
same track & distance different reading each time,POSITIVE,0.9944895505905151
the app is easy to use but very very inaccurate for distance. error can be over 2- 3 km for an 8 km trail.,NEGATIVE,0.9995036125183105
distance recorded is way off and I can not find a way to adjust it. I have retraced several routes with my vehicle and each time the app records the distance times two.,NEGATIVE,0.9994971752166748
"The constant notifications when I am not using the app are super annoying, and I do not see a setting to turn it off. I will uninstall the app instead.",NEGATIVE,0.9995042085647583
This is very good app,POSITIVE,0.9986734390258789
I use this for kayaking.. it tracks while on water . Works great,POSITIVE,0.9989029169082642
Cannot Register for an Account or Login with the app,NEGATIVE,0.9994776844978333
excellent 4 walking running biking accurate,POSITIVE,0.9987441301345825
"I use this app to track my dirt bike trail riding. It works awesome and helps me find my way home with the awesome bird's eye view since I'm nowhere near improved roads. Maybe my use of your app could be an additional market to tap into. Improvement suggestions that I think might be useful to many users would be the ability to thumbtack certain obstacles and alternative ways around them, points of interest, fun spots or great views, intersections, and trail dead ends and the ability share thes",POSITIVE,0.9988821148872375
This makes my second year using this app and so far it has been a great one. I do a lot of hiking and never knew how far I have actually traveled through the woods. With this app I have recorded up to a 10 mile hike and with this app you won't get lost in the woods just follow your trail on the app back to your starting point. Thank you for making such a great app,POSITIVE,0.9989331364631653
it does the job real good and with unnecessary things to unlock just for premium users,POSITIVE,0.9987621307373047
Incorrect distance measured.,NEGATIVE,0.9994847774505615
"The best option I've found. Works well, and easy to use. Just wish the map was bigger, and stats included coordinates.",POSITIVE,0.9988691210746765
Stops half way through a walk.,NEGATIVE,0.9994814991950989
awesome app for hiking and kayaking trips. I've been rolling through apps to find a good one to map out my routes. I believe I am done looking!,POSITIVE,0.9988173842430115
Fun and informative app! I really like it.,POSITIVE,0.9989180564880371
Appears to be accurate and easy-to-use. Like th we various activities that can be made.,POSITIVE,0.998790442943573
"I use this app to track my horse trails, it works great for showing what I need. Thanks",POSITIVE,0.9989232420921326
"Excellent for tracking hiking or biking. Simple to use & tracks distance, speed, etc.",POSITIVE,0.9988945126533508
Stop recording when screen is switch off... Super useful 🤔,POSITIVE,0.9986710548400879
When it works it's not bad but often just switches off and doesn't like working if other apps are running so listening to music often interfeers with it...I've deleted it now,NEGATIVE,0.999506950378418
"I've had this app on my phone for a while, I use it occasionally, I'm not big on fitness! I do like to go for walks if the weather is nice, I find it useful to see how far I have walked. I did notice a discrepancy in the distance I had walked when comparing my tracks with Google earth. I also noticed quite a few people reporting the same in the reviews. The good news is that I played around with the accuracy settings and managed to improve things dramatically. If its any help to anyone reading this I use 10",POSITIVE,0.9981330037117004
"unable to register. password fields, although they match, there's a continual error message",NEGATIVE,0.9995075464248657
"Uninstalling in single use, no accuracy, walked for 5km and showing only walking time no distance updated not route was updated, no use Replying to devloper After 14 days over i uninstalled your app and now you are asking to share the exact issue, can you pls explain how will i share that exact issue for you",NEGATIVE,0.9995096921920776
Seems to work fine for me cycling and walking so long as when i start it i wait for GPS to get a lock. I paid to get rid of the ads... but i really do not want to pay for cloud access to my workouts... I guess i am glad it wont let me login for whatever reason.,NEGATIVE,0.9987624883651733
"it's great when it works. about half the time I start it up to track a walk and when I look at it 10 minutes into the walk it has the indicator for an active tracking session but it's not tracking anything, it just stops.",NEGATIVE,0.9995094537734985
how the hell do you get an Account or log in to this app?,NEGATIVE,0.9994944334030151
"Gone 1:20 min at 5.63 km, but app only recorded 0.64 km at 6 min and stopped",NEGATIVE,0.9994555115699768
did not track my walk. l was in a wood and near a farm.,NEGATIVE,0.9988351464271545
Seems pretty good so far. Can't tell what the difference is between a hike and a walk. Copes better with tree cover than some other apps,POSITIVE,0.9988190531730652
Great tracker easy to operate. Thanks,POSITIVE,0.9988629817962646
REALLY like it use for my rides with my horse to track our trail rides and her exercise and speeds ...worked good at accurately recording our speed then just stopped working now doesn't give me speeds or distances very disappointing,NEGATIVE,0.9994935989379883
"Not very reliable, it distorts and pauses without notice. It flies over the real tracks, one wonders whether he was on an aeroplane! Cannot compare to walking odometer pro and map my fitness!",NEGATIVE,0.9995017051696777
"thank you, easy, powerful and free! Top!",POSITIVE,0.9988847374916077
Totally does what I need it to,POSITIVE,0.9988752007484436
"this is a good one, easy to use.",POSITIVE,0.9989044666290283
"Wildly inaccurate. The app kept adding random gps locations to my actual path. It was free so I won't give it 1 star. If they fix it, it could be a nice app for tracking hikes.",NEGATIVE,0.9995100498199463
cool stuff maaan,POSITIVE,0.9964816570281982
Excellent,POSITIVE,0.998581051826477
"Just downloaded as would like to see how far I run, was just playing around with the app and it said I had run 0.25 km in 5 minutes while I was sat on my sofa figuring the features. Thank you for the reply, can you tell me how the accuracy and movement thresholds work?",NEGATIVE,0.9862546920776367
Accuracy terrible. Today I chose to walk only on pathways next to roads. And the map track is totaly inaccurate. It shows that I flew across all houses diagonally. Very dissapointing,NEGATIVE,0.9995052814483643
It does not track properly.,NEGATIVE,0.9995018243789673
"The best app ever for walking. I use it all the time to track my walks. Highly recommended, just try it!",POSITIVE,0.9989017248153687
Not bad. I would not pay for it at this point. Sorry guys. I'll come back in 6 months. My issue with it is map accuracy. Your map reports me to 65ft + off. 5 to 15ft is great (Military). 27ft -36ft is about average.,NEGATIVE,0.9989919066429138
CR_P,NEGATIVE,0.9765031337738037
The best application for outdoor activity. Great experience. I love the app.,POSITIVE,0.9989166259765625
Excellent,POSITIVE,0.998581051826477
Went on 2 hour (7km) walk app said 35 mins (5km) rubbish!!!,NEGATIVE,0.9994795918464661
"Stops working, not managed to track one successful route.",NEGATIVE,0.9995043277740479
Beautiful UI and a lot of exercises to choose from that are easy to use. GPS tracking is the most accurate I've used to date.,POSITIVE,0.998855710029602
"Excellent tracking app. It has totally changed my life, been using it a lot.",POSITIVE,0.9988886713981628
Very accurate and ease to use. GPS tracking is excellent.,POSITIVE,0.9988985061645508
"A great app that helps you not only track your mileage, but your time and pace as well. The app also includes other features that I find very usefull !",POSITIVE,0.9989042282104492
"I use it to create new routes, track live workouts, and review my progress. It has very enhanced and very useful static.",POSITIVE,0.9988983869552612
"A great app that helps you not only track your mileage, but your time and pace as well. The app also includes other features that I find very useful! 3) Submit screenshots shown in the example",POSITIVE,0.9988885521888733
"Just does the job for me. Provides a map of the route, distance covered, speeds and many more statistics.",POSITIVE,0.9988327622413635
This GPS tracker definitely does more than expected and everything I can imagine I would need. Tracks my activities pretty well.,POSITIVE,0.9989342093467712
This is such an amazing app it kept me on track with my exercises and it recorded the distance accurately every time.,POSITIVE,0.9989297986030579
Easy to setup and log workouts. You do not have to create an account by linking all of your personal info to use it. Many options & stats.,POSITIVE,0.9988721013069153
Does what it says with polish & useful features. Mapping is very accurate. Excellent workout app.,POSITIVE,0.998897910118103
"Great functionality and frequent positive updates. Been my main fitness tracking app now. I've tried many others like Strave, Endomondo, MapMyRun, etc.",POSITIVE,0.9988858103752136
"Great, easy to use app. GPS and tracking activities are excellent. Thanks for putting together a solid product and continuing to improve it over time.",POSITIVE,0.9989161491394043
"Easy and clear layout, plenty of features and data to look up, doesn't eat up much of the battery. Love the fact that it shows map in terrain mode.",POSITIVE,0.9989245533943176
I love this app. I have recommended it to many people. My whole family is using it to keep each other motivated.,POSITIVE,0.998924195766449
Super handy and helps to keep yourself fit. Tracks very well.,POSITIVE,0.9988596439361572
Very good GPS tracker app and gives a lot of information. I'm using the cloud website as well to backup my tracks.,POSITIVE,0.9988631010055542
The best Endomondo replacement or alternative so far. Keep up the good work!,POSITIVE,0.9987897276878357
Nice sports tracker tool. Really useful.,POSITIVE,0.9987816214561462
"Very good GPS tracking app, pretty accurate.",POSITIVE,0.9988640546798706
"I have tried all other apps like Nike, Runkeeper, Strava, Runtastic, Endomondo etc. and this is the best one being more easy to use and user's friendly.",POSITIVE,0.9988784193992615
After close down of Endomondo this one seems to be the best replacement. Recommended.,POSITIVE,0.9988833069801331
