,content,sentiment,score
0,Its alright,NEGATIVE,0.9970863461494446
1,Cool,POSITIVE,0.9969148635864258
2,Good,POSITIVE,0.9984152317047119
3,was in the USA not even local,NEGATIVE,0.9986355900764465
4,Very nice app,POSITIVE,0.9987428784370422
5,I would really recommend this app,POSITIVE,0.9988783001899719
6,Great,POSITIVE,0.998588502407074
7,it was okay,NEGATIVE,0.997052788734436
8,"We have to pay,to use this app? Lol ya right on that one! Jokes.",NEGATIVE,0.9988428354263306
9,Pretty cool,POSITIVE,0.9981507658958435
10,"Wonderful so far, I'm very pleased.",POSITIVE,0.9988024234771729
11,Great,POSITIVE,0.998588502407074
12,Some people are nice and some people are rude,NEGATIVE,0.9969661831855774
13,Full of spam people ask for your email and bank details. Use only for one day and delete. The worst app I ever use .,NEGATIVE,0.9995030164718628
14,Good app,POSITIVE,0.9987263083457947
15,It's good,POSITIVE,0.9981504082679749
16,Its good,POSITIVE,0.998634397983551
17,Love the app it sell fast get the app now I selled stuff near me so easy,POSITIVE,0.9988652467727661
18,After I post 2 things the app won't let me post anything else and I re download the app several times and idk if it's my phone or if it's the app,NEGATIVE,0.9994779229164124
19,Good,POSITIVE,0.9984152317047119
20,Good,POSITIVE,0.9984152317047119
21,Doesn't let me post up a listing. What a waste of valuable time. 😡,NEGATIVE,0.9994961023330688
22,Absolutely amazing,POSITIVE,0.9986769556999207
23,It's very nice and user friendly,POSITIVE,0.9988783001899719
24,Dont download it. This app sucks. It did not work,NEGATIVE,0.9995070695877075
25,There's only 2 items on here or so👎👎👎at the moment,NEGATIVE,0.9966188669204712
26,Massive,POSITIVE,0.9969894289970398
27,"A lots of scammers, asking you to send money and trying to get your personal information",NEGATIVE,0.9990442395210266
28,Simple and convenient,POSITIVE,0.9988522529602051
29,Just trying,NEGATIVE,0.9899918437004089
30,AWESOME,POSITIVE,0.998187243938446
31,Good,POSITIVE,0.9984152317047119
32,Fantastic app 👏,POSITIVE,0.9986950755119324
33,So so not a useful apps,NEGATIVE,0.9994838237762451
34,Easy to list & sell items. Easy to find what your looking for.,POSITIVE,0.9988686442375183
35,Do you actually need to pay to use this app to sell £29.99 seems to be alot when you get no interest,NEGATIVE,0.9994946718215942
36,Not sure,NEGATIVE,0.9983468055725098
37,I love it,POSITIVE,0.998829185962677
38,Good Use,POSITIVE,0.998104453086853
39,No one uses this.think was American? Got rid of it.,NEGATIVE,0.9992144107818604
40,Very Nice App !!!!!!!!!!!!!!!!!!,POSITIVE,0.9985849857330322
41,Great app,POSITIVE,0.9987025260925293
42,This app is so annoying no one wants to buy your stuff I have writwn someone a question for 3 months and they haven't responded juts a very bad app it sucks I would give it a 0 if I could,NEGATIVE,0.999508261680603
43,How do i delete my account?,NEGATIVE,0.998401939868927
44,Wont download EVER,NEGATIVE,0.9987515211105347
45,"Village is my favourite local buy sell app! Lots of great local bargains to shop in our neighbourhood, some of which are literally next door! As a young family, it's been super helpful to buy preloved clothes, shoes, toys, furniture, and other kids or baby stuff from friendly families in our local neighbourhood. Likewise been a lovely way to freecycle or sell our kids used stuff - love how I just take a quick photo, add a few words, and then it's immediately available for sale locally 🌟🌟🌟🌟🌟",POSITIVE,0.9988957643508911
46,"Best selling app, love it! ❤️❤️❤️ Super quick to list, easy to chat with buyers, great local community feel, sold locally to someone in our neighbourhood same day. Now shopping for some amazing fashion and electronics preloved bargains for myself - lots of great local deals to choose from! Lovely way for our local community to help each other, waste less and do our bit for the environment! Thank you Village!",POSITIVE,0.9989323019981384
47,Not in area,NEGATIVE,0.9992819428443909
48,"Love Village! Best local buy and sell app by far, finally an app with real soul ♥️",POSITIVE,0.9988928437232971
49,They force you to pay a membership,NEGATIVE,0.9994370341300964
50,No buyers in my area just scammers,NEGATIVE,0.9994878768920898
51,Pointless app opened once and then stopped working I wouldn't waste your time downloading it.... avoid,NEGATIVE,0.9995086193084717
52,"Awful to use and ""customer service"" takes too long to reply to requests for help. Also asks for permission to make phone calls, which is rediculous. The app keeps freezing and you have to close it multiple times and reopen it in order to get it to stop freezing. You'd be better off with apps like shpock or olio tbh.",NEGATIVE,0.9995115995407104
53,"This app has an easy interface but the worst part is that we have to pay for everything.We cannot see any other products listed.We keep on getting the notifications regarding the people's interest in our product but while we try to look into the chats,it asks to pay.This is really very ridiculous.I downloaded this app to be more comfortable in reaching out to customers nearby me or anywhere but this seems to be a scam.",NEGATIVE,0.9995112419128418
54,Very frustrating when you want to open the app as it won't open and then you can't press back it won't let you so you have to close it from the middle/home button..you have to try at least 10 times before it will open it's very temperamental..not the best selling app I've experienced!!,NEGATIVE,0.99950110912323
55,"No one really buys anything on here. Its ridiculous. No one responds to messages, and they say it's free, but you have to pay for everything. You have to pay to send a message to someone.",NEGATIVE,0.9995039701461792
56,Its a good app but there was no one near me but it is still a good app,POSITIVE,0.9987316727638245
57,Love it,POSITIVE,0.9988111257553101
58,Lots of great buys. Easy to use and understand. Also great community feel and chat feature. Kudos!,POSITIVE,0.9989067316055298
59,SPAM,NEGATIVE,0.9993478655815125
60,Terrible. Periodt,NEGATIVE,0.9994427561759949
61,It cool and nice,POSITIVE,0.998777449131012
62,Excellent 👌,POSITIVE,0.9986611604690552
63,I love this app it's real and cool,POSITIVE,0.9989287257194519
64,Not really good,NEGATIVE,0.9994619488716125
65,Im not sure,NEGATIVE,0.998502254486084
66,Get app but needake it where we can get a free booster to boost our product,POSITIVE,0.9879849553108215
67,Business woman,POSITIVE,0.9938026666641235
68,Cool,POSITIVE,0.9969148635864258
69,Brilliant Really Fun,POSITIVE,0.9987269043922424
70,Great business app for selling.,POSITIVE,0.9987125396728516
71,Very good place to sell things,POSITIVE,0.9987974166870117
72,No good It deleted my complete profile after one day. And asked me to create a new one. Plus it is not very busy Seems pretty empty.,NEGATIVE,0.9994997978210449
73,Just started.,POSITIVE,0.9980328679084778
74,"Never felt more at ease selling on here, its better than shpock an all other sites I've used. I recommend this site to all. Just a shame their isn't more than 5 stars as I'd click more",POSITIVE,0.9988564252853394
75,"Very nice marketing app, good to buy and sell In a good price",POSITIVE,0.9989057779312134
76,The App is nice,POSITIVE,0.997589111328125
77,Excellent,POSITIVE,0.998581051826477
78,Good,POSITIVE,0.9984152317047119
79,This app take $106 from my bank account. Really????,NEGATIVE,0.9994957447052002
80,Great app,POSITIVE,0.9987025260925293
81,Village is the best app for everyone. the support is always active and ready to lend a hand whenever possible.,POSITIVE,0.998884379863739
82,"Very good , Love It, Its the best App for selling your stuff,",POSITIVE,0.9988529682159424
83,"VILLAGE IS JUST THE BEST SITE, FOR SELLING AT ANY TIME. I LIKE IT.",POSITIVE,0.998805046081543
84,Till now i only had scams...,NEGATIVE,0.9962980151176453
85,A little bit complicated for me I can't seem to get the hang of it,NEGATIVE,0.9994413256645203
