content,sentiment,score
"Give this a 4 1/2 stars. There was a lot of talking between characters, storyline was very creative. The morphing & triangles were tricky but I'm glad I could go back and find them. Only irritating item to me was had to return to the ""wanderlust"" title page a couple of times before playing and a lot when playing the extra games. Love that the guide is included.",POSITIVE,0.9988983869552612
"This is very different from the other friendly fox games and I'm really not keen on it, too much screen tapping and puzzles that don't make sense.",NEGATIVE,0.9994943141937256
Wow! This is a great game. Great adventure and wicked sense of humor. Great play!,POSITIVE,0.9989193677902222
"great game! worth the money. great story, long game play , great characters, awesome puzzles.",POSITIVE,0.9989311099052429
"I usually enjoy this developers games, however this one I found to be frustrating and awkward. Many times, the objects that need to be used make zero sense. A lot of times you have to click something several times for it to work, or you click the hint button and it tells you to do the exact same thing you tried several time to do. It's just frustrating.",NEGATIVE,0.9995099306106567
Have played this before. Really enjoyed it.,POSITIVE,0.9988977909088135
A lot of fun - not supposed to be taken seriously but to relax with - lots of puzzles and engaging characters - more please!,POSITIVE,0.9989132881164551
So far it's good..just the picture is so tiny it hard to see.,NEGATIVE,0.9950172305107117
👍😍🤩,POSITIVE,0.9985260367393494
"Was fun till I purchased the game, then I got stuck in the sky and can not move on.",NEGATIVE,0.9994909763336182
"Loved the free demo! Not too difficult,not too easy, (plus you can choose your difficult lever from easy, medium to hard). The story was super cute & really clever. Def recommend!",POSITIVE,0.9988985061645508
"Love all your games. They seem a bit different than other ones I've played, but I love what you've done, brilliant thanks, guys. 5 * all day long.",POSITIVE,0.998915433883667
U can only play for a little while and then they want u to buy the full game don't waste your time downloading it,NEGATIVE,0.9995019435882568
"While I don't mind the different format, I found a lot of the gameplay to be cumbersome and, honestly, not that fun. The puzzles were fine, but trying to figure out what items were playable and what went together was confusing. I'm not new to point and clicks, and i really like most FF games, but this one was unintuitive enough to lose my interest. I do like changing up the faces and format.",NEGATIVE,0.9994602799415588
Absolutely mental and pretty funny too.,POSITIVE,0.9982104301452637
"Top tier game! Even had me giggling at some stages. Graphics were brilliant. Storyline was great and engaging. Characters were on point and very well thought out. A little on the hard side, thank god for easy mode, it may have become a little frustrating. Definitely worth the money, well done 👏",POSITIVE,0.998927652835846
Good value for the money as the game is very long. It was different than most games of this genre. I found it too challenging at times but that's just me.,POSITIVE,0.998862624168396
Loads if fun!,POSITIVE,0.9987432360649109
