,content,sentiment,score
0,Very nice. I love this app. As a fandom there are so many fanfiction to read .,POSITIVE,0.9988980293273926
1,"It's great, but you can't put pictures in your stories without them moving and covering up the words, and you can't move it back. Also, when you use italics or something like that, sometimes it turns the whole story into italics, or whatever you're using.",NEGATIVE,0.9983687996864319
2,Good one,POSITIVE,0.9988240599632263
3,"This app was amazing when I first tried it out and I loved using it, but now with all the useless updates and bugs it's hard to even use the app anymore. Ranging from ads after almost every chapter, to not being able to see when others respond to your comments, to books being taken down literally WHILE you're reading them. Just yesterday I was scrolling through my library and it was all fine, then I click on the app again today and almost my ENTIRE library is gone?! Absolutely ridiculous",NEGATIVE,0.9995115995407104
4,Ok the last bug I reported got fixed thanks for that❤ but wattpad is acting up again.... It is not allowing me to read paid stories offline neither is it allowing me to read the offline downloaded ones.... 💔😟,NEGATIVE,0.999492883682251
5,Lots of good books,POSITIVE,0.9986697435379028
6,This app used to be good one now it's totally flooded with ads only Ads are ok but in moderate manner There are 45 sec ads after every chapter,NEGATIVE,0.9995077848434448
7,Cool,POSITIVE,0.9969148635864258
8,I think the app should be more advertised. I feel like people should be reading and writing more stories. They’re just helpful and therapeutic in a way I can see.,POSITIVE,0.9952455163002014
9,"This is an amazing app. I read and write all the time! But before I downloaded the app, I used the website. The website had no ads which I think is weird. It should have ads instead, making you want to download the app for no ads. I would give this a 4.5, but it's I can't, and it's not good for a perfect 5 stars. Keep working and adding things!",POSITIVE,0.9987326264381409
10,This app is so nice because Wattpad is help me to relax if I'm so stressed from school ❤️,POSITIVE,0.998866081237793
11,"i was editing my story and then i just went to open another app to search for something, and when i came back, the app restarted. what's even worse is that when i was about so reopen the chapter i was editing, all the changes that have been made weren't saved. and the WORST part is that the revision history wont let me f-ing load the previously saved draft. FIX THIS I VEG YOU.",NEGATIVE,0.9994958639144897
12,What happened to the app? I cant load anything with the most recent update! My conmection is fine. Ive uninstalled and reinstalled a million times. The problem still exists!,NEGATIVE,0.9994966983795166
13,Good,POSITIVE,0.9984152317047119
14,It doesn't let me change my username please fix that,NEGATIVE,0.9989928603172302
15,"I love it but just one problem, when I put the pictures in my book, it won't appear when I publish it. And when i click kn a font to use, it would cover the entire text of the chapter in the same font aswell, plus it is super laggy and is always telling me to click on a version of the chapter to save since it glitches or something and doesn't save the chapter. It keeps sending the texts to the middle of the page when i want to make it to the right. Please fix these issues, and thanks",NEGATIVE,0.9987008571624756
16,Good,POSITIVE,0.9984152317047119
17,I have been using wattpad for about 2 years now and everything was fine at first but whenever I add images images my chapters the images somehow disappear from the chapter after a few days. Im also having a hard time typing since yesterday the typing won't load and the app freezes up a lot. I hope this gets fixed.,NEGATIVE,0.9994801878929138
18,"If you would attach the possibility of adding an audio file when writing, it would be fun that I add songs to the appropriate events in the story that I write، I will raise the rating to 5 stars when you add this feature, which will improve the program a lot",POSITIVE,0.9974923133850098
19,"What the hell Wattpad? I always have dark mode on while I read, but now since I've updated the app, dark mode no longer works while reading! I can't read at night anymore because the FORCED light mode while reading hurts my eyes. Again, what the hell, Wattpad? You guys are too money-hungry, I swear to GOD. Too many ads! If these are fixed/changed I'll consider a better review.",NEGATIVE,0.9994996786117554
20,Absolutely love this app.,POSITIVE,0.9988860487937927
21,We can save 25 books offline right? But at once it becomes only two and again in another week it becomes 25...Is it just for me? I thought of buying premium but still can y'all fix this for me?,NEGATIVE,0.997654914855957
22,I like reading.So I Like this,POSITIVE,0.9988436698913574
23,My internet is terrible 💀💀,NEGATIVE,0.9993699193000793
24,The best app ever!It has some amazing relateble stories OMG!!!!!!!!!,POSITIVE,0.998883068561554
25,"Its still great and all but i dont like the new update the much, the synopsis font was way too small yeah it looks classy but not that convenient, and it takes way too long to load a story before you saw the synopsis even though the data and wifi were doing fine and its not the signal's problem",NEGATIVE,0.9995018243789673
26,"I absolutely love the app, but it wont let me sign in, whenever i do it says try later💔",NEGATIVE,0.9984188079833984
27,"Truly, there are no words its wonderful, yes there are adds but its worth cause of stories and u know I have also improved my english",POSITIVE,0.9987598657608032
28,This app won't allow me to change my username and because of this app I was hacked twice,NEGATIVE,0.999457061290741
29,"lol, what's wrong with this. why all my password has declined.",NEGATIVE,0.9978147745132446
30,"This is the worst app I have ever installed on my device. I kept on putting in my email address AND IT WAS CORRECT but the app kept on saying that it's invalid. I downloaded this thinking it'd be a great app for me to write stories on, but guess what? I can't even get into the app. Worst app ever, I am uninstalling this app right now. I am never going to download this ever again.",NEGATIVE,0.9995139837265015
31,I Like,POSITIVE,0.9983162879943848
32,Don't install this app. They are selling your privacy data,NEGATIVE,0.9994977712631226
33,Pakitanggal nalang po ng paid stories hehe,POSITIVE,0.9598439335823059
34,"There's something wrong with wattpad... I can't add more than 2 stories in my offline list, and that's really making me upset.",NEGATIVE,0.9994906187057495
35,It showing that my offline limit is 2 out of 2. I am so angry of this 😞,NEGATIVE,0.9992486834526062
36,Good,POSITIVE,0.9984152317047119
37,"It's a great app & I've really enjoyed writing on it , but since some days my story's parts are getting messed up , the lining of the numbers of chapters are getting messed up & the amount of chapters is messed up too , hope you guys will fix this problem .",POSITIVE,0.997785210609436
38,"The app was good until the new update, it won't even let me sign into my main accounts anymore, it says that the username or password is wrong, but when I search up my accounts on Wattpad they're still there.",NEGATIVE,0.9994935989379883
39,"God, wattpad isn't like before 😤",POSITIVE,0.9985324144363403
40,So good,POSITIVE,0.9984643459320068
41,Memories of the past filled with dark moments I'm going back to it to see my mistakes I'll rate this as 5 stars for now Unless I change my mind.,POSITIVE,0.998853325843811
42,"The app is really great, but since yesterday I can’t read novels when I want to read it says there is no internet connection but I already have internet I’m facing this problem from yesterday also today I can’t log in to the app nothing works inside the app it shows I’m not connected to the internet but I have internet, so why doesn't it work, I will give it a star only now, and when the problem is solved, then I will give it 5 stars",POSITIVE,0.9762102365493774
43,I would like to think that it's a nyc reading app,NEGATIVE,0.987576961517334
44,"Never felt so annoyed using an app before, you update and update trying to ""improve"" the visuals, but EVERYTHING gets worse. First, it ALWAYS changes the layout or format I Placed and when I preview my work IT ALWAYS CHANGES. there's a reason, i put THAT certain layout. And another thing, i absolutely HATE the new visuals of this app, the previous one, is waaay better than those. I am beyond disappointed on where this app had gone from.",NEGATIVE,0.9995138645172119
45,Okkk,NEGATIVE,0.9884344339370728
46,Life,POSITIVE,0.987649142742157
47,Grbe hirap gumawa ng acc.,POSITIVE,0.9934056997299194
