,content,sentiment,score
0,Trash pls pls delete this trash app full of bots and its a rip off,NEGATIVE,0.9994865655899048
1,"I like it much more than I thought I would. I was surprised how quickly I met someone who clicked. I was the one initially asking to meet, and after 2 meetings, I found someone .. and I think she likes me! The only thing I would suggest is to fill out the profile and be honest and provide photos.",POSITIVE,0.9989263415336609
2,Do not use.,NEGATIVE,0.9993298053741455
3,I signed up for it and got zero response from anyone. I canceled my subscription with a zero balance. A few months later I got a bill from a debt collector saying I owe over $530.00. I have read this happening to other people as well. Even after canceling your subscription and profile eharmony will continue to charge you. Subscribers beware.,NEGATIVE,0.9994977712631226
4,Too much money for very little results or options. Lots of profiles with missing pictures.,NEGATIVE,0.9995044469833374
5,"Nothing happens overnight. Things take time, and you need to have the patience to find the right one.",POSITIVE,0.9987253546714783
6,"Hi Guys its an absolute scam and money rippers. Pls think 10,000 times b4 u guys join this.",NEGATIVE,0.9994926452636719
7,All you will find is debt collects emails for payments.,NEGATIVE,0.9994398951530457
8,Idk how apps like this aren't illegal. The app is a scam. It looks like messages aren't actually being sent to people. From what I can tell the majority of the people I send messages to aren't active accounts so they couldn't respond. Huge waste of money. The people working for eharmony should be embarrassed that they're helping go along with this scam.,NEGATIVE,0.9995043277740479
9,Poor,NEGATIVE,0.9993883371353149
10,This app is a scam! DO NOT sign up if you don't want to be locked in a 12-month contract!,NEGATIVE,0.9995012283325195
11,"Gotta be rich to be a premium member. Any plan, expect to blow $400 minimum after taxes and fees. Ridiculously annoying to cancel a basic account. Thought there was a law recenty where we're supposed to be able to cancel an app as easily as we signed up. No explenation on premium benefits if a non premium person can communicate with you. No way of knowing if someone has a paid membership. This site sucked about 20 years ago when I beta tested it and it still sucks.",NEGATIVE,0.9995073080062866
12,"Minimum 6 month subscription because 'we don't want to rush you'. Without this you can't send messages or see photos. This company is first and foremost a money making scheme, premised on exploiting peoples desire to meet a partner. Cynical. To be avoided.",NEGATIVE,0.9993746876716614
13,"It's a lot of personal stuff that, if your servers were to be breached, could risk the ruin of an entire family",NEGATIVE,0.9933370351791382
14,"I am going to filing a class action lawsuit against eharmony. If anyone else has been falsely charged, repeatedly asked to cancel your account and still be charged or charged after cancelation please contact me! We will get your money back!",NEGATIVE,0.9992762207984924
15,Extremely fraud platform. Totally not good to use. Not free. It's a business. Not proper for us.,NEGATIVE,0.9994901418685913
16,Absolutely a waste a money. Not very many people. Forced to subscribe for 6 months if you want to chat with people or see any pictures. Not worth it,NEGATIVE,0.999498724937439
